orthographic_normalization,simplification,note
trains ; de carrosse,,
toutenague,toutenague,
tourteaux,,
tours ; à filer,tour ; à filer,
tours ; de lit ; de bourre,tours ; de lit ; de bourre,
tours,tours,
touron,touron,
Tournesol ; préparé ; ou orseille,,
tournesol ; en drapeau,tournesol ; en drapeau,
tournesol ; en pain,,
tournesol ; en herbe,,
tournesol ; apprêté,,
tournesol,tournesol,
tournes ; viandes,,
tournebroche,tournebroche,
tournebres,,
tourbe,tourbe,
tour ; à filer,tour ; à filer,
touques ; petite,,
touques ; de grès,,
tortue,tortue,
toile ; en siamoise ; fil ; et coton,,
tonneau ; à bière,tonneau ; à bière,
tonneau ; en bois,tonneau ; en bois,
tonneau ; à eau ; cerclé ; de fer,,
tonneau ; vide,tonneau ; vide,
tonneau,tonneau,
tonture ; de drap,,
tondelle,tondelle,
tombereau,,
tombeau,tombeau,
tôle,tôle,
toisons,,
toile ; à bluteaux,,
toilettes ; de femme,,
toilettes ; de bois ; verni,,
toiles ; de peintes,,
toiles ; de coton ; des juves,,
toile ; de Nicanais,toile ; de Nicanais,
toiles ; de chasselas,,
toile ; à carreaux ; et à matelas,,
toiles ; siamoises ; de fil ; et coton,,
toile ; gingas ; nationale,toile ; gingas ; nationale,
toiles ; diverses ; mêlées,,
toiles ; des Indes ; provenant du commerce étranger,,
toiles ; des Indes ; provenant du commerce français,,
toiles ; de lin ; écrues ; grosses ; et ordinaires,,
toiles ; de lin ; peintes ; et imprimées ; nationales,,
toiles ; de lin ; blanches ; et assorties,,
toiles ; de coton ; étrangères,,
toiles ; de coton ; peintes ; nationales,,
toiles ; de coton ; blanches ; nationale,,
toiles ; de coton ; blanches ; de l'Inde,,
toiles ; de Rouen ; imitant celles de l'Inde,,
toile ; blanche ; de Saint Quentin et Valenciennes,toile ; blanche ; de Saint Quentin et Valenciennes,
toiles ; nankin ; de l'Inde,,
toile ; à serviettes ; de Lille,,
toile ; pignée,,
toile ; nicanéas,toile ; nicanéas,
toile ; manche,toile ; manche,
toile ; linge de table ; serviettes ; illisible ; à Nappe,,
toile ; grosse ; à carreaux ; de Lille,,
toile ; grise ; non battue,toile ; grise ; non battue,
toiles ; des halles,,
toile ; de retour faute de vente,,
toile ; de platille,toile ; de platille,
toile ; de lisson,toile ; de lisson,
toile ; de linge de table ; à nappe ; et serviette,,
toile ; de coton ; à carreau,toile ; de coton ; à carreau,
toile ; de charures,,
toile ; de chanvre ; ouvrée,toile ; de chanvre ; ouvrée,
toile ; de ; illisible ; lin,,
toile ; de Sevigneau,toile ; de Sevigneau,
toile ; de Pouldavi,toile ; de Pouldavi,
toile ; de Langenau,,
toile ; de Grôneville,,
toile ; de Flandre ; fine,,
toile ; de Beaufort,toile ; de Beaufort,
toile ; pour la Hollande,,
toile ; de coton ; vieux,toile ; de coton ; vieux,
toile ; cotonnade,,
toile ; commune ; de Lille,toile ; commune ; de Lille,
toile ; brodée,toile ; brodée,
Toile ; bas ; basin,,
toile ; au lan ; de Lille,,
toile ; lizat,,
toile ; de Liménéas,toile ; de Liménéas,
toile ; de Guingan,,
toile ; guingac,,
toile ; calenderis,,
toile ; blanche ; de France,,
toile ; nicanéar,,
toile ; en chemise,toile ; en chemise,
toile ; de coton ; rayée,,
toile ; de soie,toile ; de soie,
toile ; de Barrois ; et Clinchamp,,
toile ; de coton ; à jamin,toile ; de coton ; à jamin,
toile ; de coton ; à bas,toile ; de coton ; à bas,
toile ; de coton ; large,toile ; de coton ; large,
toile ; de coton ; forte,toile ; de coton ; forte,
toile ; de coton ; escamite,,
toile ; de coton ; demitte,toile ; de coton ; demitte,
toile ; de coton ; d'Antioche,toile ; de coton ; d'Antioche,
toile ; de coton ; aman,toile ; de coton ; aman,
toile ; de coton ; de guinée,toile ; de coton ; de guinée,
toile ; chapelure,toile ; chapelure,
toile ; noyale,toile ; noyale,
toile,toile,
toilette ; de Valenciennes,,
toilette ; pour femme,,
toilette ; de femme,toilette ; de femme,
toilette ; de bois,toilette ; de bois,
toilette,toilette,
toile ; batiste ; et linon,,
toile ; à faire linge,,
toiles ; treillis ; et gommée,,
toiles ; treillis,,
toiles ; peintes ; et indiennes,,
toiles ; mêlées ; imprimés,,
toiles ; mêlées ; grosses ; illisible,,
toiles ; mêlées ; en sac,,
toiles ; mêlées ; grosses ; et sommiers,,
toiles ; mêlées ; ganak,,
toiles ; mêlées ; fine,,
toiles ; mêlées ; en ; illisible,,
toiles ; mêlées ; illisible,,
toiles ; mêlées ; de lin ; et de chanvre,,
toiles ; mêlées ; batiste ; et linon,,
toile ; de coton ; mousseline ; et nankin,,
toiles ; diverses ; de lin ; et chanvre,,
toiles ; diverses ; de lin ; et de chanvre,,
toiles ; de lin ordinaire,,
toiles ; de lin ; et de chanvre,,
toiles ; de lin ; et coton,,
toile ; de lin ; batiste ; et linon ; diverse,,
toiles ; de lin ; batiste ; et linon,,
toile ; de coutil ; à carreaux,,
toile ; de barbier,toile,
toiles ; de Fotton,,
toile ; de crin ; cirée ; et gommée,,
toile ; cirée ; et gommée,,
toile ; de crin ; cirée,toile ; de crin ; cirée,
toile ; avec dessin,toile ; dessinée,
toile ; étrangère ; du Piémont,toile ; étrangère ; du Piémont,
toiles ; prohibées,,
toiles ; peintes ; et indiennes ; étrangères,,
toiles ; peintes ; et indiennes ; nationales,,
toiles ; peintes ; et indiennes ; de l'Inde,,
toiles ; mêlées ; de fil ; et coton,,
toiles ; mêlées ; de chanvre ; et de lin,,
toiles ; mêlées ; serpillière,,
toiles ; mêlées ; rayées,,
toiles ; mêlées ; peinte ; et teinte,,
toiles ; mêlées ; de coutil,,
toiles ; mêlées ; de Russie,,
toiles ; mêlées ; d'Irlande,,
toiles ; mêlées,,
toiles ; mêlées ; peintes,,
toiles ; mêlées ; gingas,,
toiles ; mêlées ; grosses ; en faces,,
toiles ; mêlées ; grosses,,
toiles ; mêlées ; écrues,,
toiles ; mêlées ; de linge de table,,
toiles ; mêlées ; de Laval,,
toiles ; mêlées ; de Flandre,,
toiles ; mêlées ; de Cambrai,,
toiles ; mêlées ; de Bretagne,,
toiles ; mêlées ; d'étoupe,,
toiles ; mêlées ; d'emballage,,
toiles ; mêlées ; blanches,,
toiles ; mêlées ; à carreaux,,
toiles ; fil ; et coton ; siamoise ; imprimée,,
toiles ; mêlées ; diverses,,
toile ; diverse ; en batiste,toile ; diverse ; en batiste,
toiles ; des Indes ; guinée ; bleue,,
toiles ; des Indes ; de guingan,,
toiles ; des Indes ; coton ; blanche,,
toiles ; des Indes ; châle,,
toiles ; des Indes ; basin,,
toile ; de lin ; limon ; et Cambrai,,
toiles ; de lin ; gommée,,
toiles ; de lin ; de Saint Quentin,,
toile ; de lin ; coutil,toile ; de lin ; coutil,
toile ; de lin ; claire et gaze,toile ; de lin ; claire et gaze,
toiles ; de fil ; coutil,,
toile ; de fil ; commune,toile ; de fil ; commune,
toile ; de fil ; blanche,toile ; de fil ; blanche,
toiles ; de coton ; à carreaux,,
toiles ; de coton ; saisies,,
toile ; de coton ; non ; illisible,,
toiles ; de coton ; mousselines et mousselinettes,,
toile ; de coton ; indienne,,
toile ; de coton ; brochée,toile ; de coton ; brochée,
toiles ; de coton ; antoine,,
toiles ; de chanvre ; grosse,,
toile ; de chanvre ; d'emballage,toile ; de chanvre ; d'emballage,
toile ; de Bretagne ; écrue ; large,,
toile ; de Bretagne ; cottray,,
toile ; coton,,
toile ; cirée ; gommée ; et de crin,,
toile ; basin ; clair ; uni,toile ; basin,
toile ; basin ; clair ; mêlé;de coton,toile ; de fil et coton ; basin,
toile ; basin ; blanc ; de fil,toile ; de fil ; basin,
toiles ; Valenciennes,,
toiles ; mêlées ; teinte,,
toiles ; mêlées ; de Rouen,,
toiles ; gommées ; treillis,,
toiles ; gommées ; diverses,,
toiles ; gommées ; canevas,,
toiles ; gommées ; bougron,,
toiles ; des Indes ; tepaye,,
toiles ; des Indes ; tapsels,,
toiles ; des Indes ; tapse,,
toiles ; des Indes ; shetas,,
toiles ; des Indes ; romalis,,
toiles ; des Indes ; ricanias,,
toiles ; des Indes ; platille,,
toiles ; des Indes ; photes,,
toiles ; des Indes ; Perse ; du commerce étranger,,
toiles ; des Indes ; néganépane,,
toiles ; des Indes ; nilas,,
toiles ; des Indes ; nicanéas,,
toiles ; des Indes ; nankin,,
toiles ; des Indes ; meganepeaux,,
toiles ; des Indes ; liménéas,,
toiles ; des Indes ; korola,,
toiles ; des Indes ; indienne,,
toiles ; des Indes ; guinée ; blanche ; et bleue,,
toiles ; des Indes ; guinée ; blanche,,
toiles ; des Indes ; gastas,,
toiles ; des Indes ; diverses du commerce étranger,,
toiles ; des Indes ; diverses,,
toiles ; des Indes ; mousseline ; dite Chasselas,,
toiles ; des Indes ; mousseline ; dite Betille,,
toiles ; des Indes ; mousseline,,
toiles ; des Indes ; coupis,,
toiles ; des Indes ; chourlas,,
toiles ; des Indes ; chouclas,,
toiles ; des Indes ; chafelas,,
toiles ; des Indes ; Caladaris,,
toiles ; des Indes ; cachelis,,
toiles ; des Indes ; cachelats,,
toiles ; des Indes ; bétille,,
toiles ; des Indes ; brauls,,
toiles ; des Indes ; brantes,,
toiles ; des Indes ; biranpeaux,,
toiles ; des Indes ; bayette,,
toiles ; des Indes ; bandanas,,
toiles ; des Indes ; bajutapeaux,,
toiles ; des Indes ; baffetas,,
toiles ; des Indes ; illisible,,
toiles ; de pin ; diverses,,
toile ; de lin ; de Pinon,toile ; de lin ; de Pinon,
toiles ; de fria,,
toiles ; de fil ; et coton ; siamoises,,
toiles ; de fil de coton ; siamoises,,
toiles ; de fil ; et coton ; diverses,,
toile ; de coton ; nankin,toile ; de coton ; nankin,
toile ; de coton ; futaine,toile ; de coton ; futaine,
toile ; de coton ; du Levant,toile ; de coton ; du Levant,
toile ; de coton ; de piémont,toile ; de coton ; du Piémont,
toile ; de chanvre ; de coutil,,
toilerie ; toiles ; à voile,,
toilerie ; toiles ; à carreaux ; pour matelas,,
toilerie ; toiles ; peintes ; et teintes ; en fil,,
toilerie ; toiles ; mouchoirs ; blancs ; et teints,,
toilerie ; toiles ; en mouchoirs ; de fil,,
toilerie ; toiles ; de lin ; et de chanvre,,
toilerie ; toiles ; de lin ; de toutes sortes,,
toilerie ; toiles ; de lin ; batiste ; et linon,,
toilerie ; toiles ; de fil ; peintes ; teintes ; et imprimées,,
toilerie ; toiles ; de coutil ; et de basin,,
toilerie ; toiles ; de coutil,,
toilerie ; bonneterie ; de fil,,
toilerie ; toiles ; peintes ; et teintes,,
toilerie ; toiles ; mêlées ; de fil ; et coton,,
toilerie ; toiles ; mouchoirs,,
toilerie ; toiles ; linge de table,,
toilerie ; toiles ; de lin,,
toilerie ; toiles ; de coutil ; à carreaux,,
toilerie ; toiles ; de chanvre,,
toilerie ; toiles ; batiste ; et linon,,
toilerie,toile,
toile ; écrue ; de lin ; et de chanvre,,
toile ; à drapeau,toile ; à drapeau,
toile ; à treillis,toile ; à treillis,
toile ; tissée ; très fin,toile ; fine,
toile ; poméranienne,toile ; de Poméranie,
toile ; piquée ; de Marseille,,
toile ; flamande,toile ; flamande,
toile ; des Taupe,,
toiles ; des Indes ; Perse,,
toile ; de Pontivy,toile ; de Pontivy,
toile ; de ménage ; blanche,,
toile ; de laine dite herbage,,
toile ; de gris,toile ; de gris,
toile ; de fleurs ; de Rouen,,
toile ; de coton ; et nankin,,
toile ; de coton ; de duvet,toile ; de coton ; de duvet,
toile ; de coton ; bleue,,
toile ; de châle,,
toile ; de caladrie,toile ; de caladrie,
toile ; de bleue,toile ; de bleue,
toile ; de Quintin,toile ; de Quintin,
toile ; de paille,toile ; de paille,
toile ; de halle,,
toile ; de coton ; bleu,toile ; de coton ; bleu,
toile ; d'Olonne,,
toile ; d'emballage ; jute,toile ; jute,
toile ; d'emballage ; en lin,toile ; lin,
toile ; d'aman,,
toile ; crée ; margée,,
toile ; à nègre,,
toile ; à blutiou,,
toile ; platille ; roussy,,
toile ; Platier ; de guin ; illisible ; e,,
toile peinte,,
toile ; étoupe ; de lin,,
toile ; étoupe ; de chanvre,,
toile ; écrue,,
toile ; à voile ; de 24 aunes,,
toile ; à tamis,toile ; à tamis,
toile ; à pavillon,toile ; à pavillon,
toile ; à paillasse,toile ; à paillasse,
toile ; à nappes ; et serviettes,,
toile ; à nappes,,
toile ; à doubler,toile ; à doubler,
toile ; à canevas,toile ; à canevas,
Toile ; à canevas,,
toile ; à bas,toile ; à bas,
toile ; tout coton,,
toile ; toilerie,,
toile ; teinte,,
toile ; suisse,,
toile ; siamoise ; teinte,,
toile ; siamoise ; imprimée,,
toile ; siamoik,,
toile ; serpottière,,
toile ; royale ; de lin,,
toile ; rousse,,
toile ; rouge,toile ; rouge,
toile ; reploc,,
toile ; rayée,,
toile ; pressée,toile ; pressée,
toile ; presitte,toile ; presitte,
toile ; pour tente,toile ; pour tente,
toile ; pour tableau,toile ; pour tableau,
toile ; platille ; de lin,,
toile ; petite,toile ; petite,
toile ; perse ; et indienne,,
toile ; peinte ; imprimée,toile ; peinte ; imprimée,
toile ; ouvrée,toile ; ouvrée,
toile ; ordinaire,toile,
toile ; non battue,toile ; non battue,
toiles ; mousselines,,
toile ; montagne,toile ; montagne,
toile ; micanéas,toile ; nicanéas,
toile ; lustrée,toile ; lustrée,
toile ; linon ; batiste,toile ; linon ; batiste,
toile ; linge de table ; à nappe,,
toile ; linge de table ; vieux,toile ; linge de table ; vieux,
toile ; linge de table ; canapés,,
toile ; linge ; à serviettes,,
toile ; liménéas,,
toile ; lavée,toile ; lavée,
toile ; kettroy,toile ; kettroy,
toile ; indienne,toile ; indienne,
toile ; imprimée,toile ; imprimée,
toile ; idem ; fin,toile ; idem ; fin,
toile ; haut brin,,
toile ; guinée ; bleue,toile ; guinée ; bleue,
toile ; guinée,toile ; guinée,
toile ; grenade ; de lin,,
toile ; grenade,,
toile ; gracienne,toile ; gracienne,
toile ; gomme,toile ; gommée,
toile ; gingas ; lin,,
toile ; fougère,,
toile ; fleurs ; blancard,,
toile ; fleuret ; blancard,,
toile ; fine ; et commune,,
toile ; fine ; de lin,,
toile ; fine,toile ; fine,
toile ; fil ; et coton ; siamoise,,
toile ; fil ; et coton ; diverse,,
toile ; et fil,toile et fil,
toile ; et étoffes ; de coton,,
toile ; et bonneterie,toile et bonneterie,
toile ; en siamoise ; au sixième de soie,,
toile ; en siamoise ; a peu de soie,,
toile ; en siamoise,,
toile ; en serviette,toile ; en serviette,
toile ; en linge de table,toile ; linge de table,
toile ; en fair,toile ; en fair,
toile ; en coutil,,
toile ; embabis,toile ; embabis,
toile ; découpée,toile ; découpée,
toile ; dure,toile ; dure,
toile ; du pays,toile ; du pays,
toile ; du paire,,
toile ; du Lyonnais,toile ; du Lyonnais,
indienne ; divers,indienne,
toile ; de voile,toile ; de voile,
toile ; de serviette,,
toile ; de saleneinnes,,
toile ; de ploc,toile ; de ploc,
toile ; de Moûtiers,toile ; de Moûtiers,
toile ; linge de table ; divers,toile ; linge de table,
toiles ; mêlées ; en linge de table,,
toile ; de lin ; écrue,toile ; de lin ; écrue,
toile ; de lin ; à matelas,toile ; de lin ; à matelas,
toile ; de lin ; à doubler,toile ; de lin ; à doubler,
toile ; de lin ; toilette,toile ; de lin ; toilette,
toile ; de lin ; teinte,toile ; de lin ; teinte,
toile ; de lin ; rayée,toile ; de lin ; rayée,
toile ; de lin ; lingerie,toile ; de lin ; lingerie,
toile ; de lin ; linon ; brodée,toile ; de lin ; linon ; brodée,
toile ; de lin ; linon,toile ; de lin ; linon,
toile ; de lin ; lecrue,,
toile ; de lin ; platille,toile ; de lin ; platille,
toile ; de lin ; indigo,toile ; de lin ; indigo,
toile ; de lin ; imprimée,toile ; de lin ; imprimée,
toile ; de lin ; grosse pointe,toile ; de lin ; grosse pointe,
toile ; de lin ; grosse,toile ; de lin ; grosse,
toile ; de lin ; grise,,
toile ; de lin ; grasse,toile ; de lin ; grosse,
toile ; de lin ; gingas,toile ; de lin ; gingas,
toile ; de lin ; fine ; de Valenciennes,,
toile ; de lin ; fine ; de Hollande,toile ; de lin ; fine ; de Hollande,
toile ; de lin ; fine ; de Cambrai,,
toile ; de lin ; fine ; de ; illisible,,
toile ; de lin ; fine,toile ; de lin ; fine,
toile ; de lin ; fin,toile ; de lin ; fin,
toile ; de lin ; façon de Hollande,,
toile ; de lin ; en linge de table,,
toile ; de lin ; de S. Queatin,,
toile ; de lin ; de Gand,toile ; de lin ; de Gand,
toile ; de lin ; de Frise,toile ; de lin ; de Frise,
toile ; de lin ; de châles,,
toile ; de lin ; de bernay,toile ; de lin ; de bernay,
toile ; de lin ; de Troyes,toile ; de lin ; de Troyes,
toile ; de lin ; de St. Malo,toile ; de lin ; de St. Malo,
toile ; de lin ; de Servins,toile ; de lin ; de Servins,
toile ; de lin ; de Senlis,toile ; de lin ; de Senlis,
toile ; de lin ; de Russie,toile ; de lin ; de Russie,
toile ; de lin ; de Rouen,toile ; de lin ; de Rouen,
toile ; de lin ; de Marigny,toile ; de lin ; de Marigny,
toile ; de lin ; de Cambrai,,
toile ; de lin ; de Beaujolais,toile ; de lin ; de Beaujolais,
toile ; de lin ; de 15 aunes,,
toile ; de lin ; de 13 aunes,,
toile ; de lin ; d'Amiens,toile ; de lin ; d'Amiens,
toile ; de lin ; d'Alençon,toile ; de lin ; d'Alençon,
toile ; de lin ; d'Abbeville,toile ; de lin ; d'Abbeville,
toile ; de lin ; crue,toile ; de lin ; crue,
toile ; de lin ; coutel,,
toile ; de lin ; commune,toile ; de lin,
toile ; de lin ; claire,toile ; de lin ; claire,
toile ; de lin ; cirée,toile ; de lin ; cirée,
toile ; de lin ; brochée,toile ; de lin ; brochée,
toile ; de lin ; blanche ; commune,toile ; de lin ; blanche,
toile ; de lin ; batiste ; et linon,,
toile ; de lin ; au lait,toile ; de lin ; au lait,
toile ; de lin ; de St. Quentin,toile ; de lin ; de St. Quentin,
toile ; d'Inde,,
toile ; de Grenade,toile ; de Grenade,
toile ; de frame,,
toile ; de fougère,toile ; de fougère,
toile ; de Flandre ; de lin,,
toile ; de fil teint,,
toile ; de fil ; et coton ; teinte,,
toile ; de fil ; et coton ; imprimée,,
toile ; de fil ; et coton ; en siamoise ; teinte,,
toile ; de fil ; et coton ; en siamoise ; imprimée,,
toile ; de fil ; et coton ; en siamoise ; blanche,,
toile ; de fil ; et coton ; blanche,,
toile ; de fil ; et coton ; basin,,
toile ; de fil ; en coutil,toile ; de fil ; en coutil,
toile ; de fil,toile ; de Bretagne ; raxonne,
toile ; de coutil,,
toile ; de couleur,toile ; de couleur,
toile ; de cottray,,
toile ; de coton ; pointe,,
toile ; de coton ; et mousseline,,
toile ; de coton ; teinte,toile ; de coton ; teinte,
toile ; de coton ; soyée,toile ; de coton et soie,
toile ; de coton ; piquée,toile ; de coton ; piquée,
toile ; de coton ; persiste,toile ; de coton ; persiste,
toile ; de coton ; peinte,toile ; de coton ; peinte,
toile ; de coton ; mousseline,toile ; de coton ; mousseline,
toile ; de coton ; imprimée,toile ; de coton ; imprimée,
toile ; de coton ; façon de nankin,,
toile ; de coton ; en mousseline,toile ; de coton ; mousseline,
toiles ; de coton ; diverses,,
toile ; de coton ; des Indes,toile ; de coton ; des Indes,
toile ; de coton ; de Rouen,,
toile ; de coton ; cotonnette,toile ; de coton ; cotonnette,
toile ; de coton ; corroyée,toile ; de coton ; corroyée,
toile ; de coton ; brodée,,
toile ; de coton ; bisinette,,
toiles ; de coton ; basin,,
toile ; de coton ; illisible,,
toile ; de cordat,toile ; de cordat,
toile ; de Château-Gontier,toile ; de Château-Gontier,
toile ; de chanvre ; écrue,,
toiles ; de chanvre ; à voile,,
toile ; de chanvre ; trillin,toile ; de chanvre ; trillin,
toile ; de chanvre ; loutil,,
toile ; de chanvre ; lerue,toile ; de chanvre ; lerue,
toile ; de chanvre ; fine,toile ; de chanvre ; fine,
toiles ; de chanvre ; diverses,,
toile ; de chanvre ; illisible,,
toile ; de capiton,toile ; de capiton,
toile ; de brin,,
toile ; de Valenciennes,toile ; de Valenciennes,
toile ; de St Quentin,toile ; de St Quentin,
toile ; de St Georges,toile ; de St Georges,
toile ; de Silésie,,
toile ; de Saintonge,toile ; de Saintonge,
toile ; de Saint Quentin,,
toile ; de Saint Jean,toile ; de Saint Jean,
toile ; de Russie,toile ; de Russie,
toile ; de Rouannée,,
toile ; de Rouen,toile ; de Rouen,
toile ; de Rosconne,toile ; de Rosconne,
toile ; de Piémont,toile ; de Piémont,
toile ; de Mortagne,,
toile ; de Morlaix,,
toile ; de montagne,,
toile ; de Marigny,toile ; de Marigny,
toile ; de Lyon,toile ; de Lyon,
toile ; de lin ; royale,toile ; de lin ; royale,
toile ; de lin ; des Quentin,,
toile ; de Lille,toile ; de Lille,
toile ; de Levant ; divers,toile ; du Levant,
toile ; de Laval,toile ; de Laval,
toile ; de Grenoble,toile ; de Grenoble,
toile ; de Frize,toile ; de Frize,
toile ; de France,toile ; de France,
toile ; de Flandre,toile ; de Flandre,
toile ; de Comté,toile ; de Comté,
toile ; de Combourg,toile ; de Combourg,
toile ; de Cholet,toile ; de Cholet,
toile ; de Cholen,,
toile ; de Chauvreau,,
toile ; de Cambrai,,
toile ; de Caladric,,
toile ; de Bretagne ; à voile,toile ; de Bretagne ; à voile,
toile ; de Bretagne ; vitrée,toile ; de Bretagne ; vitrée,
toile ; de Bretagne ; serpillière,toile ; de Bretagne ; serpillière,
toile ; de Bretagne ; rouge ; et bleue,,
toile ; de Bretagne ; rondelette,,
toile ; de Bretagne ; reforme,toile ; de Bretagne ; reforme,
toile ; de Bretagne ; rayée,toile ; de Bretagne ; rayée,
toile ; de Bretagne ; raxonne,toile ; de Bretagne ; raxonne,
toile ; de Bretagne ; peinte,toile ; de Bretagne ; peinte,
toile ; de Bretagne ; ouvrée,toile ; de Bretagne ; ouvrée,
toile ; de Bretagne ; ocbrin,,
toile ; de Bretagne ; gros ; brin,,
toile ; de Bretagne ; grise,,
toile ; de Bretagne ; diverse,toile ; de Bretagne ; diverse,
toile ; de Bretagne ; de sept huit,toile ; de Bretagne ; de sept huit,
