ÊÈCode","Description"
"654.11","Tissus de bourrette de soie"
"654.13","Autres tissus de soie contenant au moins 85 % en poids de soie ou de déchets de soie (autres que la bourrette)"
"654.19","Autres tissus de soie"
"654.2","Tissus contenant au moins 85 p. 100 en poils de laine ou de poils fins (autres que les velours, peluches, tissus bouclés et tissus de chenille)"
"654.21","Tissus de laine cardée ou de poils fins cardés, contenant au moins 85 % en poids de laine ou de poils fins (autres que les velours, peluches et tissus de chenille)"
"654.22","Tissus de laine peignée ou de poils fins peignés, contenant au moins 85 % en poids de laine ou de poils fins (autres que les velours, peluches et tissus de chenille)"
"654.3","Tissus de laine ou de poils fins, n.d.a."
"654.31","Tissus de laine cardée ou de poils fins cardés, contenant moins de 85 % en poids de laine ou de poils fins mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels ou avec des fibres synthétiques ou artificielles discontinues"
"654.32","Tissus de laine peignée ou de poils fins peignés contenant moins de 85 % en poids de laine ou de poils fins, mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels ou avec des fibres synthétiques ou artificielles discontinues"
"654.33","Tissus de laine cardée ou de poils fins cardés, contenant moins de 85 % en pois de laine ou de poils fins mélangés principalement ou uniquement avec des fibres autres que des filaments ou des fibres discontinues synthétiques ou artificiels"
"654.34","Tissus de laine peignée ou de poils fins peignés, contenant moins de 85 % en poids de laine ou de poils fins mélangés principalement ou uniquement avec des fibres autres que des filaments ou fibres discontinues synthétiques ou artificiels"
"654.35","Velours et peluches tissés et tissus de chenille, en laine ou en poils fins (autres que ceux des sous-groupes 652.1, 654.9 ou 656.1)"
"654.4","Tissus de lin"
"654.41","Tissus de lin contenant au moins 85 % en poids de lin"
"654.42","Tissus de lin contenant moins de 85 % en poids de lin"
"654.5","Tissus de jute ou d’autres fibres textiles libériennes du groupe 264"
"654.6","Tissus de fibres de verre (y compris les tissus en petites largeurs)"
"654.9","Tissus, n.d.a."
"654.91","Tissus de fils de métal et tissus de filés métalliques ou de fils textiles métallisés du No 651.91, des types utilisés pour l’habillement, l’ameublement ou des usages similaires, n.d.a."
"654.92","Tissus de poils grossiers ou de crin"
"654.93","Tissus de fibres textiles végétales, n.d.a. ; tissus de fils de papier"
"654.94","Tissus à point de gaze (autres que les tissus en petites largeurs), en matières textiles autres que le coton"
"654.95","Velours et peluches tissés et tissus de chenille, n.d.a., en matières textiles (autres que la laine, le coton et les fibres synthétiques ou artificielles)"
"654.96","Tissus bouclés du genre éponge en matières textiles (autres que le coton)"
"654.97","Surfaces textiles touffetées"
"655","Etoffes de bonneterie (en pieces, plates ou tubulaires, n.d.a., y compris les etoffes facon velours, peluches et tissus boucles et la bonneterie a jours), n.d.a."
"655.1","Velours, peluches (y compris les étoffes dites ""à longs poils"") et étoffes bouclées, en bonneterie, même imprégnés, enduits, recouverts ou stratifiés"
"655.11","Etoffes dites « à longs poils »"
"655.12","Etoffes bouclées"
"655.19","Velours et peluches en bonneterie ou au crochet"
"655.2","Autres étoffes de bonneterie, non imprégnées, ni enduites, ni recouvertes, ni stratifiées"
"655.21","Autres étoffes de bonneterie, non imprégnées, enduites, recouvertes ni stratifiées, d’une largeur n’excédant pas 30 cm"
"655.22","Autres étoffes de bonneterie, non imprégnées, enduites, recouvertes ni stratifiées, d’une largeur excédant 30 cm, contenant au moins 5 % en poids de fils d’élastomères ou de fils de caoutchouc"
"655.23","Autres étoffes, de bonneterie-chaîne (y compris celles obtenues sur métiers à galonner)"
"655.29","Autres étoffes de bonneterie, n.d.a."
"656","Tulles, dentelles, broderies, rubans, passementerie et autres articles de mercerie"
"656.1","Rubanerie (autre que les articles du sous-groupe 656.2); rubans sans trame, en fils ou fibres parallélisés et encollés (bolducs)"
"656.11","Rubanerie de velours, de peluches, de tissus unis ou de tissus bouclés du genre éponge"
"656.12","Autre rubanerie contenant au moins 5 % en poids de fils d’élastomères ou de fils de caoutchouc"
"656.13","Autre rubanerie"
"656.14","Rubans sans trame, en fils ou fibres parallélisés ou encollés (bolducs)"
"656.2","Etiquettes, écussons et articles similaires en matières textiles, en pièces, en rubans, ou découpés, non brodés"
"656.21","Etiquettes, écussons et articles similaires tissés en matières textiles, en pièces, en rubans ou découpés en forme, non brodés "
"656.29","Etiquettes, écussons et articles similaires non tissés en matières textiles, en pièces, en rubans ou découpés en forme, non brodés"
"656.3","Fils guipés, lames et formes similaires des positions 651.77 ou 651.88, guipées (autres que ceux guipés de métal et autres que les fils de crin guipés); fils de chenille; fils dits ""de chaînette""; tresses en pièces; articles de passementerie et articles ornementaux analogues, en pièces (sans broderie ni bonneterie); glands, floches, olives, noix, pompons et articles similaires"
"656.31","Fils guipés, lames et formes similaires des Nos 651.77 ou 651.88, guipées (autres que guipés de métal et autres que les fils de crin guipés) ; fils de chenille ; fils dits « de chaînette »"
"656.32","Tresses en pièces ; articles de passementerie et articles ornementaux analogues, en pièces, sans broderie, autres que ceux en bonneterie ; glands, floches, olives, noix, pompons et articles similaires"
"656.4","Tulles, tulle-bobinots et tissus à mailles nouées; dentelles en pièces, en bandes ou en motifs"
"656.41","Tulles, tulles-bobinots et tissus à mailles nouées"
"656.42","Dentelles à la mécanique"
"656.43","Dentelles à la main"
"656.5","Broderies en pièces, en bandes ou en motifs"
"656.51","Broderies chimiques ou aériennes et broderies à fond découpé"
"656.59","Autres broderies"
"657","Fils speciaux, tissus speciaux et produits connexes"
"657.1","Feutres, même imprégnés, enduits, recouverts ou stratifiés, n.d.a."
"657.11","Feutres aiguilletés et produits cousus-tricotés"
"657.12","Autres feutres non imprégnés, enduits, recouverts ni stratifiés"
"657.19","Feutres imprégnés, enduits, recouverts ou stratifiés, n.d.a."
"657.2","Non-tissés, même imprégnés, enduits, recouverts ou stratifiés, n.d.a."
"657.3","Tissus et articles en matières textiles, imprégnés ou enduits, n.d.a."
"657.31","Tissus enduits de colle ou de matières amylacées, des types utilisés pour la reliure, le cartonnage, la gainerie ou des  usages similaires ; toiles à calquer ou transparentes pour le dessin ; toiles préparées pour la peinture ; bougran et tissus similaires raidis des types utilisés pour la chapellerie"
"657.32","Tissus imprégnés, enduits ou recouverts de matières plastiques ou stratifiés avec de la matière plastique (autres que ceux du No 657.93)"
"657.33","Tissus caoutchoutés (autres que ceux du No 657.93)"
"657.34","Autres tissus imprégnés, enduits ou recouverts ; toiles peintes pour décors de théâtre, fonds d’atelier ou usages analogues"
"657.35","Revêtements muraux en matières textiles"
"657.4","Produits textiles en pièce, constitués d’une ou plusieurs couches de matières textiles associées à une matière de rembourrage, piqués, capitonnés ou autrement cloisonnés, n.d.a."
"657.5","Ficelles, cordes et cordages et articles fabriqués en ficelles, cordes et cordages (filets de pêche, articles de corderie, par exemple)"
"657.51","Ficelles, cordes et cordages, tressés ou non, même imprégnés, enduits, recouverts ou gainés de caoutchouc ou de matières plastiques"
"657.52","Filets à mailles nouées, en nappes ou en pièces, obtenus à partir de ficelles, cordes ou cordages ; filets confectionnés pour la pêche et autres filets confectionnés, en matières textiles"
"657.59","Articles en fils, lames ou formes similaires des Nos 651.77 ou 651.88, fabriqués avec des ficelles, cordes et cordages, n.d.a."
"657.6","Cloches ou formes pour chapeaux, plateaux et manchons"
"657.61","Cloches non dressées (mises en forme) ni tournurées (mises en tournure), plateaux (disques), manchons et cylindres (même fendus dans le sens de la hauteur) en feutre"
"657.62","Cloches ou formes pour chapeaux, tressées ou fabriquées par assemblage de bandes en toutes matières, non dressées (mises en forme), ni tournurées (mises en tournure), ni garnies"
"657.7","Ouates, mèches et tissus et articles textiles pour usages techniques"
"657.71","Ouates de matières textiles et articles en ces ouates ; fibres textiles d’une longueur n’excédant pas 5 mm (tontisses), œillets et noppes (boutons) de matières textiles"
"657.72","Mèches tissées, tressées ou tricotées, en matières textiles, pour lampes, réchauds, briquets, bougies ou similaires ; manchons à incandescence et étoffes tubulaires tricotées servant à leur fabrication, même imprégnés"
"657.73","Produits et articles textiles pour usages techniques"
"657.8","Fils et cordes de caoutchouc, recouverts de textiles; fils textiles, lames et formes similaires des positions 651.77 ou 651.88, imprégnés, enduits, recouverts ou gainés de caoutchouc ou de matière plastique"
"657.81","Fils et cordes de caoutchouc, recouverts de textiles"
"657.85","Fils à haute ténacité, de polyester, de nylon ou d’autres polyamides ou de rayonne viscose, imprégnés ou enduits"
"657.89","Autres fils, cordes ou filaments, imprégnés, enduits, recouverts ou gainés "
"657.9","Produits spéciaux en matières textiles"
"657.91","Tuyaux pour pompes et tuyaux similaires, en matières textiles, même avec armatures ou accessoires en autres matières"
"657.92","Courroies transporteuses ou de transmission en matières textiles, même renforcées de métal ou d’autres matières"
"657.93","Nappes tramées pour pneumatiques, obtenues à partir de fils à haute ténacité de nylon ou d’autres polyamides, de polyester ou de rayonne viscose"
"658","Articles confectionnes entierement ou principalement en matieres textiles, n.d.a."
"658.1","Sacs et sachets d'emballage en matières textiles"
"658.11","Sacs et sachets d’emballage en jute ou autres fibres textiles libériennes du groupe 264"
"658.12","Sacs et sachets d’emballage en coton"
"658.13","Sacs et sachets d’emballage en matières textiles synthétiques ou artificielles"
"658.19","Sacs et sachets d’emballage en autres matières textiles"
"658.2","Bâches, voiles pour embarcations, planches à voile ou chars à voile, stores d'extérieur, tentes et articles de campement"
"658.21","Bâches et stores d’extérieur"
"658.22","Tentes"
"658.23","Voiles"
"658.24","Matelas pneumatiques"
"658.29","Articles de campement, n.d.a."
"658.3","Couvertures (autres que les couvertures chauffantes électriques)"
