marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
jeux d'échecs,800,8,Manufs divers,,new,,,non
jeux de camagnolle,800,8,Manufs divers,,new,,,non
jeux de moulin,,,,,,,,non
jeux de moulins à sucre,700,7,Machines et transports,,new,,,non
jeux de voile,700,7,Machines et transports,,new,,,non
joaillerie,800,8,Manufs divers,,ambiguous,[Joyaillerie],[Joyaillerie],non
jolités de cristal garnis de cuivre,800,8,Manufs divers,,new,,,non
jolités en pinsbeck,,,,,new,,,non
jolités mêlées,,,,,,,,non
joncs,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs à couvrir,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à couvrir bottes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à couvrir toits,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à faire ???,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à faire chaises,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Ioncs à fer chaises] [Joncs ; à F chaises] [Joncs ; à faire chaises] [Joncs ; à faire des chaises] [Joncs à faire chaises] [Joncs à fre chaises] [Jongs ; a faire chaises] [Jongs ; à faire ; des chaises] [Jongs ; à faire chaises] [Jongs ; à faire des chaises] [Jongs ; à fer chaises] [Jongs a fre chaises] [Jongs à fre chaise] [Jongs à fre. Chaises] [Jons ; à faire chaises] [Jons ; à faire des chaises] [joncs à faire chaises],non
joncs à faire des canne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs à faire des vertgadins,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs à faire les chaises des Indes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à joncher les volailles,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs à voile,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs commun,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs des Indes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs entes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs esté,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs et paille travaillée,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs et roseau,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs ou auf,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
joncs pour canne et bambou et rotin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs pour canne et bambou et ruban,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
joncs pour chaises,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Jouer ; pour choisir] [Jouet ; pour chaises] [Jouet ; pour choisir] [Jonc ; pour chaises],non
joncs rotin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
jonquine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Jonquine] [Jouquine],[Jonquine] [Jouquine] [jonquine],non
jouets,800,8,Manufs divers,,ambiguous,,[Jouet] [Jouets],non
jouets d'enfance,800,8,Manufs divers,,new,,,non
jouets d'enfant,800,8,Manufs divers,,new,,,non
jougs de bœuf,700,7,Machines et transports,,new,,,non
joujous d'enfants,800,8,Manufs divers,,new,,,non
joujoux d'enfants,800,8,Manufs divers,,new,,,non
jude plate,,,,,new,,,non
juifs qui payent le droit corporel à la sortie,,,,,new,,,non
jujubes,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Jujubes],[Jujubes],non
julaux,,,,,,,,non
julienne,,,,,existing,,,non
juments,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Jumens] [Juments] [Chevaux juments] [Chevaux ; jument] [Jument] [Chevaux ; juments] [Chevaux ; Jumens],non
juments de somme,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Bestiaux et bêtes ; de somme ; juments] [Betes de somme ; Juments],non
juments et poulains,110,0a,Nourriture européenne et animaux vivants,,new,,,non
jupes,,,,,,,,non
jupes de coton,,,,,,,,non
jupes de laine et de soie,800,8,Manufs divers,,new,,,non
jupes de molleton,800,8,Manufs divers,,new,,,non
jupes de molson,800,8,Manufs divers,,new,,,non
jupes piqué,,,,,,,,non
jupons,,,,,,,,non
jupons de satin,800,8,Manufs divers,,new,,,non
jupons de taffetas,800,8,Manufs divers,,new,,,non
jupons de toile peinte,,,,,,,,non
jupons piqué,,,,,,,,non
jus,10,0a,Autres produits alimentaires et animaux,x,ambiguous,[Jus] [jus] [Jus ; de citron] [Jus ; de citrons] [Jus de citron] [Jus de citrons] [Jus; de citron] [jus ; de citron] [jus de citron] [Jus de poire] [Jus de pomme],[Jus] [jus] [Jus ; de citron] [Jus ; de citrons] [Jus de citron] [Jus de citrons] [Jus; de citron] [jus ; de citron] [jus de citron] [Jus de poire] [Jus de pomme],non
jus de citron et de limon,10,0a,Autres produits alimentaires et animaux,x,ambiguous,,[Jus ; de citron et de limons] [Jus de citron et limen],non
jus de citron et de limonade,10,0a,Autres produits alimentaires et animaux,x,new,,,non
jus de limon,10,0a,Autres produits alimentaires et animaux,x,ambiguous,,[Jus ; de limon] [Jus de limon] [jus de limon] [Jus de limons],non
jus de réglisse,500,5,Produits chimiques,,ambiguous,,"[Jus ; de reglisse] [Jus ; de réglisse] [Jus de Reglise] [Jus de Reglisse] [Jus de Réglise] [Jus de bois de réglisse] [Jus de reglisse] [Jus de réglisse] [Jus de réglisse et bois] [Jus de réglisse, &c] [jus ; De réglisse] [jus ; de reglisse] [jus de reglisse] [Drogues ; jus ; de réglisse] [Drogues ; Composées pour ma médecine ; Jus de réglise] [Drogues ; composées Pour medecine ; Jus de reglise] [///Drogues Médicinales///Jus de réglisse] [///Drogues midicinales///Jus de réglisse] [///Drogues médicinales///Jus de réglisse] [Drogueries ; médécinales ; jus de réglisse] [Drogues ; Médécinales ; Jus de reglisse] [Drogues ; médicinale ; jus ; de reglisse] [Drogues ; médécinales ; jus ; de réglisse] [Drogues ; médécinales ; jus de réglisse] [Drogues ; jus de reglisse]",non
jussienne,,,,,new,,,non
kichorchais,,,,,new,,,non
kicoutis,,,,,new,,,non
killis,,,,,new,,,non
korola des Indes,,,,,new,,,non
korots,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Korots],non
korotte,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Korotte],non
koruoté,999,???,???,,ambiguous,[Koruoté],[Koruoté],non
labdanum,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Labdanum],[Labdanum],non
lac commun,,,,,new,,,non
lacet,6,6,6,,ambiguous,[Lacets] [Lassets],[Lacets] [Lassets],non
lacet de fil,651,6d,Textiles lin chanvre jute ramies,,ambiguous,,[Lacets ; de fil] [Lanets ; de fil] [Lasset ; de fil] [Lassets ; de fil] [Lacets de fil],non
lacet de filoselle,653,6f,Textiles soie soie mêlée,,ambiguous,,[Lasset ; de filoselle] [Lassets ; de filozelle],non
lacet de fleuret,653,6f,Textiles soie soie mêlée,,ambiguous,,[Lacets ; de fleuret] [Lasset ; de fleuret] [Lassets ; de fleures] [Lassets ; de fleuret] [Lacet de fleuret],non
lacet de laine,800,8,Manufs divers,,ambiguous,,[Lanets ; de laine],non
lacet de soie,653,6f,Textiles soie soie mêlée,,ambiguous,,[Lasset ; de soye] [Lassets ; de soye] [Lassets de soye] [Lassette ; de soye] [Lacets de soye],non
lacets de filoselle et de soie,,,,,new,,,non
lacets de peau,,,,,new,,,non
lackière,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour peinture et teinture ; lackière],non
lackmoes,999,???,???,,new,,,non
lackmoir,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour peinture et teinture ; Lackmoir],non
lacmoëre,999,???,???,,new,,,non
lacmoes,999,???,???,,new,,,non
lacmoës,999,???,???,,new,,,non
laimois,999,???,???,,ambiguous,[Laimois],[Laimois],non
lain,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Lain],non
lainage couverture,652,6e,Textiles laine poil,,ambiguous,,[Lainages ; Couvertures] [Lainages ; couvertures],non
laine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,"[agnelines et crottelins] [Lain] [Laine] [Laines] [Laisne] [Laine ; en ...] [Laines communes, ordinaires, lavées et en suint] [Laine ; diverse] [Laine ; diverses] [Laines ; de toutes sortes] [Laines ; diverses] [Laines diverses] [Laine ; en masses] [Sorte de laine]",[Laine] [Laines] [Laisne] [Laine ; diverse] [Laine ; diverses] [Laines ; de toutes sortes] [Laines ; diverses] [Laines diverses] [Laines divers] [1///Matières première///Laine] [Laine diverses] [laine] [1///Matières premières///Laine],non
laine à broder,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; a broder] [Laine ; à broder] [Laine a broder] [Laine à broder] [Laines a broder],non
laine à lisière,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; à lizière],non
laine à matelas,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; à matelas] [Laine ; à matelats],non
laine à tapisserie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; a Tapisserie] [Laine ; a tapisserie] [Laine ; à tapisserie] [Laine ; à tapissoire] [Laine a tapisser] [Laine a tapisserie] [Laine à tapisserie] [Laines à tapisserie],non
laine à tricoter,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; à tricoter],non
laine apprêtée pour perruque,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine bâtarde,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; batarde],non
laine blanche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; blanche],non
laine blanche non filée,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; blanche ; non filée],non
laine brute,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; Bruttes] [Laine ; brule] [Laine ; brute] [Laine ; brutte] [Laine brut] [Laine brute] [Laine brutte] [laine ; brutte] [Laine brute de mouton] [laine brut ou non lavée],non
laine commune,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; Commune] [Laine ; commune] [Laine ; communs] [Laine Commune] [Laine commun] [Laine commune] [Lamie commune] [laine commune],non
laine commune d'Espagne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine commune et lavée et en suint,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,"[Laines communes, ordinaires, lavées et en suint]",non
laine commune filée,652,6e,Textiles laine poil,,new,,,non
laine crotelin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; crotelin],non
laine crue,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; cru],non
laine d'agnelin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; aguelin] [Laine ; d' agnelin] [Laine ; d'Agnelin] [Laine ; d'agnelin] [Laine ; d'aguelin] [Laine ; d'aquelin] [Laines ; d'Aignelin] [laine d'agnelin] [laine d'aignelin] [Laine d'aignelain] [Laines ; aguelins] [Laine d'aignelin],non
laine d'agnelin en suint,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Allemagne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'alpaca,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Angleterre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; d'Angleterre] [Laine ; d'angleterre],non
laine d'Arles,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Arménie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Autriche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Écosse,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'écru,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; d'écrue],non
laine d'Espagne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Espagne fine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Espagne fine par Rouen et Marseille,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Espagne grossière,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Espagne lavée,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine d'Italie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; d'Italie] [Laine ; de Pouille] [Laine ; de Rome] [Laine en Rome] [laine de rome] [Laine ; de Venise] [Laine ; de pouille],non
laine de barbarie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Barbarie] [Laine ; de barbarie] [Laine de Barbarie],non
laine de Bologne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Brême,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Carmenie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de chamois,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de chamois],non
laine de chèvre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de chevres] [Laine ; de chèvre],non
laine de chevron,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Chevron] [Laine ; de chevron] [Laine ; de chevrons] [Laine de Chevron] [Laine de chevron] [laine ; de chevron] [laine de chevron] [Laine; De chevrons] [Laine; De chevron],non
laine de chevron et poil de chameau,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,"[Laines de chevron et poil de chameau] [Laines de chevron, poils de chameau]",non
laine de chevron et poil de chameau et vigogne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
laine de chevron et poil de lapin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laines de chevron et poil de lapin],non
laine de Constantinople,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Constantinople],non
laine de Danemark,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Danemark] [Laine ; de Dannemark],non
laine de farumie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de fer,670,6j,Métal,,ambiguous,,[Laines de Fer],non
laine de Hollande,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; d'Hollande] [Laine ; d'hollande],non
laine de Moscou,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Moscous],non
laine de pelade,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Perse,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Pologne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Pologne] [Laine ; de pologne] [laine de Pologne],non
laine de Pologne et autre laine étrangère,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Poméranie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Portugal,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Portgal] [Laine ; de Portugal] [Laine de Portugal],non
laine de Prusse,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
laine de Smyrne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de smirne],non
laine de Suède,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de Suède],non
laine de surge,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine de surge],non
laine de tan,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Laine ; de tan],non
laine de tapisserie,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
