orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
tulle et gaze de coton,1,gaze et tulle de coton,2
turban,1,turban,1
turban de soie,3,turban de soie,3
turbie,3,turbit,38
turbit,35,turbit,38
turbot,2,turbot,2
turbot salé,1,turbot salé,1
turlutaines,1,turlutaines,1
turquoise,1,turquoise,1
turquoise des prises,1,turquoise des prises,1
turquoise et turlutaines,1,turlutaines et turquoise,1
tussaux,1,tussaux,1
tutie,25,oxyde de zinc gris cendré,26
tutilly,2,tutilly,2
tuyaux,1,tuyaux,1
tuyaux d'orgues,2,tuyaux d'orgue,2
tuyaux de cuir pour les pompes,1,tuyaux de cuir pour les pompes,1
tuyaux de fer,1,tuyaux de fer,1
tuyaux de fer à vernir,1,tuyaux de fer à vernir,1
tuyaux de grenade,2,tuyaux de grenade,2
tuyaux de pipes,2,tuyaux de pipes,2
tuyaux de plomb,1,tuyaux de plomb,5
ufs,2,œufs,98
urnes de terre,1,urnes de terre,1
ustensiles,3,outils,33
ustensiles d'agriculture,1,outils d'agriculture,1
ustensiles d'imprimerie,5,outils d'imprimerie,6
ustensiles d'imprimerie marbre,1,outils d'imprimerie et de marbre,1
ustensiles de boulanger,1,outils pour boulanger,1
ustensiles de cuisine,6,outils de cuisine,6
ustensiles de fer,1,outils de fer,13
ustensiles de fer à forgeron,1,outils de fer à forgeron,1
ustensiles de marine,1,outils de marine,1
ustensiles de ménage,2,outils de ménage,2
ustensiles de moulins,1,outils de moulins,1
ustensiles de pêche,47,outils de pêche,67
ustensiles de pêche de la morue verte,1,outils de pêche à la morue,6
ustensiles de pêche en filets,3,filets et ustensiles de pêche,11
ustensiles de pêche et filets,4,filets et ustensiles de pêche,11
ustensiles de pêche filets,4,filets et ustensiles de pêche,11
ustensiles de pêche par Marseille,1,outils de pêche par Marseille,1
ustensiles de pêcheur,5,outils de pêche,67
ustensiles de sécheurs,2,outils pour sécheurs,2
ustensiles divers,2,outils,33
ustensiles divers pour la pêche,6,outils de pêche,67
ustensiles lignes,1,lignes à pêcher,103
ustensiles militaires et de guerre,1,ustensiles militaires,1
ustensiles nécessaires à la pêche de la morue,2,outils de pêche à la morue,6
ustensiles nécessaires à la pêche de la morue verte,2,outils de pêche à la morue,6
ustensiles ou effets de troupes,1,effets de troupes,1
ustensiles pour la pêche,9,outils de pêche,67
ustensiles rets,1,rets,1
vaches,75,vaches,156
vaches en vie,11,vaches en vie,11
vaches et génisses,1,génisses et vaches,1
vaches génisses,3,génisses,32
vaches génisses et taureaux,2,génisses et taureaux et vaches,4
vaches grasses et en chair,1,vaches grasses et en chair,1
vaches maigres,1,vaches maigres,1
vaches taureaux,1,taureaux et vaches,2
vaches taureaux en vie,1,taureaux et vaches,2
vaches taureaux et génisses,2,génisses et taureaux et vaches,4
vaches tuées,1,vaches tuées,1
vaches vaches,1,vaches,156
vaches veaux,1,vaches et veaux,1
vaches vivantes,1,vaches vivantes,1
vacquette,21,vacquette,21
vaisseaux montés,1,vaisseaux montés,1
vaisselle,1,vaisselle,5
vaisselle d'argent,125,vaisselle d'argent,164
vaisselle d'argent d'Allemagne,1,vaisselle d'Allemagne d'argent,1
vaisselle d'étain,4,vaisselle d'étain,4
vaisselle d'or,1,vaisselle d'or,2
vaisselle de Biarritz,1,vaisselle de Biarritz,1
vaisselle de bois,8,vaisselle de bois,8
vaisselle de bois verni,1,vaisselle de bois verni,1
vaisselle de faïence,5,vaisselle de faïence,63
vaisselle de métal,1,vaisselle de métal,1
vaisselle de terre,8,vaisselle de terre,10
vaisselle plate,1,vaisselle plate,1
vaisselle terre,1,vaisselle de terre,10
valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,1,valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,1
valises,1,valises,1
valises petites,1,valises petites,1
vallonea,1,vallonea,1
valtones,1,valtones,1
van à vanner,1,vans à vanner,15
vandes,1,vandes,1
vanille,115,vanille,117
vanille botte,1,vanille botte,1
vannerie sans désignation,1,vannerie,5
vannerie sans désignation brute,1,vannerie brute,1
vannerie sans désignation coupée,1,vannerie coupée,1
vannerie sans désignation d'espèce,1,vannerie d'espèce,1
vannerie sans désignation d'espèce brute,2,vannerie brute d'espèce,2
vannerie sans désignation d'espèce coupée,2,vannerie coupée d'espèce,2
vannerie sans désignation d'espèce pelée,2,vannerie d'espèce pelée,2
vannerie sans désignation pelée,1,vannerie pelée,1
vannes de coton blanches,1,vannes de coton blanches,1
vans à vanner,14,vans à vanner,15
vans et verges d'osier,1,vans et verges d'osier,1
varech,1,varech,1
vareuse de toile,1,vareuse de toile,1
varlopes,1,varlopes,1
vas du Rhin,1,vas du Rhin,1
vases,1,vases,1
vases de briques,1,vases de briques,1
vases de faïence,1,vases de faïence,3
vases de pierre,3,vases de pierre,3
vases de plâtre,2,vases de plâtre,2
vases de terre,3,vases de terre,3
vaté,1,vaté,1
vathout scié en planches,1,planches de vathout,1
vatons,2,vatons,2
vaudes,92,vaudes,92
vaudes bottes,1,vaudes bottes,1
veaux,23,veaux,63
veaux de lait,9,veaux de lait,11
veaux en vie,4,veaux en vie,4
védasse,1,védasse,16
végétal,3,végétal,3
veiles,1,veiles,1
velbar,1,velbar,1
velours,362,velours,362
velours à ramage,1,velours à ramage,1
velours avec argent,1,velours avec argent,1
velours bleu,2,velours bleu,2
velours ciselé à fond d'or,1,velours ciselé à fond d'or,1
velours commun,5,velours commun,5
velours coton,87,velours de coton,210
velours cramoisi,12,velours cramoisi,12
velours d'Utrecht,7,velours d'Utrecht,7
velours de Chine,2,velours de Chine,2
velours de coton,87,velours de coton,210
velours de coton aune,1,velours de coton,210
velours de Gênes,5,velours de Gênes,5
velours de gueux,8,velours de gueux,8
velours de laine,1,velours de laine,2
velours de soie,14,velours de soie,16
velours de soie aune,1,velours de soie,16
velours de soie pièces de 30 aunes,1,velours de soie de 30 aunes,1
velours et futaine,1,futaine et velours,1
velours gueuse,1,velours gueuse,1
velours noir,8,velours noir,8
velours noir de Gênes,1,velours de Gênes noir,1
velours ordinaire,4,velours ordinaire,4
velours uni,1,velours uni,1
vendanges,1,vendange,1
vénitienne,1,vénitienne,1
ver ???,1,ver ???,1
verdasse,1,verdasse,1
verdet,473,verdet,586
verdet ???,1,verdet ???,1
verdet et vert-de-gris,1,verdet,586
verdet gris,4,verdet,586
verdet ou vert-de-gris,1,verdet,586
verges à moulins,1,verges à moulins,1
verges de cuivres,1,verges de cuivres,1
verges de fer,1,verges de fer,83
vergnes,1,vergnes,1
vergues,18,vergues,18
vergues à mâtures,1,vergues à mâture,2
vergues de 22 pieds,1,vergues de 22 pieds,1
vergues de 25 pieds,1,vergues de 25 pieds,1
vergues de 30 à 40 pieds,1,vergues de 30 à 40 pieds,1
vergues de 30 pieds,1,vergues de 30 pieds,1
vergues de 35 pieds sur 8 pouces de diamètre,1,vergues de 35 pieds sur 8 pouces de diamètre,1
vergues de 40 à 46 pieds,1,vergues de 40 à 46 pieds,1
vergues de 40 pieds sur 10 pouces de diamètre,1,vergues de 40 pieds sur 10 pouces de diamètre,1
vergues de 44 à 50 pieds,1,vergues de 44 à 50 pieds,1
vergues de 44 pieds,1,vergues de 44 pieds,1
"vergues de 47 pieds sur 10,5 pouces de diamètre",1,"vergues de 47 pieds sur 10,5 pouces de diamètre",1
vergues de 52 pieds,1,vergues de 52 pieds,1
vergues de 53 à 57 pieds,1,vergues de 53 à 57 pieds,1
"vergues de 56 pieds sur 10,5 pouces de diamètre",1,"vergues de 56 pieds sur 10,5 pouces de diamètre",1
vergues de navire,2,vergues de navire,2
vergues de sapin,2,vergues de sapin,2
vergues de sapin de 38 pieds,1,vergues de sapin de 38 pieds,1
vergues de sapin de 44 pieds,1,vergues de sapin de 44 pieds,1
vergues pour mâtures,1,vergues à mâture,2
vergues pour navire,1,vergues pour navire,2
vergues pour vaisseau,1,vergues pour navire,2
verjus,2,verjus,2
vermeille,1,vermeille,1
vermicelle,343,vermicelle,343
vermicelle ou vermissely,1,pâte d'Italie et vermicelle,64
vermilles,1,vermilles,1
vermillon,345,vermillon,364
vermillon de tasse,1,vermillon de tasse,1
vermillon et cinabre,2,cinabre et vermillon,2
vernis,29,vernis,33
vernis à peindre,6,vernis à peindre,6
vernis de terre,1,vernis de terre,1
vernis de toute sorte,1,vernis,33
vernis et vermeil,1,vermeil et vernis,1
vernis massé,1,vernis massé,1
vernis préparés,1,vernis préparés,1
vernoix,1,vernoix,1
vernunes,1,vernunes,1
verrerie,102,verrerie,122
verrerie à boire,1,verrerie à boire,1
verrerie à vitre,7,verrerie à vitre,7
verrerie autres que cristaux,1,verrerie autres que cristaux,1
verrerie bouteilles,4,verrerie bouteilles,4
verrerie bouteilles pleines vides et dame-jeannes,1,bouteilles pleines de verres et vides et dame-jeannes de verre,1
verrerie cassée,3,verrerie cassée,3
verrerie cristal,2,cristal,95
verrerie cristaux,1,cristaux,2
verrerie d'office,2,verrerie d'office,2
verrerie dame-jeannes,2,dame-jeannes,234
verrerie de Baume,1,verrerie de Baume,1
verrerie de cristal,1,cristal,95
verrerie de toute espèce,2,verrerie,122
verrerie diverse,54,verrerie diverse,55
verrerie en boucaut,1,verrerie en boucaut,1
verrerie en bouteilles,11,verrerie en bouteilles,11
verrerie ordinaire,1,verrerie diverse,55
verrerie verrerie,5,verrerie,122
verrerie verres à boire,4,verres à boire,382
verrerie verres en bouteilles,4,bouteilles de verres,104
verrerie verres en dame-jeannes,5,dame-jeannes de verre,102
verres,10,verres,26
verres ??? d'estampes,2,verres ??? d'estampes,2
verres à boire,377,verres à boire,382
verres à boire assortiment,1,verres à boire,382
verres à boire communs,39,verres à boire communs,39
verres à boire cristallins,3,verres à boire cristallins,3
verres à boire de Bohème,1,verres de Bohème à boire,1
verres à boire de cristal,12,verres à boire de cristal,17
verres à boire de Venise,1,verres à boire de Venise,1
verres à boire en cristal,1,verres à boire de cristal,17
verres à boire et à vitre,1,verres à boire et à vitre,1
verres à boire et gobelets,1,gobelets et verres à boire,1
verres à boire et pots à moutarde,1,pots à moutarde et verres à boire,1
verres à boire gobelets,1,verres à boire gobelets,1
verres à boire moutardiers etc,1,verres à boire moutardiers etc.,1
verres à carreaux,1,verres à carreaux,1
verres à carreaux de vitre,2,verres à carreaux et vitre,5
verres à carreaux et vitre,3,verres à carreaux et vitre,5
verres à cristal,1,verres à cristal,1
verres à gobelets,2,verres à gobelets,2
verres à horloge de mer,1,verres à horloge de mer,1
verres à liqueur,1,verres à liqueur,1
verres à lunettes,2,verres à lunettes,2
verres à lunettes ou à cadran bruts,1,verres bruts à cadran et à lunettes,1
verres à lunettes ou à cadran taillés,1,verres taillés à cadran et à lunettes,1
verres à table,1,verres de table,1
verres à vin,2,verres à vin,2
verres à vitre,222,verres à vitre,227
verres à vitre communs,2,verres communs à vitre,2
verres à vitre d'Allemagne,1,verres à vitre d'Allemagne,1
verres à vitre de France,1,verres à vitre de France,1
verres à vitre de France d'Allemagne et autres,2,verres à vitre,227
verres à vitre découpées en carreaux,1,verres en carreaux et à vitre,5
verres à vitre en carreaux,4,verres en carreaux et à vitre,5
verres à vitre petits carreaux,1,verres en petits carreaux et à vitre,1
verres à vitrer,3,verres à vitre,227
verres assortis,4,verres,26
verres blancs,5,verres blancs,5
verres blancs en assortiment,1,verres blancs en assortiment,1
verres brodées,3,verres brodés,3
verres cassés,72,verres cassés,72
verres cassés en groisil,1,verres cassés en groisil,1
verres chimiques,1,verres chimiques,1
verres communs,253,verres communs,253
verres communs à boire,38,verres communs à boire,38
verres communs gobelets,2,verres communs gobelets,2
verres cristal,4,verres de cristal,236
verres cristallins,128,verres de cristal,236
verres cristallins à boire,4,verres à boire de cristal,17
verres cuivrés cristallins,1,verres cristallins et cuivrés,1
verres cuivrés dame-jeannes,1,dame-jeannes cuivré et de verres,1
verres cuivrés en gobeleterie et à boire,1,verres cuivrés en gobeleterie et à boire,1
verres cuivrés en tables,1,verres cuivrés en table,1
verres d'Allemagne,2,verres d'Allemagne,2
verres d'Alsace,1,verres d'Alsace,2
verres d'ambre,1,verres d'ambre,1
verres d'antimoine,3,verres d'antimoine,3
verres d'Asace,1,verres d'Alsace,2
verres d'assortiment,7,verres,26
verres d'Étampes,2,verres d'Étampes,2
verres d'offre,1,verres d'offre,1
verres dame-jeannes,1,dame-jeannes,234
verres de baromètre,5,verres de baromètre,5
verres de Bohème,5,verres de Bohème,5
verres de composition,2,composition de verre,3
verres de cristal,102,verres de cristal,236
verres de cristallin,2,verres de cristal,236
verres de lampes,2,verres de lampes,2
verres de lanternes,1,verres de lanternes,1
verres de lorraine,1,verres de Lorraine,3
verres de Lorraine,2,verres de Lorraine,3
verres de mer,2,verres de mer,2
verres de montres,9,verres pour montre,10
verres de pour estampes,1,verres pour estampes,3
verres de Saint-Louis,1,verres de Saint Louis,1
verres de toute sorte,1,verres de toute sorte,1
verres divers,5,verres,26
verres du Barrois,1,verres du Barrois,1
verres en ???,1,verres en ???,1
verres en bouteilles,100,bouteilles de verres,104
verres en carreaux,5,carreaux de verre,13
verres en cloches,1,cloches de verre,3
verres en dame-jeannes,68,dame-jeannes de verre,102
verres en dame-jeannes clissées,8,dame-jeannes clissées et de verres,8
verres en fioles,3,verres en fioles,3
verres en flacons,4,flacons de verres,4
verres en fontaine,1,fontaine de verres,1
verres en gobeleterie,2,gobelets de verre,38
verres en gobelets,11,gobelets de verre,38
verres en gobelets à boire,1,gobelets à boire de verres,1
verres en lampes,1,lampes de verres,1
verres en rocaille,1,rocaille de verre,16
verres en tables,17,tables de verre,18
verres en verrerie,5,verrerie,122
verres en vitre,1,vitre de verre,3
verres et cristaux bouteilles pleines,1,bouteilles pleines,3
verres et cristaux bouteilles vides,1,bouteilles vides,7
verres et cristaux cristaux,1,cristaux,2
verres et cristaux miroirs grands de plus de 3 millimètres d'épaisseur,1,miroirs grands de plus de 3 millimètres d'épaisseurs,1
verres et cristaux miroirs petits sans distinction,1,miroirs petits sans distinction,1
verres et cristaux verrerie de toute autre sorte que celle ci-dessus,1,verrerie,122
verres et cristaux verres à lunettes ou à cadran taillés ou polis,1,verres à cadran et à lunettes polis et taillés,1
verres et cristaux vitrifications émail,1,vitrifications émail,3
verres et cristaux vitrifications en grains percés pour chapelets et colliers,1,vitrifications en grains percés pour chapelets et colliers,2
verres et cristaux vitrifications en masses ou en tubes à tailler,1,vitrifications en masses ou en tubes à tailler,2
verres et cristaux vitrifications taillées en pierres à bijoux,1,vitrifications taillées en pierres à bijoux,3
verres et gobelets,6,gobelets et verres,8
verres et gobelets de cristal,2,gobelets et verres de cristal,3
verres et gobelets en cristal,1,gobelets et verres de cristal,3
verres et verrerie diverse,10,verres et verrerie,10
verres et verrerie en bouteilles,3,bouteilles de verre,598
verres et verrerie en dame-jeannes,4,dame-jeannes de verre,102
verres et verrerie en lampes et gobelets,3,gobelets et lampes de verre,3
verres filés,1,verres filés,1
verres gobeleterie,1,gobelets et verres,8
verres moulein,1,verres moulein,1
verres ou gobelets,1,gobelets et verres,8
verres ouvragés,1,verres ouvrés,3
verres ouvrés,2,verres ouvrés,3
verres ouvrés bouteilles,1,bouteilles de verre,598
verres ouvrés d'assortiment,2,ouvrages de verres,4
verres ouvrés dame-jeannes,2,dame-jeannes de verre,102
verres ouvrés divers,2,ouvrages de verres,4
verres ouvrés en bouteilles,3,bouteilles de verre,598
verres ouvrés en dame-jeannes,1,dame-jeannes de verre,102
verres ouvrés en gobeleterie ???,1,verres ouvrés en gobeleterie ???,1
verres ouvrés en gobeleterie avec boîtes,1,verres ouvrées en gobeleterie avec boîtes,1
verres ouvrés en tables,1,tables de verre,18
verres peints,1,verres peints,1
verres pour boire,1,verres pour boire,1
verres pour estampes,2,verres pour estampes,3
