goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
mercerie d'étoupe de lin,1,,non,1391
mercerie de bois,5,Pas grain (0),non,539069
mercerie de cordonnier à laine,1,Pas grain (0),non,539069
mercerie de crin,2,,non,1391
mercerie de cuivre,7,Pas grain (0),non,539069
mercerie de Nuremberg,2,Pas grain (0),non,539069
mercerie de quincaille,1,Pas grain (0),non,539069
mercerie de renvoi,2,Pas grain (0),non,539069
mercerie en lignets et hameçons,1,Pas grain (0),non,539069
mercerie en peigne d'ivoire,1,Pas grain (0),non,539069
mercerie en peignes de bois,1,Pas grain (0),non,539069
mercerie épingles,2,Pas grain (0),non,539069
mercerie et bibelots,0,Pas grain (0),oui,539069
mercerie et quincaille,0,Pas grain (0),oui,539069
mercerie et quincaillerie,27,Pas grain (0),non,539069
mercerie étrangère,1,Pas grain (0),non,539069
mercerie fine,295,Pas grain (0),non,539069
mercerie fine épingles,0,Pas grain (0),oui,539069
mercerie fine et aiguilles,0,Pas grain (0),oui,539069
mercerie fort,1,Pas grain (0),non,539069
mercerie grosse,8,Pas grain (0),non,539069
mercerie grossière,62,Pas grain (0),non,539069
mercerie mêlée en lisière de drap,1,Pas grain (0),non,539069
mercerie ordinaire,36,Pas grain (0),non,539069
mercerie peignes de bois,1,Pas grain (0),non,539069
mercerie peignes de corne,1,Pas grain (0),non,539069
mercerie tabatières corne,0,Pas grain (0),oui,539069
mercerie très commune,1,Pas grain (0),non,539069
mercerie très fine,1,Pas grain (0),non,539069
merciers,1,Pas grain (0),non,539069
mercure,600,Pas grain (0),non,539069
mercure corrosif,1,Pas grain (0),non,539069
mercure coulant,2,Pas grain (0),non,539069
mercure doux,17,Pas grain (0),non,539069
mercure natif,5,Pas grain (0),non,539069
mercure précipité,7,Pas grain (0),non,539069
meriers,12,Pas grain (0),non,539069
meriers à faire échelles,1,Pas grain (0),non,539069
meriers petits,1,Pas grain (0),non,539069
meriezes,1,Pas grain (0),non,539069
merlan,2,Pas grain (0),non,539069
merlan salé,1,Pas grain (0),non,539069
merles,1,Pas grain (0),non,539069
merlin,1,Pas grain (0),non,539069
merluche,92,Pas grain (0),non,539069
merluche salée,1,Pas grain (0),non,539069
merlus,1,Pas grain (0),non,539069
merrains,794,Pas grain (0),non,539069
merrains ???,1,Pas grain (0),non,539069
merrains à barils,47,Pas grain (0),non,539069
merrains à barriques,472,Pas grain (0),non,539069
merrains à barriques bûches,1,Pas grain (0),non,539069
merrains à barriques douves,1,Pas grain (0),non,539069
merrains à barriques et fonçaille,1,Pas grain (0),non,539069
merrains à bœuf,2,Pas grain (0),non,539069
merrains à bottes,10,Pas grain (0),non,539069
merrains à boucaud,1,Pas grain (0),non,539069
merrains à buses,5,Pas grain (0),non,539069
merrains à buses douelles,1,Pas grain (0),non,539069
merrains à busses,0,Pas grain (0),oui,539069
merrains à fonçaille,13,Pas grain (0),non,539069
merrains à fond,93,Pas grain (0),non,539069
merrains à fonds,8,Pas grain (0),non,539069
merrains à futailles,2,Pas grain (0),non,539069
merrains à muid,1,Pas grain (0),non,539069
merrains à pipes,298,Pas grain (0),non,539069
merrains à pipes bûches,1,Pas grain (0),non,539069
merrains à pipes de 4 à 5 pieds à 1 pouce 1/2 d'épaisseur,1,Pas grain (0),non,539069
merrains à pipes de 4 pieds,1,Pas grain (0),non,539069
merrains à poinçon,1,Pas grain (0),non,539069
merrains à quart,49,Pas grain (0),non,539069
merrains à tierçons,23,Pas grain (0),non,539069
merrains à tonneau,0,Pas grain (0),oui,539069
merrains à tonneaux,110,Pas grain (0),non,539069
merrains à tortue,2,Pas grain (0),non,539069
merrains au-dessous de 974 millimètres,2,Pas grain (0),non,539069
merrains autres que de chêne,2,Pas grain (0),non,539069
merrains autres que de chêne de toutes dimensions à la valeur,1,Pas grain (0),non,539069
merrains autres que de chêne de toutes dimensions au nombre,1,Pas grain (0),non,539069
merrains barillage,1,Pas grain (0),non,539069
merrains barricages,4,,non,1391
merrains barriques douelles,1,Pas grain (0),non,539069
merrains bourdilles,2,Pas grain (0),non,539069
merrains bourdillons,1,Pas grain (0),non,539069
merrains cartage,1,Pas grain (0),non,539069
merrains communs,1,Pas grain (0),non,539069
merrains de 1 mètre 299 millimètres de longueur et au-dessus,2,Pas grain (0),non,539069
merrains de 1299mm de longueur et au-dessus,1,Pas grain (0),non,539069
merrains de 1299mm exclus à 974 inclus,1,Pas grain (0),non,539069
merrains de 4 pieds,1,Pas grain (0),non,539069
merrains de 5 pieds,1,Pas grain (0),non,539069
merrains de chêne,7,Pas grain (0),non,539069
merrains de chêne au-dessous de 974 millimètres,2,Pas grain (0),non,539069
merrains de chêne de 1 mètre 299 millimètres de long et au-dessus,1,Pas grain (0),non,539069
merrains de chêne de 1 mètre 299 millimètres inclusivement à 974 exclusivement,1,Pas grain (0),non,539069
"merrains de chêne de 1,299 mètres à 974 millimètres de long",1,Pas grain (0),non,539069
"merrains de chêne de 1,299 mètres de long et au-dessus",1,Pas grain (0),non,539069
merrains de douves,1,Pas grain (0),non,539069
merrains de maille,1,Pas grain (0),non,539069
merrains de sapin,14,Pas grain (0),non,539069
merrains douelles,2,Pas grain (0),non,539069
merrains en barriques,6,Pas grain (0),non,539069
merrains en fonçaille,3,Pas grain (0),non,539069
merrains en pipes,1,Pas grain (0),non,539069
merrains et feuillards,6,Pas grain (0),non,539069
merrains fonçaille,93,Pas grain (0),non,539069
merrains futaille,2,Pas grain (0),non,539069
merrains ganivelles,19,Pas grain (0),non,539069
merrains petits,1,Pas grain (0),non,539069
merrains pour faire des douves de fûts,1,Pas grain (0),non,539069
merrains pour ferraille,1,Pas grain (0),non,539069
merrains pour tonnellerie,3,Pas grain (0),non,539069
merrains quartage douelles,1,Pas grain (0),non,539069
merrains Scott,1,Pas grain (0),non,539069
mervillon,44,Pas grain (0),non,539069
mesat de clocher,1,Pas grain (0),non,539069
mesures d'étain,2,Pas grain (0),non,539069
métal,101,Pas grain (0),non,539069
métal argenté doré vernissé etc.,2,Pas grain (0),non,539069
métal composé,1,Pas grain (0),non,539069
métal de fonte,0,Pas grain (0),oui,539069
métal des Indes,1,Pas grain (0),non,539069
métal et bronze moulé,0,Pas grain (0),oui,539069
métal frappé et moulé et ouvré,0,Pas grain (0),oui,539069
métal moulé,0,Pas grain (0),oui,539069
métal moulu,1,Pas grain (0),non,539069
métal ou ???,1,Pas grain (0),non,539069
métal pour horlogerie,1,Pas grain (0),non,539069
métaux,144,Pas grain (0),non,539069
methe,1,Pas grain (0),non,539069
métiers,1,Pas grain (0),non,539069
métiers à faire bas,16,Pas grain (0),non,539069
métiers à faire tapisserie,1,Pas grain (0),non,539069
métiers à filer,1,Pas grain (0),non,539069
métiers de drapier,1,Pas grain (0),non,539069
métiers de tisserand,1,Pas grain (0),non,539069
métiers presse et bluteaux et cribles de moulin,2,Pas grain (0),non,539069
meubles,10,Pas grain (0),non,539069
meubles ???,1,Pas grain (0),non,539069
meubles à bijouterie,1,Pas grain (0),non,539069
meubles à coutelier,1,Pas grain (0),non,539069
meubles à moulins,3,Pas grain (0),non,539069
meubles à taillandier,18,Pas grain (0),non,539069
meubles affiloires,1,Pas grain (0),non,539069
meubles de bois,9,Pas grain (0),non,539069
meubles et effets,3,Pas grain (0),non,539069
meubles et miroirs,130,Pas grain (0),non,539069
meubles et ornements,17,Pas grain (0),non,539069
meubles et pierres,32,Pas grain (0),non,539069
meubles glaces et miroirs,13,Pas grain (0),non,539069
meubles habits et bijoux,1,Pas grain (0),non,539069
meubles matelas,2,Pas grain (0),non,539069
meubles miroirs de toilettes,1,Pas grain (0),non,539069
meubles ornements,1,Pas grain (0),non,539069
meulardeaux,12,Pas grain (0),non,539069
meulardeaux à coutelier,1,Pas grain (0),non,539069
meulardes,2,Pas grain (0),non,539069
meules,35,Pas grain (0),non,539069
meules à aiguiser,224,Pas grain (0),non,539069
meules à aiguiser au-dessus de 1218 millimètres en diamètre,1,Pas grain (0),non,539069
meules à aiguiser bâtardes,1,Pas grain (0),non,539069
meules à aiguiser de 1083 à 920 millimètres inclusivement en diamètre,2,Pas grain (0),non,539069
meules à aiguiser de 1218 à 1083 millimètres inclusivement en diamètre,2,Pas grain (0),non,539069
meules à aiguiser de 541 à 406 millimètres inclusivement en diamètre,3,Pas grain (0),non,539069
meules à aiguiser de 677 à 541 millimètres inclusivement en diamètre,3,Pas grain (0),non,539069
meules à aiguiser de 920 à 677 millimètres inclusivement en diamètre,3,Pas grain (0),non,539069
meules à aiguiser de moins de 406 millimètres inclusivement en diamètre,3,Pas grain (0),non,539069
meules à aiguiser grandes,1,Pas grain (0),non,539069
meules à aiguiser moyennes,1,Pas grain (0),non,539069
meules à aiguiser petites,1,Pas grain (0),non,539069
meules à callandre,2,Pas grain (0),non,539069
meules à coutelier,46,Pas grain (0),non,539069
meules à coutelier petites,1,Pas grain (0),non,539069
meules à Couteliers,1,Pas grain (0),non,539069
meules à couture,2,Pas grain (0),non,539069
meules à faire,22,Pas grain (0),non,539069
meules à faux,3,Pas grain (0),non,539069
meules à favre,33,Pas grain (0),non,539069
meules à gagne-petit,1,Pas grain (0),non,539069
meules à huile,2,Pas grain (0),non,539069
meules à moudre de 1949 millimètres à 1299 en diamètre,2,Pas grain (0),non,539069
meules à moudre de moins de 1299 millimètres en diamètre,3,Pas grain (0),non,539069
meules à moudre de plus de 1949 millimètres en diamètre,2,Pas grain (0),non,539069
meules à sabres,2,Pas grain (0),non,539069
meules à sucre,3,Pas grain (0),non,539069
meules à tailland ???,0,Pas grain (0),oui,539069
meules à taillande,0,Pas grain (0),oui,539069
meules à taillander,0,Pas grain (0),oui,539069
meules à taillandier,196,Pas grain (0),non,539069
meules à taillandier d'1 à 2 pieds,1,Pas grain (0),non,539069
meules à taillandier de 2 pieds,1,Pas grain (0),non,539069
meules à taillandier de 3 à 4,1,Pas grain (0),non,539069
meules à taillandier de 4 à 5,1,Pas grain (0),non,539069
meules à taillandier de 4 à 5 pouces,1,Pas grain (0),non,539069
meules à taillandier de 4 pieds,1,Pas grain (0),non,539069
meules à Talandier,2,Pas grain (0),non,539069
meules à tannerie,0,Pas grain (0),oui,539069
meules acoustiques,1,Pas grain (0),non,539069
meules affiloires,7,Pas grain (0),non,539069
meules assorties,1,Pas grain (0),non,539069
meules au dessous de 4 pouces,1,Pas grain (0),non,539069
meules au dessus de 4 pouces,1,Pas grain (0),non,539069
meules bâtardes,34,Pas grain (0),non,539069
meules brodées,1,,non,1391
meules coutier,1,Pas grain (0),non,539069
meules de 4 pieds,1,Pas grain (0),non,539069
meules de coutelier,2,Pas grain (0),non,539069
meules de différents modules à aiguiser,4,Pas grain (0),non,539069
meules de différents modules à moudre,4,Pas grain (0),non,539069
meules de moulins de 4 pieds 1/2,0,Pas grain (0),oui,539069
meules de moulins de 55 pieds,0,Pas grain (0),oui,539069
meules de moulins de 6 pieds,0,Pas grain (0),oui,539069
meules de pierre,14,Pas grain (0),non,539069
meules en têtes de renne,1,Pas grain (0),non,539069
meules ordinaires et à taillandier,1,Pas grain (0),non,539069
meules petites,2,Pas grain (0),non,539069
meules pour moulin,6,Pas grain (0),non,539069
meules pour moulins,268,Pas grain (0),non,539069
meules pour moulins de 4 pieds 1/2,1,Pas grain (0),non,539069
meules pour moulins de 55 pieds,1,Pas grain (0),non,539069
meules pour moulins de 6 pieds,1,Pas grain (0),non,539069
meules pour moulins de haute catégorie,2,Pas grain (0),non,539069
meules pour moulins dites grand loup d'Angleterre,1,Pas grain (0),non,539069
meules pour moulins dites petit loup d'Angleterre,1,Pas grain (0),non,539069
meules pour moulins du poids de 1200 à 1800 livres,1,Pas grain (0),non,539069
meules pour moulins du poids de 2000 à 2800 livres,1,Pas grain (0),non,539069
meules pour moulins du poids de 300 à 1000 livres,1,Pas grain (0),non,539069
meules pour moulins du poids de 3000 à 4000 livres,1,Pas grain (0),non,539069
meules pour moulins du poids de 5000 à 6000 livres,1,Pas grain (0),non,539069
meules pour moulins grosses,1,Pas grain (0),non,539069
meules pour moulins petites,3,Pas grain (0),non,539069
meulières,1,Pas grain (0),non,539069
meuniers,1,Pas grain (0),non,539069
microscope,1,Pas grain (0),non,539069
miel,1329,Pas grain (0),non,539069
miel blanc,1,Pas grain (0),non,539069
miel brouche,1,Pas grain (0),non,539069
miel brun,1,Pas grain (0),non,539069
miel brut,1,Pas grain (0),non,539069
miel commun,1,Pas grain (0),non,539069
miel cru,4,Pas grain (0),non,539069
miel cuit,4,Pas grain (0),non,539069
miel de Narbonne,5,Pas grain (0),non,539069
miel façonné,7,Pas grain (0),non,539069
mignonette,1,,non,1391
mignonette au quart de soie,1,Pas grain (0),non,539069
mignonette avec un brin de soie,1,Pas grain (0),non,539069
mignonette de soie,1,,non,1391
mignonette des prises,2,Pas grain (0),non,539069
mignonette étoffe,9,Pas grain (0),non,539069
mignonnette,38,Pas grain (0),non,539069
mignotte étoffe,4,Pas grain (0),non,539069
migon,18,Pas grain (0),non,539069
mil,3,Pas grain (0),non,539069
mille gants,3,Pas grain (0),non,539069
milleret,1,Pas grain (0),non,539069
milleret et agréments,0,Pas grain (0),oui,539069
milleret et agréments de soie,0,Pas grain (0),oui,539069
millet,10,Menus grains (3),non,3252
mimy,0,Pas grain (0),oui,539069
mine,3,Pas grain (0),non,539069
mine d'alquifoux,1,Pas grain (0),non,539069
mine d'asphalte,1,Pas grain (0),non,539069
mine de borde,1,,non,1391
mine de cuivre,4,Pas grain (0),non,539069
mine de cuivre rouge,1,Pas grain (0),non,539069
mine de fer,81,Pas grain (0),non,539069
mine de plomb,332,Pas grain (0),non,539069
mine de plomb noire,2,Pas grain (0),non,539069
mine de plomb rouge,2,Pas grain (0),non,539069
mine de Prusse,1,Pas grain (0),non,539069
mine de roche,3,Pas grain (0),non,539069
mine lavée,1,Pas grain (0),non,539069
minerai de fer brut ou lavé,2,Pas grain (0),non,539069
minerai de fer chromaté,2,Pas grain (0),non,539069
minerai de fer sulfuré,1,Pas grain (0),non,539069
minerai de plomb,1,Pas grain (0),non,539069
minéraux,2,Pas grain (0),non,539069
mini,0,Pas grain (0),oui,539069
minium,99,Pas grain (0),non,539069
minium et mine orange,4,Pas grain (0),non,539069
minium rouge divisé,3,Pas grain (0),non,539069
miniun,0,Pas grain (0),oui,539069
minutier,3,Pas grain (0),non,539069
miny,259,Pas grain (0),non,539069
mireau,2,Pas grain (0),non,539069
mirke,1,Pas grain (0),non,539069
mirobolant,47,Pas grain (0),non,539069
miroirs,206,Pas grain (0),non,539069
miroirs à bordures dorées,6,Pas grain (0),non,539069
miroirs à bordures dorées et grands,1,Pas grain (0),non,539069
miroirs à bordures dorées et petits,1,Pas grain (0),non,539069
miroirs à cadres dorés,10,Pas grain (0),non,539069
miroirs communs,3,Pas grain (0),non,539069
miroirs d'1 pied et demi,1,Pas grain (0),non,539069
miroirs d'Allemagne,1,Pas grain (0),non,539069
miroirs de 2 pieds,1,Pas grain (0),non,539069
miroirs de 25 pieds de haut et 1 de large,1,Pas grain (0),non,539069
miroirs de poche,2,Pas grain (0),non,539069
miroirs de toilette,4,Pas grain (0),non,539069
miroirs de toilettes,0,Pas grain (0),oui,539069
miroirs de traite,5,Pas grain (0),non,539069
miroirs encadrés,1,Pas grain (0),non,539069
miroirs grands,4,Pas grain (0),non,539069
miroirs grands de plus de 3 millimètres d'épaisseurs,2,Pas grain (0),non,539069
miroirs petits,32,Pas grain (0),non,539069
miroirs petits sans distinction,2,Pas grain (0),non,539069
mistelle,1,Pas grain (0),non,539069
mitaines,1,Pas grain (0),non,539069
mitaines bordées de soie par paires,3,Pas grain (0),non,539069
mitaines brodées,1,Pas grain (0),non,539069
mitaines de peau,1,Pas grain (0),non,539069
mitaines de peau lisérées de soie,1,Pas grain (0),non,539069
mitaines de soie,2,Pas grain (0),non,539069
mitaines de taffetas,2,Pas grain (0),non,539069
mitaines garnies de ruban,1,Pas grain (0),non,539069
mitaines garnies de soie,9,Pas grain (0),non,539069
mitaines liserées,1,Pas grain (0),non,539069
mitons à pierres fausses par paires de velours,1,Pas grain (0),non,539069
mitons de soie,3,Pas grain (0),non,539069
mitraille,2,Pas grain (0),non,539069
mitraille de cuivre,1,Pas grain (0),non,539069
mitraille vieille en batterie de cuisine,1,Pas grain (0),non,539069
mitrailles de cuivre,103,Pas grain (0),non,539069
mitrailles de cuivre pur vieux,1,Pas grain (0),non,539069
mittes,2,Pas grain (0),non,539069
mittes de soie,9,Pas grain (0),non,539069
mittières de fer,1,Pas grain (0),non,539069
mobilier,805,Pas grain (0),non,539069
mobilier vieux,14,Pas grain (0),non,539069
mocade,0,Pas grain (0),oui,539069
mode de bœuf,1,Pas grain (0),non,539069
"mode, peaux, porcelaine, ruban 16 onces",1,Pas grain (0),non,539069
modèle de château de carton,1,Pas grain (0),non,539069
modèle de plâtre,1,Pas grain (0),non,539069
modèle de sculpture,1,Pas grain (0),non,539069
modes,0,Pas grain (0),oui,539069
modes de Montauban,1,Pas grain (0),non,539069
moelle,1,Pas grain (0),non,539069
moëlle,0,Pas grain (0),oui,539069
moelle de bœuf,10,Pas grain (0),non,539069
moëlle de bœuf,0,Pas grain (0),oui,539069
moellons,6,Pas grain (0),non,539069
moellons à faire chaux,1,Pas grain (0),non,539069
moellons à faire des bâtiments,1,Pas grain (0),non,539069
moellons argile ciment gypse sable stuc tuf pavés pierres à chaux pierres meulières pouzzolane,0,Pas grain (0),oui,539069
moellons de brique,2,Pas grain (0),non,539069
moellons de briques,0,Pas grain (0),oui,539069
moellons pierres meulières etc.,2,Pas grain (0),non,539069
moines garnis de fer-blanc,1,Pas grain (0),non,539069
moire,1,Pas grain (0),non,539069
moire blanche,2,Pas grain (0),non,539069
moire d'argent,1,Pas grain (0),non,539069
Moka,0,Pas grain (0),oui,539069
molenaers,1,Pas grain (0),non,539069
molleton,103,Pas grain (0),non,539069
molleton aune,1,Pas grain (0),non,539069
molleton de capiton,4,Pas grain (0),non,539069
molleton de coton,16,Pas grain (0),non,539069
molleton de laine,28,Pas grain (0),non,539069
molleton de laine imprimé,2,Pas grain (0),non,539069
molleton de soie,1,Pas grain (0),non,539069
molleton et taffetas de laine,3,Pas grain (0),non,539069
molleton frisé,1,Pas grain (0),non,539069
mollues,1,Pas grain (0),non,539069
momade,1,Pas grain (0),non,539069
momie,7,Pas grain (0),non,539069
moncayard,5,Pas grain (0),non,539069
mongette,44,Pas grain (0),non,539069
mongistere,7,Pas grain (0),non,539069
monnaie d'argent,0,Pas grain (0),oui,539069
monnaie de billon,0,Pas grain (0),oui,539069
monnaie de cuivre,0,Pas grain (0),oui,539069
monnaies au type étranger,95,Pas grain (0),non,539069
monnaies d'argent,31,Pas grain (0),non,539069
monnaies d'argent en espèces coursables,1,Pas grain (0),non,539069
monnaies d'argent et d'or et au type étranger,7,Pas grain (0),non,539069
monnaies d'argent par Calais,2,Pas grain (0),non,539069
monnaies d'argent par Strasbourg et Metz,1,Pas grain (0),non,539069
monnaies d'argent par Valenciennes,1,Pas grain (0),non,539069
