goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
mâtereaux de 32 pieds,3,7,x,non,8907
mâtereaux de 33 pieds,2,7,x,non,8907
mâtereaux de 34 à 36 pieds,1,7,x,non,8907
mâtereaux de 34 pieds,3,7,,non,8907
mâtereaux de 35 à 37 pieds,1,7,x,non,8907
mâtereaux de 35 à 40 pieds,1,7,,non,8907
mâtereaux de 35 à 45 pieds,1,7,,non,8907
mâtereaux de 35 pieds,8,7,x,non,8907
mâtereaux de 36 à 38 pieds,2,7,x,non,8907
mâtereaux de 36 à 45 pieds,1,7,x,non,8907
mâtereaux de 36 pieds,8,7,x,non,8907
mâtereaux de 36 pieds 9 pouces,1,7,x,non,8907
mâtereaux de 37 à 38 pieds,1,7,x,non,8907
mâtereaux de 38 pieds,4,7,x,non,8907
mâtereaux de 40 à 44 pieds,1,7,x,non,8907
mâtereaux de 40 à 45 pieds,2,7,x,non,8907
mâtereaux de 40 pieds,12,7,x,non,8907
mâtereaux de 42 à 47 pieds,1,7,x,non,8907
mâtereaux de 45 à 50 pieds,2,7,x,non,8907
mâtereaux de 45 pieds,6,7,x,non,8907
mâtereaux de 46 à 60 pieds,1,7,x,non,8907
mâtereaux de 47 à 48 pieds,1,7,x,non,8907
mâtereaux de 47 à 49 pieds,1,7,x,non,8907
mâtereaux de 48 à 50 pieds,1,7,,non,8907
mâtereaux de 48 pieds,3,7,x,non,8907
mâtereaux de 50 à 55 pieds,2,7,x,non,8907
mâtereaux de 54 à 60 pieds,1,7,x,non,8907
mâtereaux de 6 à 7 pieds,1,7,,non,8907
mâtereaux de 60 pieds,4,7,x,non,8907
mâtereaux de 7 à 11 palmes,1,7,,non,8907
mâtereaux de 7 à 13 palmes,1,7,,non,8907
mâtereaux de 7 à 9 palmes,1,7,,non,8907
mâtereaux de 9 à 12 palmes,1,7,,non,8907
mâtereaux de bois,2,7,x,non,8907
mâtereaux de chaloupe,1,7,x,non,8907
mâtereaux de différente longueur,2,7,x,non,8907
mâtereaux de sapin,6,7,x,non,8907
mâtereaux de sapin de 20 pieds,1,7,x,non,8907
mâtereaux de sapin de 25 pieds,1,7,x,non,8907
mâtereaux de sapin de 28 pieds,1,7,x,non,8907
mâtereaux de sapin de 30 pieds,2,7,x,non,8907
mâtereaux et mâts,4,7,,non,8907
mâtereaux petits,3,7,x,non,8907
matériaux,1,6b,,non,17579
matériaux de bois,9,6b,,non,17579
matériaux de construction,101,2,x,non,73883
matériaux de sapin,2,6b,,non,17579
matériaux moellons sable etc.,3,9c,,non,11345
matières de verre composées,1,6k,,non,17039
matières minérales,2,2,,non,73883
matières premières,105,2,x,non,73883
matis,1,7,x,non,8907
matocaux,1,???,,non,4790
mâts,363,7,x,non,8907
mâts à bateau,1,7,,non,8907
mâts à chaloupe,1,7,,non,8907
mâts assortis,17,7,,non,8907
mâts au dessous de 6 paumes,1,7,x,non,8907
mâts bouts de 3 à 4 pieds,1,7,x,non,8907
mâts communs,5,7,x,non,8907
mâts communs de 50 pieds,1,7,,non,8907
mâts de 12 à 13 palmes,1,7,,non,8907
mâts de 13 à 20 palmes,1,7,,non,8907
mâts de 13 à 25 palmes,1,7,,non,8907
mâts de 14 palmes,2,7,,non,8907
mâts de 16 à 18 pieds,1,7,x,non,8907
mâts de 18 pieds,1,7,,non,8907
mâts de 20 à 25 palmes,1,7,,non,8907
mâts de 20 à 30 pieds,1,7,x,non,8907
mâts de 20 pieds,1,7,,non,8907
mâts de 24 a 30,1,7,,non,8907
mâts de 24 pieds,1,7,,non,8907
mâts de 25 palmes,1,7,,non,8907
mâts de 28 à 32 pieds,1,7,x,non,8907
mâts de 30 à 40 pieds,1,7,x,non,8907
mâts de 30 pieds,6,7,x,non,8907
mâts de 31 à 36 pieds,1,7,x,non,8907
mâts de 33 à 43 pieds,1,7,x,non,8907
mâts de 35 à 40 pieds,1,7,x,non,8907
mâts de 35 à 45 pieds,1,7,x,non,8907
mâts de 36 à 38 pieds,1,7,x,non,8907
mâts de 38 à 40 pieds à barque,1,7,,non,8907
mâts de 39 à 40 pieds,1,7,x,non,8907
mâts de 4 paumes,1,7,,non,8907
mâts de 40 à 45 pieds,4,7,x,non,8907
mâts de 40 à 50 pieds,3,7,x,non,8907
mâts de 40 à 70 pieds,1,7,,non,8907
mâts de 40 centimètres de diamètre et au-dessus,7,7,,non,8907
mâts de 40 pieds,3,7,x,non,8907
mâts de 42 à 48 pieds,2,7,x,non,8907
mâts de 45 à 50 pieds,2,7,x,non,8907
mâts de 45 pieds,4,7,x,non,8907
mâts de 48 à 50 pieds,3,7,x,non,8907
mâts de 50 à 52 pieds,1,7,x,non,8907
mâts de 50 à 53 pied,1,7,x,non,8907
mâts de 50 à 55 pieds,2,7,x,non,8907
mâts de 50 à 56 pieds,1,7,x,non,8907
mâts de 50 à 60 pieds,2,7,x,non,8907
mâts de 50 pieds,5,7,x,non,8907
mâts de 52 à 55 pieds,1,7,x,non,8907
mâts de 55 à 56 pieds,1,7,x,non,8907
mâts de 55 à 60 pieds,2,7,x,non,8907
mâts de 55 pieds,1,7,x,non,8907
mâts de 56 pieds,1,7,,non,8907
mâts de 59 à 60 pieds,1,7,x,non,8907
mâts de 6 à 9 palmes,1,7,,non,8907
mâts de 60 à 65 pieds,1,7,x,non,8907
mâts de 60 à 66 pieds,1,7,x,non,8907
mâts de 60 à 70 pieds,2,7,,non,8907
mâts de 60 à 80 pieds,1,7,,non,8907
mâts de 60 pieds,1,7,x,non,8907
mâts de 66 à 55 pieds,1,7,x,non,8907
mâts de 66 à 70 pieds,1,7,x,non,8907
mâts de 66 à 72 pieds,1,7,x,non,8907
mâts de 66 pieds,1,7,,non,8907
mâts de 68 à 70 pieds,1,7,x,non,8907
mâts de 68 pieds de long,1,7,x,non,8907
mâts de 7 pouces de diamètre,1,7,,non,8907
mâts de 70 pieds,1,7,x,non,8907
mâts de 72 pieds,1,7,x,non,8907
mâts de 75 à 78 pieds,1,7,x,non,8907
mâts de barque,2,7,,non,8907
mâts de beauprés,5,7,x,non,8907
mâts de beauprés de 35 pieds,1,7,x,non,8907
mâts de beauprés de 38 pieds,1,7,x,non,8907
mâts de beauprés de 40 pieds,1,7,x,non,8907
mâts de beauprés de 42 à 45 pieds,1,7,x,non,8907
mâts de bois petits,2,7,,non,8907
mâts de chaloupe,12,7,x,non,8907
mâts de chêne,1,7,,non,8907
mâts de diverse grandeur,3,7,,non,8907
mâts de drapeaux,1,7,x,non,8907
mâts de hune,1,7,,non,8907
mâts de navire,47,7,x,non,8907
mâts de navire de 10 palmes,2,7,x,non,8907
mâts de navire de 11 à 18 palmes,1,7,,non,8907
mâts de navire de 12 palmes,2,7,x,non,8907
mâts de navire de 12 paumes de diamètre,1,7,,non,8907
mâts de navire de 18 pieds,1,7,x,non,8907
mâts de navire de 22 pieds,1,7,,non,8907
mâts de navire de 24 pieds,1,7,,non,8907
mâts de navire de 25 pieds,1,7,,non,8907
mâts de navire de 27 à 30 pieds,2,7,x,non,8907
mâts de navire de 27 pieds,1,7,x,non,8907
mâts de navire de 28 à 31 pieds,1,7,,non,8907
mâts de navire de 30 pieds,10,7,x,non,8907
mâts de navire de 34 pieds,2,7,x,non,8907
mâts de navire de 35 pieds,3,7,x,non,8907
mâts de navire de 36 pieds,3,7,x,non,8907
mâts de navire de 38 pieds,2,7,x,non,8907
mâts de navire de 40 pieds,9,7,x,non,8907
mâts de navire de 42 pieds,1,7,,non,8907
mâts de navire de 45 pieds,8,7,x,non,8907
mâts de navire de 46 pieds,2,7,x,non,8907
mâts de navire de 48 pieds,1,7,x,non,8907
mâts de navire de 49 pieds,1,7,,non,8907
mâts de navire de 50 pieds,18,7,x,non,8907
mâts de navire de 52 pieds,1,7,,non,8907
mâts de navire de 55 pieds,11,7,x,non,8907
mâts de navire de 56 pieds,1,7,x,non,8907
mâts de navire de 58 pieds,1,7,,non,8907
mâts de navire de 6 palmes,1,7,x,non,8907
mâts de navire de 60 pieds,10,7,x,non,8907
mâts de navire de 61 pieds,1,7,x,non,8907
mâts de navire de 65 pieds,3,7,x,non,8907
mâts de navire de 66 pieds,1,7,,non,8907
mâts de navire de 69 pieds,1,7,x,non,8907
mâts de navire de 7 palmes,1,7,x,non,8907
mâts de navire de 7 paumes,1,7,x,non,8907
mâts de navire de 70 pieds,1,7,x,non,8907
mâts de navire de 76 pieds,1,7,,non,8907
mâts de navire de 78 pieds,1,7,x,non,8907
mâts de navire de 8 palmes,2,7,x,non,8907
mâts de navire de 8 pieds,1,7,,non,8907
mâts de navire de 80 pieds,1,7,x,non,8907
mâts de navire de 9 palmes,1,7,x,non,8907
mâts de navire moyens,1,7,,non,8907
mâts de navire petits,1,7,,non,8907
mâts de passementerie,2,7,x,non,8907
mâts de petit navire,1,7,x,non,8907
mâts de sapin,31,7,x,non,8907
mâts de sapin à bateau,1,7,,non,8907
mâts de sapin de 10 à 11 pieds,1,7,,non,8907
mâts de sapin de 10 à 17 palmes,1,7,,non,8907
mâts de sapin de 10 palmes,1,7,x,non,8907
mâts de sapin de 11 palmes,1,7,x,non,8907
mâts de sapin de 12 à 14 paumes,1,7,x,non,8907
mâts de sapin de 12 à 16 palmes,1,7,,non,8907
mâts de sapin de 12 à 16 paumes,1,7,,non,8907
mâts de sapin de 12 palmes,1,7,x,non,8907
mâts de sapin de 12 paumes de diamètre,1,7,,non,8907
mâts de sapin de 13 à 15 palmes,1,7,,non,8907
mâts de sapin de 14 paumes,1,7,x,non,8907
mâts de sapin de 14 pieds de long et de 3 pieds de diamètre,1,7,,non,8907
mâts de sapin de 15 à 17 pouces de diamètre,1,7,,non,8907
mâts de sapin de 15 à 20 palmes,1,7,,non,8907
mâts de sapin de 15 palmes,1,7,x,non,8907
mâts de sapin de 16 à 17 paumes de diamètre,1,7,,non,8907
mâts de sapin de 16 paumes,1,7,x,non,8907
mâts de sapin de 20 palmes,1,7,,non,8907
mâts de sapin de 20 pieds de long et de 3 pieds de diamètre,2,7,,non,8907
mâts de sapin de 24 à 25 pieds de long et de 4 à 5 pieds de diamètre,1,7,,non,8907
mâts de sapin de 24 pieds,1,7,,non,8907
mâts de sapin de 25 à 30 pieds,1,7,,non,8907
mâts de sapin de 25 à 34 pieds,1,7,x,non,8907
mâts de sapin de 26 pieds de long et de 4 pieds de diamètre,1,7,,non,8907
mâts de sapin de 28 pieds de long et de 4 pieds de diamètre,2,7,,non,8907
mâts de sapin de 3 paumes,1,7,,non,8907
mâts de sapin de 30 pieds,2,7,,non,8907
mâts de sapin de 30 pieds à 40 pieds de long et de 9 pieds de diamètre,1,7,,non,8907
mâts de sapin de 30 pieds de long et de 10 pieds de diamètre,1,7,,non,8907
mâts de sapin de 30 pieds de long et de 3 pieds de diamètre,2,7,,non,8907
mâts de sapin de 30 pieds de long et de 6 à 8 pieds de diamètre,1,7,,non,8907
mâts de sapin de 30 pieds de long et de 6 pieds de diamètre,1,7,,non,8907
mâts de sapin de 30 pieds de long et de 9 pieds de diamètre,1,7,,non,8907
mâts de sapin de 35 pieds,1,7,x,non,8907
mâts de sapin de 36 pieds,1,7,x,non,8907
mâts de sapin de 36 pieds de long et de 5 pieds de diamètre,1,7,,non,8907
mâts de sapin de 36 pieds de long et de 6 pieds de diamètre,1,7,,non,8907
mâts de sapin de 36 pieds de long et de 7 pieds de diamètre,1,7,,non,8907
mâts de sapin de 37 pieds de long et de 6 pieds de diamètre,1,7,,non,8907
mâts de sapin de 38 à 40 pieds de long et de 7 pieds de diamètre,1,7,,non,8907
mâts de sapin de 38 pieds de long et de 6 pieds de diamètre,1,7,,non,8907
mâts de sapin de 38 pieds de long et de 7 pieds de diamètre,1,7,,non,8907
mâts de sapin de 4 à 8 paumes,1,7,,non,8907
mâts de sapin de 40 pieds,1,7,x,non,8907
mâts de sapin de 40 pieds de long et de 10 pieds de diamètre,2,7,,non,8907
mâts de sapin de 40 pieds de long et de 11 pieds de diamètre,1,7,,non,8907
mâts de sapin de 40 pieds de long et de 12 pieds de diamètre,1,7,,non,8907
mâts de sapin de 40 pieds de long et de 18 pieds de diamètre,1,7,,non,8907
mâts de sapin de 40 pieds de long et de 6 pieds de diamètre,1,7,,non,8907
mâts de sapin de 42 pieds de long et de 11 pieds de diamètre,1,7,,non,8907
"mâts de sapin de 44 pieds de long et de 13,5 pieds de diamètre",1,7,,non,8907
mâts de sapin de 45 à 50 pieds de long et de 15 pieds de diamètre,1,7,,non,8907
mâts de sapin de 45 pieds,2,7,,non,8907
mâts de sapin de 45 pieds de long et de 4 pieds de diamètre,1,7,,non,8907
mâts de sapin de 45 pieds de long et de 7 à 8 pieds de diamètre,1,7,,non,8907
mâts de sapin de 45 pieds de long sans mention de diamètre,1,7,,non,8907
mâts de sapin de 46 pieds de long et de 12 pieds de diamètre,1,7,,non,8907
mâts de sapin de 48 pieds,1,7,,non,8907
mâts de sapin de 48 pieds de long et de 6 à 7 pieds de diamètre,1,7,,non,8907
mâts de sapin de 48 pieds de long et de 8 pieds de diamètre,1,7,,non,8907
mâts de sapin de 48 pieds de long et de 9 pieds de diamètre,1,7,,non,8907
mâts de sapin de 5 palmes,1,7,x,non,8907
mâts de sapin de 5 paumes,1,7,,non,8907
mâts de sapin de 50 à 55 pieds,1,7,x,non,8907
mâts de sapin de 50 pieds,2,7,x,non,8907
mâts de sapin de 50 pieds de long et de 10 à 12 pieds de diamètre,1,7,,non,8907
mâts de sapin de 50 pieds de long et de 16 pieds de diamètre,1,7,,non,8907
mâts de sapin de 54 pieds de long et de 15 pieds de diamètre,1,7,,non,8907
mâts de sapin de 54 pieds de long et de 16 pieds de diamètre,1,7,,non,8907
mâts de sapin de 55 pieds,3,7,x,non,8907
mâts de sapin de 6 à 7 paumes de grosseur,1,7,,non,8907
mâts de sapin de 6 palmes,1,7,x,non,8907
mâts de sapin de 60 pieds,1,7,x,non,8907
mâts de sapin de 60 pieds de long et 5 pieds de diamètre,1,7,,non,8907
mâts de sapin de 60 pieds de long et de 10 pieds de diamètre,1,7,,non,8907
mâts de sapin de 60 pieds de long et de 12 pieds de diamètre,1,7,,non,8907
mâts de sapin de 7 palmes,1,7,x,non,8907
mâts de sapin de 78 pieds,1,7,,non,8907
mâts de sapin de 8 à 12 paumes,1,7,,non,8907
mâts de sapin de 9 palmes,1,7,x,non,8907
mâts de sapin et vergues de sapin,1,7,,non,8907
mâts de sapin gros,1,7,,non,8907
mâts de sapin moyens,1,7,,non,8907
mâts de vaisseaux,21,7,x,non,8907
mâts de vaisseaux assortis,1,7,,non,8907
mâts de vaisseaux beaupré,1,7,,non,8907
mâts de vaisseaux de 71 pieds,1,7,,non,8907
mâts de vaisseaux de chêne,1,7,,non,8907
mâts de vaisseaux de misenne,1,7,,non,8907
mâts doubles,1,7,x,non,8907
mâts en dessous de 8 paumes,1,7,x,non,8907
mâts espars,1,7,,non,8907
mâts et espars de bois,2,7,,non,8907
mâts et matériaux de bois,2,9b,,non,6225
mâts et planches de bois,1,9b,,non,6225
mâts façonnés,1,7,,non,8907
mâts grands,6,7,,non,8907
mâts gros,1,7,,non,8907
mâts mâtereaux,16,7,x,non,8907
mâts matières,4,7,x,non,8907
mâts mâtures,26,7,x,non,8907
mâts peints,2,7,,non,8907
mâts petits,51,7,,non,8907
mâts pour galère,1,7,,non,8907
mâts verts de 45 pieds,1,7,,non,8907
mâts...,1,7,,non,8907
matu,6,???,x,non,4790
mâtures,12,7,,non,8907
mâtures complètes,6,7,,non,8907
mâtures complètes d'un grand vaisseau,1,7,,non,8907
mâtures complètes d'un vaisseau,0,7,,oui,8907
mâtures complètes en 21 pièces,1,7,,non,8907
mâtures d'un vaisseau consistante en 56 pièces,0,7,,oui,8907
mâtures de vaisseau,0,7,,oui,8907
mâtures de vaisseau complète de 21 pièces chaque,0,7,,oui,8907
mâtures de vaisseau complètes de 21 pièces chaque,0,7,,oui,8907
mâtures en 56 pièces,1,7,,non,8907
maugrebine,49,???,,non,4790
maune,1,???,,non,4790
maurelle,3,2,,non,73883
mauris,1,6g,x,non,11410
maurs,2,???,,non,4790
mautes à mulets,1,7,,non,8907
Mazamet,4,???,,non,4790
mazon,1,???,,non,4790
mèches,64,8,,non,59809
mèches à canons,42,8,x,non,59809
mèches à chandelle,5,8,x,non,59809
mèches à flambeau,1,8,,non,59809
mèches à mousquet,1,8,,non,59809
mèches d'étoupes de chanvre ou de lin,4,8,,non,59809
mèches d'étoupes de fil de chanvre ou en lin,2,8,,non,59809
mèches de chandelles flambeaux et lampes,2,8,,non,59809
mèches de coton,1,6g,x,non,11410
mèches de coton pour chandelle,1,6g,x,non,11410
mèches de lampe,1,8,,non,59809
mèches de souffre,1,8,,non,59809
mèches de tarière et herminettes,1,6j,,non,39131
mèches et soufre,1,9b,x,non,6225
mèches soufrées,50,8,x,non,59809
mechoacam,15,2,,non,73883
médailles,3,8,,non,59809
médailles antiques,1,8,,non,59809
médailles d'argent,2,8,x,non,59809
médaillons de terre,2,8,x,non,59809
médicament composés,67,5,,non,49562
médicaments,289,5,x,non,49562
médicaments composés,21,5,,non,49562
médicaments composés autre qu'eau distillée au poids,1,5,,non,49562
médicaments composés autres qu'eau distillée à la valeur,1,5,,non,49562
médicaments composés déclarés à la valeur,1,5,,non,49562
médicaments composés déclarés au poids,2,5,,non,49562
meffles,1,???,,non,4790
megelanne,1,???,,non,4790
mélangées,2,9c,,non,11345
mélasse,13,0b,x,non,24735
mélasse des colonies françaises,1,0b,,non,24735
mélasse et sirop,1,0a,x,non,80056
melle,1,???,,non,4790
melon,2,0a,,non,80056
melon d'eau,2,0a,,non,80056
membrures,2,6b,,non,17579
membrures de 7 pieds,1,6b,,non,17579
ménage,5,8,,non,59809
menie,1,???,,non,4790
menottes de cuivre,3,6j,x,non,39131
menottes de fer,1,6j,x,non,39131
mentes à moulir,1,???,,non,4790
mentes à taillandier,1,???,,non,4790
menu charbon de terre,1,3,x,non,2999
menu charbon de terre dit sméegruys,1,3,x,non,2999
menuiserie,3,9c,x,non,11345
menus grains,3,0a,,non,80056
menus sommiers,1,8,,non,59809
menutés,1,9c,,non,11345
mercerie,3606,9c,x,non,11345
mercerie ???,3,9c,x,non,11345
mercerie à la valeur,5,9c,x,non,11345
mercerie bimbeloterie,66,9c,x,non,11345
mercerie commune,226,9c,x,non,11345
mercerie cru,1,???,x,non,4790
mercerie d'Allemagne,1,9c,,non,11345
mercerie d'étoupe de lin,1,6d,,non,8013
mercerie de bois,5,6b,x,non,17579
mercerie de cordonnier à laine,1,8,,non,59809
mercerie de crin,2,6a,,non,20783
mercerie de cuivre,7,6j,x,non,39131
mercerie de Nuremberg,2,9c,x,non,11345
mercerie de quincaille,1,9c,,non,11345
mercerie de renvoi,2,9c,,non,11345
mercerie en lignets et hameçons,1,8,,non,59809
mercerie en peigne d'ivoire,1,8,x,non,59809
mercerie en peignes de bois,1,8,,non,59809
mercerie épingles,2,6j,,non,39131
mercerie et quincaillerie,27,9c,,non,11345
mercerie étrangère,1,9c,,non,11345
mercerie fine,295,9c,x,non,11345
mercerie fort,1,9c,,non,11345
mercerie grosse,8,9c,,non,11345
mercerie grossière,62,9c,x,non,11345
mercerie mêlée en lisière de drap,1,6i,,non,21622
mercerie ordinaire,36,9c,x,non,11345
mercerie peignes de bois,1,8,,non,59809
mercerie peignes de corne,1,8,,non,59809
mercerie très commune,1,6j,,non,39131
mercerie très fine,1,6j,,non,39131
merciers,1,???,x,non,4790
mercure,600,2,x,non,73883
mercure corrosif,1,2,,non,73883
mercure coulant,2,2,,non,73883
mercure doux,17,2,x,non,73883
mercure natif,5,2,,non,73883
mercure précipité,7,2,x,non,73883
meriers,12,6b,,non,17579
meriers à faire échelles,1,6b,,non,17579
meriers petits,1,6b,,non,17579
meriezes,1,???,,non,4790
merlan,2,0a,x,non,80056
merlan salé,1,0a,,non,80056
merles,1,???,,non,4790
merlin,1,6j,x,non,39131
merluche,92,0a,x,non,80056
merluche salée,1,0a,,non,80056
merlus,1,0a,x,non,80056
merrains,794,6b,x,non,17579
merrains ???,1,6b,x,non,17579
merrains à barils,47,6b,x,non,17579
merrains à barriques,472,6b,x,non,17579
merrains à barriques bûches,1,6b,,non,17579
merrains à barriques douves,1,6b,x,non,17579
merrains à barriques et fonçaille,1,6b,,non,17579
merrains à bœuf,2,6b,,non,17579
merrains à bottes,10,6b,x,non,17579
merrains à boucaud,1,6b,x,non,17579
merrains à buses,5,6b,,non,17579
merrains à buses douelles,1,6b,,non,17579
merrains à busses,0,6b,x,oui,17579
merrains à fonçaille,13,6b,x,non,17579
merrains à fond,93,6b,x,non,17579
merrains à fonds,8,6b,,non,17579
merrains à futailles,2,6b,x,non,17579
merrains à muid,1,6b,x,non,17579
merrains à pipes,298,6b,x,non,17579
merrains à pipes bûches,1,6b,,non,17579
merrains à pipes de 4 à 5 pieds à 1 pouce 1/2 d'épaisseur,1,6b,,non,17579
merrains à pipes de 4 pieds,1,6b,,non,17579
merrains à poinçon,1,6b,x,non,17579
merrains à quart,49,6b,x,non,17579
merrains à tierçons,23,6b,x,non,17579
merrains à tonneaux,110,6b,x,non,17579
merrains à tortue,2,???,x,non,4790
merrains au-dessous de 974 millimètres,2,6b,,non,17579
merrains autres que de chêne,2,6b,,non,17579
merrains autres que de chêne de toutes dimensions à la valeur,1,6b,,non,17579
merrains autres que de chêne de toutes dimensions au nombre,1,6b,,non,17579
merrains barillage,1,6b,,non,17579
merrains barricages,4,6b,,non,17579
merrains barriques douelles,1,6b,,non,17579
merrains bourdilles,2,6b,x,non,17579
merrains bourdillons,1,6b,x,non,17579
merrains cartage,1,6b,,non,17579
merrains communs,1,6b,x,non,17579
merrains de 1 mètre 299 millimètres de longueur et au-dessus,2,6b,,non,17579
merrains de 1299mm de longueur et au-dessus,1,6b,,non,17579
merrains de 1299mm exclus à 974 inclus,1,6b,,non,17579
merrains de 4 pieds,1,6b,x,non,17579
merrains de 5 pieds,1,6b,,non,17579
merrains de chêne,7,6b,x,non,17579
merrains de chêne au-dessous de 974 millimètres,2,6b,,non,17579
merrains de chêne de 1 mètre 299 millimètres de long et au-dessus,1,6b,,non,17579
merrains de chêne de 1 mètre 299 millimètres inclusivement à 974 exclusivement,1,6b,,non,17579
"merrains de chêne de 1,299 mètres à 974 millimètres de long",1,6b,,non,17579
"merrains de chêne de 1,299 mètres de long et au-dessus",1,6b,,non,17579
merrains de douves,1,6b,x,non,17579
merrains de maille,1,6b,,non,17579
