goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
mouchoirs et mouchoirs des Indes,17,Not coffee,non,442379,551912
mouchoirs et mousseline,3,Not coffee,non,442379,551912
mouchoirs et ornements,1,Not coffee,non,442379,551912
mouchoirs fabriqués en France,2,Not coffee,non,442379,551912
mouchoirs fins,2,Not coffee,non,442379,551912
mouchoirs foulards,3,Not coffee,non,442379,551912
mouchoirs gros en fil,1,Not coffee,non,442379,551912
mouchoirs guingan,2,Not coffee,non,442379,551912
mouchoirs imprimés,3,Not coffee,non,442379,551912
mouchoirs imprimés et teints de chanvre et de lin,2,Not coffee,non,442379,551912
mouchoirs indienne,5,Not coffee,non,442379,551912
mouchoirs Komel et Renis,1,Not coffee,non,442379,551912
mouchoirs linon,2,Not coffee,non,442379,551912
mouchoirs Masulipatan,33,Not coffee,non,442379,551912
mouchoirs peints,87,Not coffee,non,442379,551912
mouchoirs peints de France,1,Not coffee,non,442379,551912
mouchoirs peints de Hollande,2,Not coffee,non,442379,551912
mouchoirs rayés,2,Not coffee,non,442379,551912
mouchoirs romals,9,Not coffee,non,442379,551912
mouchoirs saserpatis,1,Not coffee,non,442379,551912
mouchoirs Tranquebar,2,Not coffee,non,442379,551912
moufles,1,Not coffee,non,442379,551912
moulage,2,Not coffee,non,442379,551912
moulages de fer de fonte,2,Not coffee,non,442379,551912
moulange en fer en fonte,0,Not coffee,oui,442379,551912
moules,4,Not coffee,non,442379,551912
moules (poisson),1,Not coffee,non,442379,551912
moules à chandelle,1,Not coffee,non,442379,551912
moules à faire,1,Not coffee,non,442379,551912
moules de boutons,25,Not coffee,non,442379,551912
moules de boutons de bois,2,Not coffee,non,442379,551912
moules de fer à galette,1,Not coffee,non,442379,551912
moules de pierre pour sucre,1,Not coffee,non,442379,551912
moules de plâtre,3,Not coffee,non,442379,551912
moules de plâtre à faire figures,1,Not coffee,non,442379,551912
moules de terre,1,Not coffee,non,442379,551912
moules pour chandelle,2,Not coffee,non,442379,551912
moules pour sucre,1,Not coffee,non,442379,551912
moulinets à chocolat,1,Not coffee,non,442379,551912
moulinets à filer,1,Not coffee,non,442379,551912
moulins,2,Not coffee,non,442379,551912
moulins à beurre,1,Not coffee,non,442379,551912
moulins à blé,2,Not coffee,non,442379,551912
moulins à blé et à bras,1,Not coffee,non,442379,551912
moulins à bras,1,Not coffee,non,442379,551912
moulins à café,291,Not coffee,non,442379,551912
moulins à café doux,1,Not coffee,non,442379,551912
moulins à dessécher,1,Not coffee,non,442379,551912
moulins à dévider soie,1,Not coffee,non,442379,551912
moulins à filer,1,Not coffee,non,442379,551912
moulins à grain,2,Not coffee,non,442379,551912
moulins à lapidaire,1,Not coffee,non,442379,551912
moulins à maïs,12,Not coffee,non,442379,551912
moulins à moudre grain,1,Not coffee,non,442379,551912
moulins à moutarde,2,Not coffee,non,442379,551912
moulins à poivre,16,Not coffee,non,442379,551912
moulins à poivre et à café,1,Not coffee,non,442379,551912
moulins à retordre,1,Not coffee,non,442379,551912
moulins à sarrasin,1,Not coffee,non,442379,551912
moulins à sucre,32,Not coffee,non,442379,551912
moulins à tabac,5,Not coffee,non,442379,551912
moulins à tordre fil,1,Not coffee,non,442379,551912
moulins complets à sucre,2,Not coffee,non,442379,551912
moulins de bois,1,Not coffee,non,442379,551912
moulins de fer,3,Not coffee,non,442379,551912
moulins de fer à sucre,13,Not coffee,non,442379,551912
moulins de maïs,1,Not coffee,non,442379,551912
moulins de poivre,1,Not coffee,non,442379,551912
moulins de soie,1,Not coffee,non,442379,551912
moulins et presses à tabac,1,Not coffee,non,442379,551912
moulons,0,Not coffee,oui,442379,551912
moulons à faire chaux,0,Not coffee,oui,442379,551912
moulons à faire des bâtiments,0,Not coffee,oui,442379,551912
moulons et kibbelinck,1,Not coffee,non,442379,551912
moulures dorées,1,Not coffee,non,442379,551912
mouquette,2,Not coffee,non,442379,551912
moureaux,14,Not coffee,non,442379,551912
moureaux de bois,0,Not coffee,oui,442379,551912
moureaux de mules,1,Not coffee,non,442379,551912
moureaux de mulets,3,Not coffee,non,442379,551912
mousquetaire,1,Not coffee,non,442379,551912
mousquetons,1,Not coffee,non,442379,551912
mousquets,1,Not coffee,non,442379,551912
mousse,13,Not coffee,non,442379,551912
mousse de bois,3,Not coffee,non,442379,551912
mousse de lin,1,Not coffee,non,442379,551912
mousse de mer,8,Not coffee,non,442379,551912
mousse de mer et herbes à teindre,4,Not coffee,non,442379,551912
mousse de roche,1,Not coffee,non,442379,551912
mousseline,730,Not coffee,non,442379,551912
mousseline aune,1,Not coffee,non,442379,551912
mousseline blanche,1,Not coffee,non,442379,551912
mousseline bordée,0,Not coffee,oui,442379,551912
mousseline brochée,1,Not coffee,non,442379,551912
mousseline brochée de coton,1,Not coffee,non,442379,551912
mousseline brodée,9,Not coffee,non,442379,551912
mousseline brodée de coton,1,Not coffee,non,442379,551912
mousseline brodée en couleur,1,Not coffee,non,442379,551912
mousseline brodée en soie de couleur,1,Not coffee,non,442379,551912
mousseline de coton,98,Not coffee,non,442379,551912
mousseline de coton et des Indes,3,Not coffee,non,442379,551912
mousseline de coton et nankin,11,Not coffee,non,442379,551912
mousseline de coton et nankin des Indes,21,Not coffee,non,442379,551912
mousseline de coton unies et brûlées,14,Not coffee,non,442379,551912
mousseline de coton unies et peintes,17,Not coffee,non,442379,551912
mousseline de France,3,Not coffee,non,442379,551912
mousseline de l'étranger,1,Not coffee,non,442379,551912
mousseline de la Compagnie,2,Not coffee,non,442379,551912
mousseline de Suisse et siamoise à ligne de soie,1,Not coffee,non,442379,551912
mousseline de Zurich,5,Not coffee,non,442379,551912
mousseline des Indes,24,Not coffee,non,442379,551912
mousseline et mouchoirs,1,Not coffee,non,442379,551912
mousseline et mousselinette de coton,1,Not coffee,non,442379,551912
mousseline et Nankin et toile de coton,0,Not coffee,oui,442379,551912
mousseline et toile de coton,1,Not coffee,non,442379,551912
mousseline et toile de coton blanc,1,Not coffee,non,442379,551912
mousseline et toile des Indes,1,Not coffee,non,442379,551912
mousseline fines,6,Not coffee,non,442379,551912
mousseline imprimées,1,Not coffee,non,442379,551912
mousseline nationale,4,Not coffee,non,442379,551912
mousseline rayées,1,Not coffee,non,442379,551912
mousseline rayées à fleurs,1,Not coffee,non,442379,551912
mousseline siamoise et de Suisse à la ligne de soie,1,Not coffee,non,442379,551912
mousseline unie,4,Not coffee,non,442379,551912
mousseline unies,0,Not coffee,oui,442379,551912
mousselinette,1,Not coffee,non,442379,551912
mousselinette de coton,1,Not coffee,non,442379,551912
mousserons,44,Not coffee,non,442379,551912
mousserons et morilles,1,Not coffee,non,442379,551912
mousserons et truffes,3,Not coffee,non,442379,551912
mousserons secs,3,Not coffee,non,442379,551912
moussets et mousserons frais,1,Not coffee,non,442379,551912
moussets et mousserons secs ou marinés,3,Not coffee,non,442379,551912
moustiquaire de fil,3,Not coffee,non,442379,551912
moutarde,189,Not coffee,non,442379,551912
moutardelle,1,Not coffee,non,442379,551912
moutichoux,2,Not coffee,non,442379,551912
moutons,402,Not coffee,non,442379,551912
moutons communs,1,Not coffee,non,442379,551912
moutons et brebis,5,Not coffee,non,442379,551912
moutons gras,1,Not coffee,non,442379,551912
moutons petits,1,Not coffee,non,442379,551912
mouvements de montre,4,Not coffee,non,442379,551912
mouvements de pendule,2,Not coffee,non,442379,551912
moyeux,1,Not coffee,non,442379,551912
muce de plomb,1,Not coffee,non,442379,551912
mufle à chandelle,1,Not coffee,non,442379,551912
mules,29,Not coffee,non,442379,551912
mules à coutelier,1,Not coffee,non,442379,551912
mules à moulin,3,Not coffee,non,442379,551912
mules brodées,3,Not coffee,non,442379,551912
mules brodées et souliers brodées,2,Not coffee,non,442379,551912
mules brodées pour femme,2,Not coffee,non,442379,551912
mules de 6 mois,1,Not coffee,non,442379,551912
mules de femme,1,Not coffee,non,442379,551912
mules de nattes,2,Not coffee,non,442379,551912
mules et mulets,196,Not coffee,non,442379,551912
mules et mulets adultes,5,Not coffee,non,442379,551912
mules et mulets avec dents de lait,1,Not coffee,non,442379,551912
mules et mulets d'1 an,2,Not coffee,non,442379,551912
mules et mulets et ânes,1,Not coffee,non,442379,551912
mules et mulets n'ayant pas encore de dents adultes,1,Not coffee,non,442379,551912
mules ou mulets,1,Not coffee,non,442379,551912
mules pour femmes,1,Not coffee,non,442379,551912
mulets,116,Not coffee,non,442379,551912
mulets à moyen prix,1,Not coffee,non,442379,551912
mulets de fer,0,Not coffee,oui,442379,551912
mulets de moyenne taille,1,Not coffee,non,442379,551912
mulets jeunes,2,Not coffee,non,442379,551912
mulets mulets,3,Not coffee,non,442379,551912
mulets petits,1,Not coffee,non,442379,551912
mulets poulains,2,Not coffee,non,442379,551912
mulets vieux,2,Not coffee,non,442379,551912
mungistere,1,Not coffee,non,442379,551912
munitions de guerre,2,Not coffee,non,442379,551912
munitions de guerre et projectiles,2,Not coffee,non,442379,551912
muriate d'étain et de potasse,1,Not coffee,non,708,551912
mûriers,1,Not coffee,non,442379,551912
musc,27,Not coffee,non,442379,551912
musc castoreum et civette,2,Not coffee,non,442379,551912
musc civette castoreum et ambre gris,2,Not coffee,non,442379,551912
muscades,582,Not coffee,non,442379,551912
muscades confites,3,Not coffee,non,442379,551912
muscades d'Inde,2,Not coffee,non,442379,551912
muscades de perles,3,Not coffee,non,442379,551912
muscades des entrepôts,1,Not coffee,non,442379,551912
muscades en noix,1,Not coffee,non,442379,551912
muscades et macis,18,Not coffee,non,442379,551912
muscades et poivre,8,Not coffee,non,2268,551912
muscades feuilles et noix,1,Not coffee,non,442379,551912
muscades longues,1,Not coffee,non,442379,551912
muscades rondes,4,Not coffee,non,442379,551912
muscat,0,Not coffee,oui,442379,551912
muse,3,Not coffee,non,442379,551912
muse en grain ?,1,Not coffee,non,442379,551912
musettes organisées,1,Not coffee,non,442379,551912
musique,19,Not coffee,non,442379,551912
musique gravée,8,Not coffee,non,442379,551912
myrobolans confits,0,Not coffee,oui,442379,551912
myrrhe,115,Not coffee,non,442379,551912
myrrhe en grabeau,21,Not coffee,non,442379,551912
myrrhe en larmes,1,Not coffee,non,442379,551912
myrthe,0,Not coffee,oui,442379,551912
nacelles,2,Not coffee,non,442379,551912
nacre,11,Not coffee,non,442379,551912
nacre à perles,0,Not coffee,oui,442379,551912
nacre de perles,139,Not coffee,non,442379,551912
nacre de perles argentée brute,1,Not coffee,non,442379,551912
nacre de perles argentée sciée,1,Not coffee,non,442379,551912
nacre de perles dépouillée de sa croûte et sciée,4,Not coffee,non,442379,551912
nacre de perles en coquille brute,3,Not coffee,non,442379,551912
nacre de perles en coquille brute et en sa coquille bâtarde,2,Not coffee,non,442379,551912
nacre de perles noire,1,Not coffee,non,442379,551912
nacre de perles ouvrée,1,Not coffee,non,442379,551912
nacre de Perse,1,Not coffee,non,442379,551912
nacre en coquille,12,Not coffee,non,442379,551912
nacre en coquilles,0,Not coffee,oui,442379,551912
nacre et perles,1,Not coffee,non,442379,551912
namouques,2,Not coffee,non,442379,551912
nankin,193,Not coffee,non,442379,551912
Nankin,11,Not coffee,non,442379,551912
Nankin à l'aune,1,Not coffee,non,442379,551912
nankin blanche,1,Not coffee,non,442379,551912
Nankin blanche,0,Not coffee,oui,442379,551912
Nankin de coton,0,Not coffee,oui,442379,551912
nankin des Indes,10,Not coffee,non,442379,551912
naphte,3,Not coffee,non,442379,551912
nappes,41,Not coffee,non,442379,551912
nappes damassées,1,Not coffee,non,442379,551912
nappes de tables,3,Not coffee,non,442379,551912
nappes de toile ouvrées,2,Not coffee,non,442379,551912
nappes et serviettes,4,Not coffee,non,442379,551912
nappes et serviettes de lin,1,Not coffee,non,442379,551912
nappes et serviettes ouvrées,1,Not coffee,non,442379,551912
nappes faites,1,Not coffee,non,442379,551912
nappes fines et ouvrées,1,Not coffee,non,442379,551912
nappes ouvrées,8,Not coffee,non,442379,551912
nappes unies,1,Not coffee,non,442379,551912
natron,7,Not coffee,non,442379,551912
natron et soude,1,Not coffee,non,442379,551912
natrons,0,Not coffee,oui,442379,551912
nattes,242,Not coffee,non,442379,551912
nattes communes,2,Not coffee,non,442379,551912
nattes communes à paqueter,1,Not coffee,non,442379,551912
nattes d'emballage,4,Not coffee,non,442379,551912
nattes d'espars,9,Not coffee,non,442379,551912
nattes de balles,1,Not coffee,non,442379,551912
nattes de jonc,117,Not coffee,non,442379,551912
nattes de jonc à pot emballage,2,Not coffee,non,442379,551912
nattes de jonc et de paille et larges,1,Not coffee,non,442379,551912
nattes de jonc et paille et étroites,1,Not coffee,non,442379,551912
nattes de jonc large,1,Not coffee,non,442379,551912
nattes de jonc rondes pour les pieds,1,Not coffee,non,442379,551912
nattes de moscovie,3,Not coffee,non,442379,551912
nattes de paille,67,Not coffee,non,442379,551912
nattes de paille et de jonc,13,Not coffee,non,442379,551912
nattes de Russie,1,Not coffee,non,442379,551912
nattes et tresse de paille d'écorce et de sparte fines,4,Not coffee,non,442379,551912
nattes et tresse de paille d'écorce et de sparte grossières,5,Not coffee,non,442379,551912
nattes et tresse fines,3,Not coffee,non,442379,551912
nattes et tresse grossières,3,Not coffee,non,442379,551912
nattes et tresses de paille d'écorce et de sparte fines,0,Not coffee,oui,442379,551912
nattes et tresses de paille d'écorce et de sparte grossières,0,Not coffee,oui,442379,551912
nattes et tresses fines,0,Not coffee,oui,442379,551912
nattes et tresses grossières,0,Not coffee,oui,442379,551912
nattes fines,1,Not coffee,non,442379,551912
nattes moyennes,2,Not coffee,non,442379,551912
nattes petites,3,Not coffee,oui,442379,551912
nattes pour grenier,2,Not coffee,non,442379,551912
nattes rondes,1,Not coffee,non,442379,551912
nature de baleine,5,Not coffee,non,442379,551912
naurougue,1,Not coffee,non,442379,551912
naveaux,1,Not coffee,non,442379,551912
naves de portes,1,Not coffee,non,442379,551912
navets,38,Not coffee,non,442379,551912
navettes,1,Not coffee,non,442379,551912
navettes à drapier,4,Not coffee,non,442379,551912
navettes d'écaille,1,Not coffee,non,442379,551912
navettes de buis à tisserand,1,Not coffee,non,442379,551912
navire,1,Not coffee,non,442379,551912
navires marchands,1,Not coffee,non,442379,551912
nécessaires,2,Not coffee,non,442379,551912
nécessaires de cuivre,1,Not coffee,non,442379,551912
nécessaires garnis en argent,1,Not coffee,non,442379,551912
nèfles,6,Not coffee,non,442379,551912
nèfles frais,1,Not coffee,non,442379,551912
neganepeau,174,Not coffee,non,442379,551912
neganepeau grand,1,Not coffee,non,442379,551912
nègre,16,Not coffee,non,442379,551912
nelis,39,Not coffee,non,442379,551912
nepres,8,Not coffee,non,442379,551912
neptune,1,Not coffee,non,442379,551912
neptune de cuivre,14,Not coffee,non,442379,551912
nerfs de bœuf,3,Not coffee,non,442379,551912
nerprun,5,Not coffee,non,442379,551912
nervures,1,Not coffee,non,442379,551912
niaals des Indes,1,Not coffee,non,442379,551912
nicanéas,217,Not coffee,non,442379,551912
nicanéas étroits,1,Not coffee,non,442379,551912
nicanéas fins,1,Not coffee,non,442379,551912
nicanéas grands,22,Not coffee,non,442379,551912
nicanéas larges,2,Not coffee,non,442379,551912
nicanéas longs,1,Not coffee,non,442379,551912
nicanéas petite,1,Not coffee,non,442379,551912
nicanéas petits,20,Not coffee,non,442379,551912
nid d'oiseau,1,Not coffee,non,442379,551912
nina,2,Not coffee,non,442379,551912
nina de poil,1,Not coffee,non,442379,551912
nippes,112,Not coffee,non,442379,551912
nippes de femme,8,Not coffee,non,442379,551912
nippes et atours,1,Not coffee,non,442379,551912
nœuds d'épée,1,Not coffee,non,442379,551912
nœuds d'épée avec or,1,Not coffee,non,442379,551912
nœuds d'épée et cordons de montres,1,Not coffee,non,442379,551912
nœuds de cannes,1,Not coffee,non,442379,551912
nogal,0,Not coffee,oui,442379,551912
nogat,1,Not coffee,non,442379,551912
nogat en piastre forte,1,Not coffee,non,442379,551912
noir,5,Not coffee,non,442379,551912
noir à broyer,1,Not coffee,non,442379,551912
noir à imprimer,0,Not coffee,oui,442379,551912
noir à noircir,3,Not coffee,non,442379,551912
noir commun,1,Not coffee,non,442379,551912
noir commun de fumée et autres,13,Not coffee,non,442379,551912
noir d'animal d'ivoire,2,Not coffee,non,442379,551912
noir d'animal d'ivoire d'os,2,Not coffee,non,442379,551912
noir d'animal de corne d'os etc.,2,Not coffee,non,442379,551912
