orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
drogues pour les peintures et la teinture inde plate,inde plate,2,118
drogues pour les peintures et la teinture indigo,indigo,26,3292
drogues pour les peintures et la teinture indigo guatimalo,indigo guatimalo,1,8
drogues pour les peintures et la teinture iris,iris,3,177
drogues pour les peintures et la teinture jais,jais,1,139
drogues pour les peintures et la teinture jaune de Naples,jaune de Naples,2,86
drogues pour les peintures et la teinture lakuires,lakuires,1,1
drogues pour les peintures et la teinture laque,laque,1,12
drogues pour les peintures et la teinture laque plate,laque plate,1,156
drogues pour les peintures et la teinture litharge,litharge,5,530
drogues pour les peintures et la teinture mine de plomb,mine de plomb,8,332
drogues pour les peintures et la teinture mine de plomb noire,mine de plomb noire,2,2
drogues pour les peintures et la teinture mine de plomb rouge,mine de plomb rouge,2,2
drogues pour les peintures et la teinture minium,minium,8,99
drogues pour les peintures et la teinture miny,miny,2,259
drogues pour les peintures et la teinture noir d'ivoire,noir d'ivoire,2,46
drogues pour les peintures et la teinture noir de fumée,noir de fumée,7,535
drogues pour les peintures et la teinture noix de galle,noix de Galle,19,383
drogues pour les peintures et la teinture ocre,ocre,12,527
drogues pour les peintures et la teinture orpiment,orpiment,1,261
drogues pour les peintures et la teinture orpin,orpin,2,80
drogues pour les peintures et la teinture orseille,orseille,3,41
drogues pour les peintures et la teinture pastel,pastel,2,94
drogues pour les peintures et la teinture pastel à teindre,pastel à teindre,1,1
drogues pour les peintures et la teinture pérelle,pérelle,1,1
drogues pour les peintures et la teinture racines d' ???,racines d' ???,4,4
drogues pour les peintures et la teinture racines d'alizari,racines d'alizari,1,99
drogues pour les peintures et la teinture racines de ???,racines de ???,5,5
drogues pour les peintures et la teinture rocou,rocou,2,1637
drogues pour les peintures et la teinture rouge brun,rouge brun,2,25
drogues pour les peintures et la teinture rouge de Venise,rouge de Venise,1,1
drogues pour les peintures et la teinture rouge minéral,rouge minéral,2,2
drogues pour les peintures et la teinture safranum,safran,18,1159
drogues pour les peintures et la teinture sanguine,sanguine,2,89
drogues pour les peintures et la teinture stil de grain,stil de grain,1,55
drogues pour les peintures et la teinture sumac,sumac,14,632
drogues pour les peintures et la teinture tartre,tartre,13,821
drogues pour les peintures et la teinture térébenthine,térébenthine,19,563
drogues pour les peintures et la teinture terre d'ombre,terre d'ombre,1,167
drogues pour les peintures et la teinture tournesol,tournesol,6,287
drogues pour les peintures et la teinture tournesol en pain,tournesol en pain,2,9
drogues pour les peintures et la teinture verdet,verdet,19,1318
drogues pour les peintures et la teinture vermillon,vermillon,12,547
drogues pour les peintures et la teinture vernis,vernis,1,83
drogues pour les peintures et teinture,drogues pour peintures et teinture,23,165
drogues pour les peintures et teinture alizari,alizari,1,16
drogues pour les peintures et teinture alun,alun,1,1873
drogues pour les peintures et teinture azur,azur,1,729
drogues pour les peintures et teinture cerise,teinture cerise,1,2
drogues pour les peintures et teinture couperose,couperose,1,954
drogues pour les peintures et teinture gande,drogues pour les peintures et teinture gande,8,8
drogues pour les peintures et teinture garance,garance,2,1118
drogues pour les peintures et teinture indigo,indigo,6,3292
drogues pour les peintures et teinture litharge,litharge,1,530
drogues pour les peintures et teinture pae ???,drogues pour peintures et teinture pae ???,1,1
drogues pour les peintures et teinture pastel,pastel,3,94
drogues pour les peintures et teinture tartre,tartre,1,821
drogues pour les peintures et teinture tartre blanc,tartre blanc,6,7
drogues pour les peintures et teinture tartre rouge,tartre rouge,6,7
drogues pour les peintures et teinture tartre térébenthine,tartre térébenthine,4,4
drogues pour les peintures et teinture vert-de-gris,verdet,2,1318
drogues pour les peintures Galles,galle,1,795
drogues pour les peintures huile de térébenthine,huile de térébenthine,11,235
drogues pour les peintures indigo,indigo,1,3292
drogues pour les peintures jas,jas,1,1
drogues pour les peintures jaune de Naples,jaune de Naples,1,86
drogues pour les peintures minium,minium,6,99
drogues pour les peintures muce de plomb,muce de plomb,1,1
drogues pour les peintures noix de Galles,noix de Galle,2,383
drogues pour les peintures ocre,ocre,12,527
drogues pour les peintures orpiment,orpiment,4,261
drogues pour les peintures pastel,pastel,7,94
drogues pour les peintures sanguine,sanguine,2,89
drogues pour les peintures serra merita,serra merita,1,1
drogues pour les peintures stil de grain,stil de grain,2,55
drogues pour les peintures sumac,sumac,1,632
drogues pour les peintures térébenthine,térébenthine,17,563
drogues pour les peintures verdet,verdet,19,1318
drogues pour les peintures vermillion,vermillon,3,547
drogues pour les peintures vermillon,vermillon,2,547
drogues pour les peintures vernis,vernis,5,83
drogues pour les peintures vert-de-gris,verdet,6,1318
drogues pour peinture et teinture,drogues pour peintures et teinture,6,165
drogues pour peinture et teinture alizari,alizari,5,16
drogues pour peinture et teinture alun,alun,3,1873
drogues pour peinture et teinture blanc de Marne,blanc de Marne,1,1
drogues pour peinture et teinture bol,bol,1,21
drogues pour peinture et teinture cochenille,cochenille,4,1079
drogues pour peinture et teinture couperose,couperose,4,954
drogues pour peinture et teinture craie,craie,1,180
drogues pour peinture et teinture diverses,drogues pour peintures et teinture diverses,12,12
drogues pour peinture et teinture en noir à noircir,noir à noircir,1,3
drogues pour peinture et teinture Galles,galle,2,795
drogues pour peinture et teinture garance,garance,8,1118
drogues pour peinture et teinture gaude,gaude,2,24
drogues pour peinture et teinture gaude herbe,gaude herbe,1,1
drogues pour peinture et teinture graine jaune,graine jaune,1,226
drogues pour peinture et teinture huile de Garonne,huile de Garonne,1,1
drogues pour peinture et teinture indigo,indigo,7,3292
drogues pour peinture et teinture iris,iris,1,177
drogues pour peinture et teinture noix de Galles,noix de Galle,5,383
drogues pour peinture et teinture orseille,orseille,5,41
drogues pour peinture et teinture pastel,pastel,1,94
drogues pour peinture et teinture peinture,peintures,1,146
drogues pour peinture et teinture racine d'alizari,racines d'alizari,2,99
drogues pour peinture et teinture safran,safran,1,1159
drogues pour peinture et teinture safranum,safranum,4,581
drogues pour peinture et teinture tarta,tartre,2,821
drogues pour peinture et teinture tartre,tartre,7,821
drogues pour peinture et teinture tournesol,tournesol,3,287
drogues pour peinture et teinture verdet,verdet,16,1318
drogues pour peinture et teinture vermillon,vermillon,1,547
drogues pour peinture et teinture vert-de-gris,verdet,2,1318
drogues pour peinture et teinture vert-de-gris cristallisée,verdet cristallisé,1,6
drogues pour peintures,drogues pour peintures,1,25
drogues pour peintures azur commun,azur commun,1,197
drogues pour peintures blanc de plomb,blanc de plomb,1,51
drogues pour peintures céruse,céruse,1,887
drogues pour peintures cochenille,cochenille,2,1079
drogues pour peintures et teinture,drogues pour peintures et teinture,30,165
drogues pour peintures et teinture ???,drogues pour peintures et teinture ???,3,9
drogues pour peintures et teinture alquifoux,alquifoux,9,479
drogues pour peintures et teinture alun,alun,29,1873
drogues pour peintures et teinture alun commun,alun commun,1,1
drogues pour peintures et teinture alun en dracy,alun en dracy,1,1
drogues pour peintures et teinture arsenic,arsenic,1,411
drogues pour peintures et teinture azur,azur,13,729
drogues pour peintures et teinture azur commun,azur commun,2,197
drogues pour peintures et teinture blanc,blanc,1,3
drogues pour peintures et teinture bleu commun,bleu commun,1,7
drogues pour peintures et teinture bleu de Prusse,bleu de Prusse,2,168
drogues pour peintures et teinture bleu en pierres,bleu en pierres,1,5
drogues pour peintures et teinture borax raffiné,borax raffiné,1,26
drogues pour peintures et teinture brun,brun,1,2
drogues pour peintures et teinture brun rouge,brun rouge,6,465
drogues pour peintures et teinture cendre bleue,cendre bleue,1,76
drogues pour peintures et teinture cerise,teinture cerise,1,2
drogues pour peintures et teinture céruse,céruse,9,887
drogues pour peintures et teinture cochenille,cochenille,17,1079
drogues pour peintures et teinture composite,drogues pour peintures et teinture composite,1,1
drogues pour peintures et teinture couleurs,couleurs,1,18
drogues pour peintures et teinture couleurs et huile,couleurs et huile,1,1
drogues pour peintures et teinture couperose,couperose,10,954
drogues pour peintures et teinture craie,craie,1,180
drogues pour peintures et teinture craie blanche,craie blanche,1,51
drogues pour peintures et teinture crayons,crayons,1,86
drogues pour peintures et teinture diverse,drogues pour peintures et teinture,3,165
drogues pour peintures et teinture diverses,drogues pour peintures et teinture,18,165
drogues pour peintures et teinture en alun,alun,1,1873
drogues pour peintures et teinture en garance,garance,1,1118
drogues pour peintures et teinture en noir à noircir,noir à noircir,1,3
drogues pour peintures et teinture fleurs d'iris,fleurs d'iris,1,1
drogues pour peintures et teinture galle,galle,16,795
drogues pour peintures et teinture garance,garance,16,1118
drogues pour peintures et teinture garonne,garonne,2,2
drogues pour peintures et teinture graine d'Avignon,graine d'Avignon,4,147
drogues pour peintures et teinture graine d'écarlate,graine d'écarlate,1,3
drogues pour peintures et teinture herbes à teindre,herbes à teindre,1,116
drogues pour peintures et teinture huile de térébenthine,huile de térébenthine,1,235
drogues pour peintures et teinture inde plate,inde plate,2,118
drogues pour peintures et teinture indigo,indigo,18,3292
drogues pour peintures et teinture indigo de guatimalo,indigo guatimalo,1,8
drogues pour peintures et teinture indigo du Guatemala,indigo guatimalo,1,8
drogues pour peintures et teinture indigo en gr ???,indigo en gr ???,1,1
drogues pour peintures et teinture iris,iris,2,177
drogues pour peintures et teinture jaune de Naples,jaune de Naples,2,86
drogues pour peintures et teinture lackière,lackière,1,1
drogues pour peintures et teinture lackmoir,lakmoes,1,12
drogues pour peintures et teinture laque,laque,1,12
drogues pour peintures et teinture laque plate,laque plate,1,156
drogues pour peintures et teinture litharge,litharge,1,530
drogues pour peintures et teinture marine d'alizari,marine d'alizari,1,1
drogues pour peintures et teinture marrons,marrons,1,141
drogues pour peintures et teinture mastie,mastie,1,1
drogues pour peintures et teinture mine de plomb,mine de plomb,2,332
drogues pour peintures et teinture mine de Prusse,mine de Prusse,1,1
drogues pour peintures et teinture minium,minium,1,99
drogues pour peintures et teinture noir,noir,1,5
drogues pour peintures et teinture noir à noircir,noir à noircir,1,3
drogues pour peintures et teinture noir de fumée,noir de fumée,2,535
drogues pour peintures et teinture noix de galle,noix de Galle,3,383
drogues pour peintures et teinture ocre jaune,ocre jaune,3,35
drogues pour peintures et teinture ocre rouge,ocre rouge,3,30
drogues pour peintures et teinture orbe,orbe,2,2
drogues pour peintures et teinture peintures,peintures,2,146
drogues pour peintures et teinture perle bleue,perles bleues,1,1
drogues pour peintures et teinture racines,racines,1,91
drogues pour peintures et teinture racines d'alizari,racines d'alizari,9,99
drogues pour peintures et teinture rocou,rocou,3,1637
drogues pour peintures et teinture rouge brun,rouge brun,1,25
drogues pour peintures et teinture safranum,safran,12,1159
drogues pour peintures et teinture semence,drogues pour peintures et teinture semence,2,2
drogues pour peintures et teinture sumac,sumac,14,632
drogues pour peintures et teinture tartre,tartre,11,821
drogues pour peintures et teinture teinture,teinture,1,44
drogues pour peintures et teinture térébenthine,térébenthine,2,563
drogues pour peintures et teinture tournesol,tournesol,2,287
drogues pour peintures et teinture tournesol et d'acmail,tournesol et d'acmail,1,1
drogues pour peintures et teinture verdet,verdet,16,1318
drogues pour peintures et teinture vermillon,vermillon,10,547
drogues pour peintures et teinture vernis,vernis,1,83
drogues pour peintures et teinture vert,vert,1,3
drogues pour peintures et teinture vert-de-gris,verdet,3,1318
drogues pour peintures et teinture vitriol bleu,vitriol bleu,1,4
drogues pour peintures et teinture vitriol de Chypre,vitriol de Chypre,1,103
drogues pour peintures garance,garance,2,1118
drogues pour peintures indigo,indigo,2,3292
drogues pour peintures ocre,ocre,1,527
drogues pour peintures ocre rouge,ocre rouge,1,30
drogues pour teinture,drogues pour teinture,1,1
drogues pour teinture azur,azur,2,729
drogues pour teinture et peintures bleu d'azur,bleu d'azur,1,1
drogues pour teinture et peintures couperose,couperose,1,954
drogues pour teinture et peintures indigo,indigo,1,3292
drogues pour teinture et teinture indigo,indigo,1,3292
drogues quinquina,quinquina,2,948
drogues racines d'alizari,racines d'alizari,1,99
drogues réunies,drogues diverses réunies,590,635
drogues rhubarbe,rhubarbe,2,659
drogues safran,safran,1,1159
drogues sel ammoniac,sel d'ammoniac,1,421
drogues sel de Saturne,sel de Saturne,1,249
drogues sel de tartre,sel de tartre,1,8
drogues séné,séné,1,630
drogues soie et laine,drogues et soie et laine,1,1
drogues soux de grabanite,soux de grabanite,1,1
drogues soux en feuilles,soux en feuilles,1,1
drogues sperme,sperme,1,1
drogues sur laine,droguet de laine,2,42
