goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
bois de santal moulu,127,not raw cotton,non,549385
bois de santal mouton,1,not raw cotton,non,549385
bois de santal pour teinture,1,not raw cotton,non,549385
bois de santal rouge,4,not raw cotton,non,549385
bois de sap,1,not raw cotton,non,549385
bois de sapin,104,not raw cotton,non,549385
bois de sapin de 18 pieds,1,not raw cotton,non,549385
bois de sapin de 2 à 3 pieds,1,not raw cotton,non,549385
bois de sapin de 20 à 30 pieds,1,not raw cotton,non,549385
bois de sapin de 20 pieds,1,not raw cotton,non,549385
bois de sapin de 22 pieds et 12 pouces,1,not raw cotton,non,549385
bois de sapin de 27 pieds,1,not raw cotton,non,549385
bois de sapin de 40 pieds,2,not raw cotton,non,549385
bois de sapin de 6 pieds,1,not raw cotton,non,549385
bois de sapin peint,2,not raw cotton,non,549385
bois de sappan,47,not raw cotton,non,549385
bois de sappan moulu pour teindre,1,not raw cotton,non,549385
bois de sappan pour teindre,1,not raw cotton,non,549385
bois de sassafras,26,not raw cotton,non,549385
bois de sassafras moulu,1,not raw cotton,non,549385
bois de saule,1,not raw cotton,non,549385
bois de saune,1,not raw cotton,non,549385
bois de Sayan,1,not raw cotton,non,549385
bois de selles,1,not raw cotton,non,549385
bois de senteur,1,not raw cotton,non,549385
bois de serrure,1,not raw cotton,non,549385
bois de simarouba,40,not raw cotton,non,549385
bois de soie,0,,oui,4510
bois de sommiers,2,not raw cotton,non,549385
bois de tables doré,1,not raw cotton,non,549385
bois de tamis,1,not raw cotton,non,549385
bois de teinture,97,not raw cotton,non,549385
bois de teinture autres que Pernambouc et moulu,2,not raw cotton,non,549385
bois de teinture des entrepôts,1,not raw cotton,non,549385
bois de teinture en bûches,4,not raw cotton,non,549385
bois de teinture en bûches ou morceaux et autres bois exotiques,3,not raw cotton,non,549385
bois de teinture en bûches ou morceaux et Pernambouc,3,not raw cotton,non,549385
bois de teinture et marqueterie,3,not raw cotton,non,549385
bois de teinture moulu,16,not raw cotton,non,549385
bois de teinture moulu Pernambouc,6,not raw cotton,non,549385
bois de teinture Nicaragua,1,not raw cotton,non,549385
bois de teinture Pernambouc,2,not raw cotton,non,549385
bois de teure,1,not raw cotton,non,549385
bois de tilleul,2,not raw cotton,non,549385
bois de toctacanot,1,not raw cotton,non,549385
bois de violette,25,not raw cotton,non,549385
bois des Îles et des Indes,14,not raw cotton,non,549385
bois des Îles et des Indes moulu,3,not raw cotton,non,549385
bois des Îles et des Indes pour teinture et marqueterie,3,not raw cotton,non,549385
bois des Indes,516,not raw cotton,non,549385
bois des Indes de teinture,14,not raw cotton,non,549385
bois des Indes de teinture moulu,1,not raw cotton,non,549385
bois des Indes de violette,1,not raw cotton,non,549385
bois des Indes en bûches,15,not raw cotton,non,549385
bois des Indes et d'ébénisterie et de marqueterie,10,not raw cotton,non,549385
bois des Indes jaune,14,not raw cotton,non,549385
bois des Indes moulu,8,not raw cotton,non,549385
bois des Indes moulu en bûches,1,not raw cotton,non,549385
bois des Indes pour marqueterie,4,not raw cotton,non,549385
bois des Indes pour teinture,1,not raw cotton,non,549385
bois des Indes pour teinture et marqueterie,18,not raw cotton,non,549385
bois des Indes râpé,19,not raw cotton,non,549385
bois des Indes rose,1,not raw cotton,non,549385
bois des Indes rouge,6,not raw cotton,non,549385
bois dit à fond,1,not raw cotton,non,549385
bois dit ricter,2,not raw cotton,non,549385
bois dit schaelen ou rebuts de bois,1,not raw cotton,non,549385
bois dit weres,1,not raw cotton,non,549385
bois doré,12,not raw cotton,non,549385
bois du Honduras de teinture,1,not raw cotton,non,549385
bois du Japon,22,not raw cotton,non,549385
bois du Japon jaune,1,not raw cotton,non,549385
bois du Levant,1,not raw cotton,non,549385
bois du Surinam,1,not raw cotton,non,549385
bois durci,1,not raw cotton,non,549385
bois en ??? à houblon,1,not raw cotton,non,549385
bois en battreaux,1,not raw cotton,non,549385
bois en billes pour meuble,2,not raw cotton,non,549385
bois en bûches,1,not raw cotton,non,549385
bois en bûches pour brûler,8,not raw cotton,non,549385
bois en epriers,1,not raw cotton,non,549385
bois en tranches,18,not raw cotton,non,549385
bois équarri,1,not raw cotton,non,549385
bois et écorces de chêne et de frêne,1,not raw cotton,non,549385
bois et merrains,1,not raw cotton,non,549385
bois et ouvrages de charronerie,1,not raw cotton,non,549385
bois et paniers de coudre,1,not raw cotton,non,549385
bois et papier d'éventail,1,not raw cotton,non,549385
bois exotique d'ébénisterie,1,not raw cotton,non,549385
bois exotique de teinture,1,not raw cotton,non,549385
bois exotique de teinture en morceaux et Pernambouc,1,not raw cotton,non,549385
bois flotté en étançon rond,1,not raw cotton,non,549385
bois fonçaille,1,not raw cotton,non,549385
bois fond à castor,1,not raw cotton,non,549385
bois fustet,103,not raw cotton,non,549385
bois gaïac,5,not raw cotton,non,549385
bois gros,3,not raw cotton,non,549385
bois jaune,257,not raw cotton,non,549385
bois jaune à teindre,1,not raw cotton,non,549385
bois jaune en bûches,1,not raw cotton,non,549385
bois jaune moulu,2,not raw cotton,non,549385
bois jaune râpé,3,not raw cotton,non,549385
bois joli,1,not raw cotton,non,549385
bois jonquette,1,not raw cotton,non,549385
bois long,1,not raw cotton,non,549385
bois lourd,1,not raw cotton,non,549385
bois marbré,28,not raw cotton,non,549385
bois marbré de 6 pieds,1,not raw cotton,non,549385
bois merrains à cardines,1,not raw cotton,non,549385
bois moulu,3,not raw cotton,non,549385
bois néphrétique,7,not raw cotton,non,549385
bois odorants,4,not raw cotton,non,549385
bois osier,34,not raw cotton,non,549385
bois ouvré,0,not raw cotton,oui,549385
bois ouvré pour bâtir,0,not raw cotton,oui,549385
bois ouvré pour bats,0,not raw cotton,oui,549385
bois palissandre,1,not raw cotton,non,549385
bois perible,2,not raw cotton,non,549385
bois petit de rouage,2,not raw cotton,non,549385
bois portatif dit neyster,1,not raw cotton,non,549385
bois pour arbalètes,1,not raw cotton,non,549385
bois pour banquière,1,not raw cotton,non,549385
bois pour barils,19,not raw cotton,non,549385
bois pour barils long,1,not raw cotton,non,549385
bois pour barils non scié,1,not raw cotton,non,549385
bois pour barils ordinaire,1,not raw cotton,non,549385
bois pour barils pour fond,1,not raw cotton,non,549385
bois pour barrique,4,not raw cotton,non,549385
bois pour basse,1,not raw cotton,non,549385
bois pour bâtir,69,not raw cotton,non,549385
bois pour bâtir de 14 pieds de long,1,not raw cotton,non,549385
bois pour bats,4,not raw cotton,non,549385
bois pour bâts,4,not raw cotton,non,549385
bois pour battes de chêne,1,not raw cotton,non,549385
bois pour boîtes,3,not raw cotton,non,549385
bois pour bordage,1,not raw cotton,non,549385
bois pour boucles,1,not raw cotton,non,549385
bois pour brûler,588,not raw cotton,non,549385
bois pour brûler d'orme,1,not raw cotton,non,549385
bois pour brûler de chêne,1,not raw cotton,non,549385
bois pour brûler de gite,1,not raw cotton,non,549385
bois pour brûler en ???,2,not raw cotton,non,549385
bois pour brûler et autres,2,not raw cotton,non,549385
bois pour brûler et fagots,1,not raw cotton,non,549385
bois pour cabanière,1,not raw cotton,non,549385
bois pour cercle,2,not raw cotton,non,549385
bois pour chaise,1,not raw cotton,non,549385
bois pour charpente,2,not raw cotton,non,549385
bois pour chocolat,1,not raw cotton,non,549385
bois pour comble,1,not raw cotton,non,549385
bois pour construction,455,not raw cotton,non,549385
bois pour construction de 22 pieds,1,not raw cotton,non,549385
bois pour construction de 40 pieds,1,not raw cotton,non,549385
bois pour construction de sapin,2,not raw cotton,non,549385
bois pour construction et planches de bois,1,not raw cotton,non,549385
bois pour construire ayant d'épaisseur 34 à 80 mm,2,not raw cotton,non,549385
bois pour construire ayant d'épaisseur 8 centimètres au moins,4,not raw cotton,non,549385
bois pour construire ayant d'épaisseur 8 centimètres ou moins,2,not raw cotton,non,549385
bois pour construire ayant reçu une première main-d'œuvre impropre à la construction navale,1,not raw cotton,non,549385
bois pour construire brut ou équarri à la hache,8,not raw cotton,non,549385
bois pour construire manche de fouines et pinceaux à goudron,3,not raw cotton,non,549385
bois pour construire scié ayant d'épaisseur moins de 34 et autres,1,not raw cotton,non,549385
bois pour construire scié ayant d'épaisseur moins de 34 mm et planches dites schom,1,not raw cotton,non,549385
bois pour construire scié ayant d'épaisseur plus de 8 centimètres,5,not raw cotton,non,549385
bois pour construire scié ayant d'épaisseur plus de 80 mm,2,not raw cotton,non,549385
bois pour corbeilles,4,not raw cotton,non,549385
bois pour corbin,27,not raw cotton,non,549385
bois pour crible,59,not raw cotton,non,549385
bois pour cribles,2,not raw cotton,non,549385
bois pour étuis,1,not raw cotton,non,549385
bois pour éventail,2,not raw cotton,non,549385
bois pour éventail de nacre de perle,1,not raw cotton,non,549385
bois pour faire sabot,1,not raw cotton,non,549385
bois pour faux,1,not raw cotton,non,549385
bois pour fond,8,not raw cotton,non,549385
bois pour fourreau,2,not raw cotton,non,549385
bois pour fourreau d'épée,7,not raw cotton,non,549385
bois pour fusil,3,not raw cotton,non,549385
bois pour futaille,2,not raw cotton,non,549385
bois pour gabares,4,,non,4510
bois pour gaine,3,not raw cotton,non,549385
bois pour instruments de musique,1,not raw cotton,non,549385
bois pour lattes,1,not raw cotton,non,549385
bois pour lit,1,not raw cotton,non,549385
bois pour mâts,1,not raw cotton,non,549385
bois pour mature,0,not raw cotton,oui,549385
bois pour mâtures,6,not raw cotton,non,549385
bois pour meuble,14,not raw cotton,non,549385
bois pour meubles,8,not raw cotton,non,549385
bois pour palissade,2,not raw cotton,non,549385
bois pour palissade et terrasse,1,not raw cotton,non,549385
bois pour paniers,4,not raw cotton,non,549385
bois pour parquet,1,not raw cotton,non,549385
bois pour peinture et teinture,3,not raw cotton,non,549385
bois pour pipe,10,not raw cotton,non,549385
bois pour plafond,2,not raw cotton,non,549385
bois pour poinçon,1,not raw cotton,non,549385
bois pour pompe,1,not raw cotton,non,549385
bois pour quilles de navire,1,not raw cotton,non,549385
bois pour sommier,5,not raw cotton,non,549385
bois pour tamis,27,not raw cotton,non,549385
bois pour tanin,1,not raw cotton,non,549385
bois pour tapis,1,not raw cotton,non,549385
bois pour teindre,360,not raw cotton,non,549385
bois pour teindre en bûches,14,not raw cotton,non,549385
bois pour teindre râpé,1,not raw cotton,non,549385
bois pour teinture,1,not raw cotton,non,549385
bois pour tierçon,2,not raw cotton,non,549385
bois pour tonneaux,17,not raw cotton,non,549385
bois pour violon,1,not raw cotton,non,549385
bois préparé pour charpente et autres ouvrages,1,not raw cotton,non,549385
bois préparé pour ouvrages,1,not raw cotton,non,549385
bois râpé,2,not raw cotton,non,549385
bois rosal,1,not raw cotton,non,549385
bois rouge,154,not raw cotton,non,549385
bois rouge des Indes,4,not raw cotton,non,549385
bois rouge pour teinture,2,not raw cotton,non,549385
bois rouge râpé,2,not raw cotton,non,549385
bois royal,1,not raw cotton,non,549385
bois royet,1,not raw cotton,non,549385
bois rozat,3,not raw cotton,non,549385
bois scié,49,not raw cotton,non,549385
bois soutreaux,1,not raw cotton,non,549385
bois sustek,9,not raw cotton,non,549385
bois tes peintes,2,not raw cotton,non,549385
bois tors,10,not raw cotton,non,549385
bois travaillé,12,not raw cotton,non,549385
bois travaillé pour construire une barrique,1,not raw cotton,non,549385
bois tropique,3,not raw cotton,non,549385
bois verni,7,not raw cotton,non,549385
bois vert,2,not raw cotton,non,549385
bois violet,26,not raw cotton,non,549385
boisellerie,7,not raw cotton,non,549385
boiseries,4,not raw cotton,non,549385
boisselerie et futailles,12,not raw cotton,non,549385
boissellerie,63,not raw cotton,non,549385
boissons,1,not raw cotton,non,549385
boissons de grains distillées,1,not raw cotton,non,549385
boissons gazeuses à la salsepareille,1,not raw cotton,non,549385
boîtes,12,not raw cotton,non,549385
boites à ??? de bois,1,not raw cotton,non,549385
boîtes assorties,1,not raw cotton,non,549385
boîtes blanches,3,not raw cotton,non,549385
boîtes d'argent,1,not raw cotton,non,549385
boîtes d'étain,1,not raw cotton,non,549385
boîtes d'olivier,1,not raw cotton,non,549385
boîtes de bergamotes,47,not raw cotton,non,549385
boîtes de bergamotes vernies,1,not raw cotton,non,549385
boîtes de bois,57,not raw cotton,non,549385
boites de bois blanc,2,not raw cotton,non,549385
boîtes de bois blanc,5,not raw cotton,non,549385
boîtes de bois d'olivier,1,not raw cotton,non,549385
boîtes de bois musqué,1,not raw cotton,non,549385
boîtes de bois vernies,1,,non,4510
boîtes de bois violet,1,not raw cotton,non,549385
boîtes de carton,3,not raw cotton,non,549385
boîtes de coupure,1,not raw cotton,non,549385
boîtes de fer,1,not raw cotton,non,549385
boîtes de fer-blanc,7,not raw cotton,non,549385
boîtes de fontes,1,not raw cotton,non,549385
boîtes de Nuremberg,1,not raw cotton,non,549385
boîtes de plomb,1,not raw cotton,non,549385
boîtes de quadrilles,5,not raw cotton,non,549385
boites de sapin,1,not raw cotton,non,549385
boîtes de sapin,22,not raw cotton,non,549385
boîtes de sapin blanc,1,not raw cotton,non,549385
boîtes de sapin peintes,9,not raw cotton,non,549385
boîtes et plateaux,1,not raw cotton,non,549385
boîtes peintes,4,not raw cotton,non,549385
boîtes vernies,1,not raw cotton,non,549385
boitiers,1,not raw cotton,non,549385
bol,21,not raw cotton,non,549385
bol blanc,1,not raw cotton,non,549385
bol commun,4,not raw cotton,non,549385
bol d'Arménie,19,not raw cotton,non,549385
bol d'Arménie et terre de Lemnos,2,not raw cotton,non,549385
bol d'arsenic,1,not raw cotton,non,549385
bol et planches,1,not raw cotton,non,549385
bol fin,1,not raw cotton,non,549385
bolbet de coton,1,not raw cotton,non,549385
boldavid,2,not raw cotton,non,549385
boldes d'Espagne,1,not raw cotton,non,549385
bolsas,1,not raw cotton,non,549385
bombardes,1,not raw cotton,non,549385
bombardes de cuivre,1,not raw cotton,non,549385
bombardes de fer,1,not raw cotton,non,549385
bombasin,22,not raw cotton,non,549385
bombasin de Troyes,1,not raw cotton,non,549385
Bombay,1,not raw cotton,non,549385
bombes,5,not raw cotton,non,549385
bombes de cuivre,2,not raw cotton,non,549385
bombes de cuivre à thé,1,not raw cotton,non,549385
bombes de fer,1,not raw cotton,non,549385
bombes et boulets,3,not raw cotton,non,549385
bombes et canons,3,not raw cotton,non,549385
bombes et grenade,1,not raw cotton,non,549385
bombets,1,not raw cotton,non,549385
bombets de demitte,2,not raw cotton,non,549385
bombets de demitte et corsets de demitte,1,not raw cotton,non,549385
bonbons,5,not raw cotton,non,549385
bonbons et sorbets,2,not raw cotton,non,549385
bondes de bois,1,not raw cotton,non,549385
bongras ammoniac,1,not raw cotton,non,549385
bongras animal,1,not raw cotton,non,549385
bonneterie,375,not raw cotton,non,549385
bonneterie ???,3,not raw cotton,non,549385
bonneterie commune de coton et bonneterie commune de laine,5,not raw cotton,non,549385
bonneterie d'estam,1,not raw cotton,non,549385
bonneterie d'Inde de poil,1,not raw cotton,non,549385
bonneterie de bourre de fil,1,not raw cotton,non,549385
bonneterie de bourre de soie,5,not raw cotton,non,549385
bonneterie de chanvre et de lin,5,not raw cotton,non,549385
bonneterie de chanvre et lin,2,not raw cotton,non,549385
bonneterie de coton,164,not raw cotton,non,549385
bonneterie de coton et bonneterie de fil,42,not raw cotton,non,549385
bonneterie de coton et bonneterie de fil et bonneterie de laine,16,not raw cotton,non,549385
bonneterie de coton et bonneterie de laine,1,not raw cotton,non,549385
bonneterie de coton et bonneterie de soie,1,not raw cotton,non,549385
bonneterie de fil,85,not raw cotton,non,549385
bonneterie de fil de coton,1,not raw cotton,non,549385
bonneterie de fil et bonneterie de coton,17,not raw cotton,non,549385
bonneterie de fil et coton en laine,1,not raw cotton,non,549385
