marchandises	marchandises_normalisees_inter	marchandises_normalisees
Cuirs ; de vache corroyés	Cuirs ; de vache ; corroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vaches ; corroyés	Cuirs ; de vache ; corroyés	Cuirs ; de vache ; corroyés
Cuirs ; de vache ; en grain	Cuirs ; de vache ; en grain	Cuirs ; de vache ; en grain
Cuir ; de vache ; en poil	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuir ; de vache ; tannés	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; de vaches ; en poil	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; Du poil ; De vaches	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; en poil	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; En poil ; De vaches	Cuirs ; de vache ; en poil	Cuirs ; de vache ; en poil
Cuirs ; de vache ; tannes	Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ; de vaches ; tannés	Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ; Tannés ; De vaches	Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ;de vache; tannés	Cuirs ; de vache ; tannés	Cuirs ; de vache ; tannés
Cuirs ; Divers	Cuirs ; divers	Cuirs ; divers
Cuirs ; doré	Cuirs ; doré	Cuirs ; doré
Cuirs; doré	Cuirs ; doré	Cuirs ; doré
cuirs dorés	Cuirs ; dorés	Cuirs ; dorés
cuirs dorés vieux	Cuirs ; dorés vieux	Cuirs ; dorés vieux
Cuirs; en grains	Cuirs ; en grains	Cuirs ; en grains
2///Matières premières///Cuirs en poil	Cuirs ; en poil	Cuirs ; en poil
Cuirs en poil	Cuirs ; en poil	Cuirs ; en poil
Cuirs; en poil	Cuirs ; en poil	Cuirs ; en poil
Cuirs ; En poil ; Divers	Cuirs ; en poil ; divers	Cuirs ; en poil ; divers
Cuirs ; En retail	Cuirs ; en retail	Cuirs ; en retail
cuirs pour soufflets	Cuirs ; pour soufflets	Cuirs ; pour soufflets
Cuirs ; Salés divers	Cuirs ; salés ; divers	Cuirs ; salés ; divers
cuirs salés à poil	Cuirs ; salés à poil	Cuirs ; salés à poil
cuirs secs à poil	Cuirs ; secs à poil	Cuirs ; secs à poil
cuirs secs et salé	Cuirs ; secs et salé	Cuirs ; secs et salé
Cuirs : tannés	Cuirs ; tannés	Cuirs ; tannés
Cuirs; tannés	Cuirs ; tannés	Cuirs ; tannés
Cuirs ; Tannés ; Divers	Cuirs ; tannés ; divers	Cuirs ; tannés ; divers
cuirs tannés pour empeignes	Cuirs ; tannés pour empeignes	Cuirs ; tannés pour empeignes
cuirs tannés pour semelles	Cuirs ; tannés pour semelles	Cuirs ; tannés pour semelles
Cuisses	Cuisses	Cuisses
Cuisse ; d'oye	Cuisses ; d'oie	Cuisses ; d'oie
Cuisses ; d'oye	Cuisses ; d'oie	Cuisses ; d'oie
Cuisses d'oye	Cuisses ; d'oie	Cuisses ; d'oie
Cuisses d'oyes	Cuisses ; d'oie	Cuisses ; d'oie
Cuisses doye	Cuisses ; d'oie	Cuisses ; d'oie
cuisses d'oye en adobe	Cuisses ; d'oie en adobe	Cuisses ; d'oie en adobe
///Métaux///Cuivre	Cuivre	Cuivre
Cuivre	Cuivre	Cuivre
Cuivre ; brun	Cuivre ; brun	Cuivre ; brun
Cuivre ; Brut	Cuivre ; brut	Cuivre ; brut
Cuivre ; brut	Cuivre ; brut	Cuivre ; brut
Cuivre; brut	Cuivre ; brut	Cuivre ; brut
Cuivres ; Brut	Cuivre ; brut	Cuivre ; brut
cuivre crû	Cuivre ; crû	Cuivre ; crû
cuivre crû en bloc	Cuivre ; crû en bloc	Cuivre ; crû en bloc
cuivre cru en masse	Cuivre ; cru en masse	Cuivre ; cru en masse
cuivre crü ou en plattes	Cuivre ; crü ou en plattes	Cuivre ; crü ou en plattes
Cuivre ; de fourure	Cuivre ; de fourrure	Cuivre ; de fourrure
cuivre de Namur	Cuivre ; de Namur	Cuivre ; de Namur
Cuivre ; Dite Potin	Cuivre ; dite potin	Cuivre ; dite potin
Cuivres ; Dite Potin	Cuivre ; dite potin	Cuivre ; dite potin
Cuivres ; Divers	Cuivre ; divers	Cuivre ; divers
Cuivre ; doré	Cuivre ; doré	Cuivre ; doré
Cuivre; doré	Cuivre ; doré	Cuivre ; doré
Cuivre ; En acume	Cuivre ; en acume	Cuivre ; en acume
Cuivre ; en cachets	Cuivre ; en cachets	Cuivre ; en cachets
Cuivre ; en clochette	Cuivre ; en clochette	Cuivre ; en clochette
Cuivre; en clochette	Cuivre ; en clochette	Cuivre ; en clochette
Cuivre ; en coupe	Cuivre ; en coupe	Cuivre ; en coupe
Cuivre ; en feüille	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre ; En feuilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre ; en feuilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre ; en feüilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre; en feuilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre; en feüilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivres ; En feuilles	Cuivre ; en feuilles	Cuivre ; en feuilles
Cuivre ; en fando	Cuivre ; en fonos	Cuivre ; en fonos
Cuivre ; en fonds	Cuivre ; en fonos	Cuivre ; en fonos
Cuivre ; en fonos	Cuivre ; en fonos	Cuivre ; en fonos
Cuivre ; en fourrure	Cuivre ; en fourrure	Cuivre ; en fourrure
Cuivre ; en fourrures	Cuivre ; en fourrure	Cuivre ; en fourrure
Cuivre ; en fourure	Cuivre ; en fourrure	Cuivre ; en fourrure
Cuivre ; En fourrure et mozette	Cuivre ; en fourrure et Rozette	Cuivre ; en fourrure et Rozette
Cuivres ; En fourure et Rozette	Cuivre ; en fourrure et Rozette	Cuivre ; en fourrure et Rozette
Cuivre ; en grelot	Cuivre ; en grelots	Cuivre ; en grelots
Cuivre ; en grelots	Cuivre ; en grelots	Cuivre ; en grelots
Cuivre; en grelots	Cuivre ; en grelots	Cuivre ; en grelots
Cuivre; en lames	Cuivre ; en lames	Cuivre ; en lames
Cuivre; en limaille	Cuivre ; en limaille	Cuivre ; en limaille
cuivre en masse	Cuivre ; en masse	Cuivre ; en masse
Cuivre ; Et en mitraille	Cuivre ; en mitraille	Cuivre ; en mitraille
Cuivre ; en planche	Cuivre ; en planches	Cuivre ; en planches
Cuivre ; En planches	Cuivre ; en planches	Cuivre ; en planches
Cuivre ; en planches	Cuivre ; en planches	Cuivre ; en planches
Cuivre; en planches	Cuivre ; en planches	Cuivre ; en planches
Cuivres ; En planches	Cuivre ; en planches	Cuivre ; en planches
Cuivre ; en plaques	Cuivre ; en plaques	Cuivre ; en plaques
Cuivre; en plaque	Cuivre ; en plaques	Cuivre ; en plaques
Cuivre; en plaquer	Cuivre ; en plaques	Cuivre ; en plaques
Cuivre ; en plattes	Cuivre ; en plates	Cuivre ; en plates
Cuivre; en platte	Cuivre ; en plates	Cuivre ; en plates
Cuivre ; en platines	Cuivre ; en platines	Cuivre ; en platines
Cuivre ; en platte	Cuivre ; en platines	Cuivre ; en platines
Cuivre; en platiner	Cuivre ; en platines	Cuivre ; en platines
Cuivre; en platines	Cuivre ; en platines	Cuivre ; en platines
cuivre en plattes	Cuivre ; en plattes	Cuivre ; en plattes
Cuivre ; en rozelle	Cuivre ; en rosette	Cuivre ; en rosette
Cuivre ; en rozette	Cuivre ; en rosette	Cuivre ; en rosette
Cuivre; en rozette	Cuivre ; en rosette	Cuivre ; en rosette
Cuivre ; en rouleau	Cuivre ; en rouleau	Cuivre ; en rouleau
Cuivre ; en toupe	Cuivre ; en toupe	Cuivre ; en toupe
Cuivre ; forgé	Cuivre ; forgé	Cuivre ; forgé
Cuivre ; jaune	Cuivre ; jaune	Cuivre ; jaune
cuivre jaune	Cuivre ; jaune	Cuivre ; jaune
Cuivre; jaune	Cuivre ; jaune	Cuivre ; jaune
cuivre jaune avec calamine	Cuivre ; jaune avec calamine	Cuivre ; jaune avec calamine
cuivre jaune en bloc	Cuivre ; jaune en bloc	Cuivre ; jaune en bloc
cuivre jaune en cloux	Cuivre ; jaune en cloux	Cuivre ; jaune en cloux
cuivre jaune en plattes	Cuivre ; jaune en plattes	Cuivre ; jaune en plattes
Cuivre ; Jaune et rouge	Cuivre ; jaune et rouge	Cuivre ; jaune et rouge
Cuivres ; Jaune et rouge	Cuivre ; jaune et rouge	Cuivre ; jaune et rouge
cuivre jaune fondu	Cuivre ; jaune fondu	Cuivre ; jaune fondu
cuivre jaune ouvré	Cuivre ; jaune ouvré	Cuivre ; jaune ouvré
Cuivres ; Laminé	Cuivre ; laminé	Cuivre ; laminé
Cuivre ; Ouvré	Cuivre ; ouvré	Cuivre ; ouvré
Cuivre ; ouvré	Cuivre ; ouvré	Cuivre ; ouvré
cuivre ouvré	Cuivre ; ouvré	Cuivre ; ouvré
Cuivre; ouvré	Cuivre ; ouvré	Cuivre ; ouvré
Cuivres ; Ouvrés	Cuivre ; ouvré	Cuivre ; ouvré
plattes de cuivre gravées et cizelées	Cuivre ; plaques ; gravées et ciselées	Cuivre ; plaques ; gravées et ciselées
Cuivre ; rouge	Cuivre ; rouge	Cuivre ; rouge
Cuivre; rouge	Cuivre ; rouge	Cuivre ; rouge
cuivre rouge crû ou en blocs, pour Namur	Cuivre ; rouge crû ou en blocs, pour Namur	Cuivre ; rouge crû ou en blocs, pour Namur
cuivre rouge en chaudrons	Cuivre ; rouge en chaudrons	Cuivre ; rouge en chaudrons
cuivre rouge en masse pour être raffiner	Cuivre ; rouge en masse pour être raffiner	Cuivre ; rouge en masse pour être raffiner
cuivre rouge en plattes	Cuivre ; rouge en plattes	Cuivre ; rouge en plattes
cuivre rouge ouvré	Cuivre ; rouge ouvré	Cuivre ; rouge ouvré
Cuivre ; cangoul	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; langout	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; Tangoul	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; tangoul	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; tangout	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre; rangoul	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre; tangoul	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre; tangout	Cuivre ; tangoul	Cuivre ; tangoul
Cuivre ; vieux	Cuivre ; vieux	Cuivre ; vieux
Cuivre; vieux	Cuivre ; vieux	Cuivre ; vieux
Cuivre ; Vieux et en mitraille	Cuivre ; vieux et en mitraille	Cuivre ; vieux et en mitraille
Cuivre ; vieux Et en mitraille	Cuivre ; vieux et en mitraille	Cuivre ; vieux et en mitraille
Cuivres: Vieux et en mitraille	Cuivre ; vieux et en mitraille	Cuivre ; vieux et en mitraille
Cullieres ; de fer	Cuivre ; vieux et en mitraille	Cuivre ; vieux et en mitraille
///Métaux///Cuivre, bronze et Laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton
///Métaux///Cuivre, bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton
///Métaux///Cuivre,bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton
Cuivre,bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton
Culottes	Culottes	Culottes
Culottes ; de peau	Culottes ; de peau	Culottes ; de peau
culottes de peaux	Culottes ; de peau	Culottes ; de peau
culottes de toille	Culottes ; de toile	Culottes ; de toile
Culs ; d'artichaux	Culs ; d'artichauts	Culs ; d'artichauts
Cumin	Cumin	Cumin
Curcaca	Curcuma	Curcuma
Curcuma	Curcuma	Curcuma
curcuma	Curcuma	Curcuma
Curuma	Curcuma	Curcuma
Curlas	Curlas	Curlas
Cuve	Cuve	Cuve
Cuves	Cuve	Cuve
Cuvier	Cuvier	Cuvier
Caviers de terre	Cuviers ; de terre	Cuviers ; de terre
Cuviers de terre	Cuviers ; de terre	Cuviers ; de terre
Cilindre	Cylindre	Cylindre
Daïs : pour Eglise	Daïs ; pour Eglise	Daïs ; pour Eglise
Damas	Damas	Damas
Damas ; à frange d'argent	Damas ; à frange ; d'argent	Damas ; à frange ; d'argent
Dame jannes	Dame-jeanne	Dame-jeanne
Dame jaunes	Dame-jeanne	Dame-jeanne
Dame jeannes	Dame-jeanne	Dame-jeanne
Dame-janes ; clissées	Dame-jeanne	Dame-jeanne
Dame-jannes	Dame-jeanne	Dame-jeanne
Dame-jeanne	Dame-jeanne	Dame-jeanne
Damejannes	Dame-jeanne	Dame-jeanne
Damejaune	Dame-jeanne	Dame-jeanne
Damejaunes	Dame-jeanne	Dame-jeanne
Darins	Darins	Darins
dades	Dattes	Dattes
Dattes	Dattes	Dattes
dattes	Dattes	Dattes
dades et pistaches	Dattes et pistaches	Dattes et pistaches
Daufine	Dauphine	Dauphine
Dauphine	Dauphine	Dauphine
dauphine	Dauphine	Dauphine
Dauphiné	Dauphine	Dauphine
debris de vaisseaux et vieux ouvrages de charpente	Debris de vaisseaux et vieux ouvrages de charpente	Debris de vaisseaux et vieux ouvrages de charpente
Dechets de pierre	Déchets de pierre	Déchets de pierre
Dechets de pierres	Déchets de pierre	Déchets de pierre
décorations pour carosses	Décorations pour carosses	Décorations pour carosses
Degras	Degras	Degras
DegraÉ	Degras ; ?	Degras ; ?
Degras ; de peau	Degras ; de peau	Degras ; de peau
Degras de peau	Degras ; de peau	Degras ; de peau
Degras de peaux	Degras ; de peau	Degras ; de peau
Dégras de peaux	Degras ; de peau	Degras ; de peau
Degrau	Dégrau	Dégrau
Dégrau	Dégrau	Dégrau
Demille	Demille	Demille
Demitte	Demitte	Demitte
Demoiselles	Demoiselles	Demoiselles
///Objets manufacturés///Dentelles	Dentelle	Dentelle
Dentelle	Dentelle	Dentelle
Dentelles	Dentelle	Dentelle
Dentelle ; à peu de soye	Dentelle ; à peu de soie	Dentelle ; à peu de soie
Dentelle ; Commune	Dentelle ; commune	Dentelle ; commune
Dentelle ; commune	Dentelle ; commune	Dentelle ; commune
Dentelles ; commune	Dentelle ; commune	Dentelle ; commune
Dentelles ; Communes	Dentelle ; commune	Dentelle ; commune
Dentelle ; d'argent	Dentelle ; d'argent	Dentelle ; d'argent
Dentelle ; dorure ; d'argent	Dentelle ; d'argent	Dentelle ; d'argent
Dentelle; dorure; d'argent	Dentelle ; d'argent	Dentelle ; d'argent
Dentelle; dorures; d'argent	Dentelle ; d'argent	Dentelle ; d'argent
Dentelle ; d'argent ; faux	Dentelle ; d'argent ; faux	Dentelle ; d'argent ; faux
Dentelle ; d'argent ; fin	Dentelle ; d'argent ; fin	Dentelle ; d'argent ; fin
Dentelle ; d'or	Dentelle ; d'or	Dentelle ; d'or
Dentelle ; dorure ; d'or	Dentelle ; d'or	Dentelle ; d'or
Dentelle; dorure; d'or	Dentelle ; d'or	Dentelle ; d'or
Dentelle; dorures; d'or	Dentelle ; d'or	Dentelle ; d'or
Dentelle ; d'or ; faux	Dentelle ; d'or ; faux	Dentelle ; d'or ; faux
Dentelle ; d'or faux	Dentelle ; d'or ; faux	Dentelle ; d'or ; faux
Dentelle ; dorure ; d'or faux	Dentelle ; d'or ; faux	Dentelle ; d'or ; faux
Dentelle ; d'or ; fin	Dentelle ; d'or ; fin	Dentelle ; d'or ; fin
Dentelle ; dorure ; d'or fin	Dentelle ; d'or ; fin	Dentelle ; d'or ; fin
Dentelle ; dorure ; or et arg	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelle ; dorure ; or et argt	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelle ; or et argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelle or et argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelle; dorure; or et argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelle; dorures; or et argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
Dentelles ; or et argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
dentelles d'or et d'argent	Dentelle ; d'or et d'argent	Dentelle ; d'or et d'argent
dentelles d'or et d'argent faux	Dentelle ; d'or et d'argent ; faux	Dentelle ; d'or et d'argent ; faux
Dentelle ; or et argent ; fin	Dentelle ; d'or et d'argent ; fin	Dentelle ; d'or et d'argent ; fin
Dentelle ; or et argent fin	Dentelle ; d'or et d'argent ; fin	Dentelle ; d'or et d'argent ; fin
Dentelle ; De fil	Dentelle ; de fil	Dentelle ; de fil
dentelle de fil	Dentelle ; de fil	Dentelle ; de fil
Dentelles de fil	Dentelle ; de fil	Dentelle ; de fil
Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; De fil blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; de fil blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; fil ; blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle; de fil; blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle; de fil;blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelles ; de fil ; blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelles ; De fil blanc	Dentelle ; de fil ; blanc	Dentelle ; de fil ; blanc
Dentelle ; de fil ; commune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle ; de fil ; comune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle ; fil ; commune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle; de fil; commune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle; de fil; comune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelles ; de fil ; commune	Dentelle ; de fil ; commune	Dentelle ; de fil ; commune
Dentelle ; de fil ; d'alençon	Dentelle ; de fil ; d'Alençon	Dentelle ; de fil ; d'Alençon
Dentelle ; de fil ; de bergame	Dentelle ; de fil ; de Bergame	Dentelle ; de fil ; de Bergame
Dentelle ; de caen	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de caen	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle ; de fil ; de Caën	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle; de fil; de Caen	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelle; de fil; de Caën	Dentelle ; de fil ; de Caen	Dentelle ; de fil ; de Caen
Dentelles ; de fil ; de crin	Dentelle ; de fil ; de crin	Dentelle ; de fil ; de crin
Dentelle ; de fil ; de Flandre	Dentelle ; de fil ; de Flandre	Dentelle ; de fil ; de Flandre
Dentelle ; de fil ; de flandre	Dentelle ; de fil ; de Flandre	Dentelle ; de fil ; de Flandre
Dentelle ; de fil ; de lain	Dentelle ; de fil ; de lin	Dentelle ; de fil ; de lin
Dentelle ; de fil ; de Normandie	Dentelle ; de fil ; de Normandie	Dentelle ; de fil ; de Normandie
Dentelle ; de fil ; de Guy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; de Puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; du puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de Puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de Roüen	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle; de fil; du Buy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelles ; de fil ; de Puy	Dentelle ; de fil ; du Puy	Dentelle ; de fil ; du Puy
Dentelle ; de fil ; fin	Dentelle ; de fil ; fine	Dentelle ; de fil ; fine
Dentelle ; de fil ; fine	Dentelle ; de fil ; fine	Dentelle ; de fil ; fine
Dentelles ; de fil ; fine	Dentelle ; de fil ; fine	Dentelle ; de fil ; fine
Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse
Dentelle ; fil ; grosse	Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse
Dentelle; de fil; grosse	Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse
Dentelles ; de fil ; grosse	Dentelle ; de fil ; grosse	Dentelle ; de fil ; grosse
///Objets manufacturés///Dentelles de fil	Dentelle ; de fil et soie	Dentelle ; de fil et soie
Dentelle ; De fil et soye	Dentelle ; de fil et soie	Dentelle ; de fil et soie
Dentelle ; de malines	Dentelle ; de malines	Dentelle ; de malines
Dentelle ; de normandie	Dentelle ; de normandie	Dentelle ; de normandie
Dentelle ; De Soye	Dentelle ; de soie	Dentelle ; de soie
Dentelle ; De soye	Dentelle ; de soie	Dentelle ; de soie
Dentelle ; de soye	Dentelle ; de soie	Dentelle ; de soie
Dentelle; de soye	Dentelle ; de soie	Dentelle ; de soie
Dentelles ; De soye	Dentelle ; de soie	Dentelle ; de soie
Dentelles ; de soye	Dentelle ; de soie	Dentelle ; de soie
dentelles de soye et blondes	Dentelle ; de soie et blondes	Dentelle ; de soie et blondes
Dentelle ; Diverses	Dentelle ; diverse	Dentelle ; diverse
Dentelle ; du Puy	Dentelle ; du Puy	Dentelle ; du Puy
Dentelle ; En dorure	Dentelle ; en dorure	Dentelle ; en dorure
Dentelle ; fine	Dentelle ; fine	Dentelle ; fine
Dentelle ; grosse	Dentelle ; grosse	Dentelle ; grosse
Dentelle ; grossiere	Dentelle ; grosse	Dentelle ; grosse
Dentelle ; mi soye	Dentelle ; mi soie	Dentelle ; mi soie
2///Matières premières///Dents d'éléphant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'Elephant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'elephant	Dents ; d'éléphant	Dents ; d'éléphant
dents ; d'elephant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'élephant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'éléphant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; d'éléphants	Dents ; d'éléphant	Dents ; d'éléphant
dents d'éléphans	Dents ; d'éléphant	Dents ; d'éléphant
Dents; d'Elephant	Dents ; d'éléphant	Dents ; d'éléphant
Dents ; cheval marin	Dents ; de cheval ; marin	Dents ; de cheval ; marin
Dents ; de morphil	Dents ; de morphil	Dents ; de morphil
Dents ; de morphit	Dents ; de morphil	Dents ; de morphil
Dents; de morphil	Dents ; de morphil	Dents ; de morphil
Dents; des norphil	Dents ; de morphil	Dents ; de morphil
Dents ; de vache marine	Dents ; de vache marine	Dents ; de vache marine
Dents; de vache marine	Dents ; de vache marine	Dents ; de vache marine
derle	Derle	Derle
Dez	Dés	Dés
Dez ; à coudre	Dés ; à coudre	Dés ; à coudre
Dez a coudre	Dés ; à coudre	Dés ; à coudre
Dez à coudre	Dés ; à coudre	Dés ; à coudre
Des à joüer	Dés ; à jouer	Dés ; à jouer
Dez ; à joüer	Dés ; à jouer	Dés ; à jouer
Dez ; de cuivre	Dés ; de cuivre	Dés ; de cuivre
Dez ; de fer	Dés ; de fer	Dés ; de fer
Dez ; de leton	Dés ; de laiton	Dés ; de laiton
desseins de papier	Desseins de papier	Desseins de papier
devants de vestes	Devants de vestes	Devants de vestes
Diamants fin	Diamants fins	Diamants fins
Diamants fins	Diamants fins	Diamants fins
Dictamus	Dictamus	Dictamus
Dimelle	Dimelle	Dimelle
dimit	Dimit	Dimit
dindes	Dindes	Dindes
Dindons	Dindons	Dindons
