marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Epicerie	...	0	0b		matched (3)
Epicerie ; canelle	...	0	0b		matched (3)
Epicerie ; diverse	...	0	0b		matched (3)
Epicerie ; girofle	...	0	0b		matched (3)
Epicerie ; muscade	...	0	0b		matched (3)
Epicerie ; poivre en grabeau	...	0	0b		matched (3)
Epicerie ; poivre giroflé	...	0	0b		matched (3)
Epicerie ; poivre ordinaire	...	0	0b		matched (3)
Epicerie ; poivre piment	...	0	0b		matched (3)
Epingles	...	6	6		matched (3)
Eponges	...	2	2		matched (3)
Epousterie	…	…	…	Balais ?	matched (3)
Ergots ; d'Elbeuf	...	2	2		matched (3)
Ergots ; de bœuf	...	2	2		matched (3)
Escabilles	…	…	…		matched (3)
Escamitte	…	…	…	Bottin	matched (3)
Escarasse	…	2	2	Morceaux de bois	matched (3)
Escargots	...	0	0a		matched (3)
Escayolle	...	0	0a	Graine à nourrir les oiseaux	matched (3)
Esco	…	6	6		matched (3)
Escortines	…	…	…		matched (3)
Escots ; de fer	…	6	6	Voir Scortines ?	matched (3)
Espagnolette	...	6	6		matched (3)
Espardilles	...	2	2	Petites pièces de bois	matched (3)
Espars	...	2	2	Longues pièces de bois	matched (3)
Espice de curons	...	1	1		matched (3)
Esprit ; de bergamotte	...	5	5		matched (3)
Esprit ; de cedra	...	5	5		matched (3)
Esprit ; de citron	...	5	5		matched (3)
Esprit ; de Coclearia	...	5	5		matched (3)
Esprit ; de cornes de cerf	...	5	5		matched (3)
Esprit ; de nitre	...	5	5		matched (3)
Esprit ; de sel	...	5	5		matched (3)
Esprit ; de vin	...	5	5		matched (3)
Esprit ; de vitriol	...	5	5		matched (3)
Essence	…	5	5		matched (3)
Essence ; de bergamotte	…	5	5		matched (3)
Essence ; de canelle	…	5	5		matched (3)
Essence ; de citron	…	5	5		matched (3)
Essence ; de géroffle	…	5	5		matched (3)
Essence ; de muscades	…	5	5		matched (3)
Essence ; de térébenthine	…	5	5		matched (3)
Essence ; de vitriol	…	5	5		matched (3)
Essence ; diverse	…	5	5		matched (3)
Essieux ; de fer	…	6	6		matched (3)
Estampes	...	5	5		matched (3)
Estampes et gravures	...	8	8		matched (3)
Estère de jonc	...	6	6	Natte de jonc	matched (3)
Estrasse ; de savoye	...	6	6c	Chiffons	matched (3)
Estrasse ; de soie	...	6	6c		matched (3)
Esturgeons	...	0	0a		matched (3)
Etaim	...	6	6		matched (3)
Etain	...	6	6		matched (3)
Etain ; battu	...	6	6		matched (3)
Etain ; brut	...	6	6		matched (3)
Etain ; d'angleterre	...	6	6		matched (3)
Etain ; de glace	...	6	6		matched (3)
Etain ; de Melac	...	6	6		matched (3)
Etain ; des Indes	...	6	6		matched (3)
Etain ; divers	...	6	6		matched (3)
Etain ; en baguette	...	6	6		matched (3)
Etain ; en bloc	...	6	6		matched (3)
Etain ; en feuille	...	6	6		matched (3)
Etain ; fin	...	6	6		matched (3)
Etain ; ouvré	...	6	6		matched (3)
Etain ; pour soudure	...	6	6		matched (3)
Etain ; vieux	...	6	6		matched (3)
Etalchasse	...	...	...		matched (3)
Etamette	...	6	6b	petite étoffe légère (sans doute une variante de l’étamine)BD	matched (3)
Etamine ; à pavillon	...	6	6b		matched (3)
Etamine ; buraite	...	6	6b		matched (3)
Etamine ; d'agen	...	6	6b		matched (3)
Etamine ; d'amiens	...	6	6b		matched (3)
Etamine ; d'auvergne	...	6	6b		matched (3)
Etamine ; de Acims	...	6	6b		matched (3)
Etamine ; de laine	...	6	6b		matched (3)
Etamine ; de Nogent	...	6	6b		matched (3)
Etamine ; de Noyau	...	6	6b		matched (3)
Etamine ; de Reims	...	6	6b		matched (3)
Etamine ; des prises	...	6	6b		matched (3)
Etamine ; du Mans	...	6	6b		matched (3)
Etamine ; du slans	...	6	6b		matched (3)
Etamine ; rayée	...	6	6b		matched (3)
Etaya	...	...	...		matched (3)
Etendelles	…	8	8	Lieu utilisé autrefois pour étendre les peaux afin de les faire sécher avant de les manipuler (linternaute.com)	matched (3)
Etocs	…	2	2	Sorte de roches	matched (3)
Etoffe ; à peu de soie	silk fabrics	6	6c		matched (3)
Etoffe ; au 1/4 de soie	silk fabrics	6	6c		matched (3)
Etoffe ; crêpe	...	6	6	Laine ou soie	matched (3)
Etoffe ; d'argent	...	6	6		matched (3)
Etoffe ; d'herbes	...	6	6		matched (3)
Etoffe ; d'or	...	6	6		matched (3)
Etoffe ; de bourre de soie	silk fabrics	6	6c		matched (3)
Etoffe ; de capiton	...	6	6		matched (3)
Etoffe ; de coton	cotton	6	6d		matched (3)
Etoffe ; de coton  ; divers	...	6	6b		master only (1)
Etoffe ; de coton ; ?	cotton	6	6d		matched (3)
Etoffe ; de coton ; cotonné	...	6	6b		matched (3)
Etoffe ; de coton ; divers	...	6	6b		using only (2)
Etoffe ; de coton ; divers	cotton	6	6d		master only (1)
Etoffe ; de coton ; velour	cotton	6	6d		matched (3)
Etoffe ; de coton et fil	...	6	6a		matched (3)
Etoffe ; de coton et laine	...	6	6b		matched (3)
Etoffe ; de fil	...	6	6a		matched (3)
Etoffe ; de fil et laine	linens	6	6c		matched (3)
Etoffe ; de filozelle	silk fabrics	6	6c		matched (3)
Etoffe ; de fleures et coton	cotton	6	6d		matched (3)
Etoffe ; de fleures et laine	cotton	6	6b		matched (3)
Etoffe ; de fleuret	silk fabrics	6	6c		matched (3)
Etoffe ; de laine	broadcloth	6	6b		matched (3)
Etoffe ; de laine et poil	broadcloth	6	6b		matched (3)
Etoffe ; de poil	...	6	6b		matched (3)
Etoffe ; de poil ; ?	...	6	6b		matched (3)
Etoffe ; de poil ; allemande	...	6	6b		matched (3)
Etoffe ; de poil ; baracan	...	6	6b		matched (3)
Etoffe ; de poil ; bouras	...	6	6b		matched (3)
Etoffe ; de poil ; callemande	...	6	6b		matched (3)
Etoffe ; de poil ; camelot	...	6	6b		matched (3)
Etoffe ; de poil ; de catalogne	...	6	6b		matched (3)
Etoffe ; de poil ; lampareille	...	6	6b		matched (3)
Etoffe ; de poil ; ligatures	...	6	6b		matched (3)
Etoffe ; de poil ; nina	...	6	6b		matched (3)
Etoffe ; de poil ; philipichine	...	6	6b		matched (3)
Etoffe ; de poil ; polini	...	6	6b		matched (3)
Etoffe ; de poil ; prunelle	...	6	6b		matched (3)
Etoffe ; de poil ; sorge de rome	...	6	6b		matched (3)
Etoffe ; de poil ; tanillas	...	6	6b		matched (3)
Etoffe ; de poil et fil	linens	6	6b		matched (3)
Etoffe ; de poil et laine	broadcloth	6	6b		matched (3)
Etoffe ; de soie	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; ?	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; à peu de soye	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; bours	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; crêpe	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; damas	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; de Levant	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; des Indes	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; diverses	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; draguet	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; Morenine	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; panine	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; satin	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; serge	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; taffetas	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; velours	silk fabrics	6	6c		matched (3)
Etoffe ; de soie ; voile	silk fabrics	6	6c		matched (3)
Etoffe ; de soie et dorure	silk fabrics	6	6c		matched (3)
Etoffe ; diverses	...	6	6		matched (3)
Etoffe ; dorure ; d'argent	...	6	6		matched (3)
Etoffe ; dorure ; d'or	...	6	6		matched (3)
Etoffe ; dorure ; d'or et d'argent	...	6	6		matched (3)
Etoffe ; dorure ; d'or faux	...	6	6		matched (3)
Etoffe ; droguet	...	6	6b	Pourrait-être laine et fil	matched (3)
Etoffe ; droguet ; de soie	...	6	6c		matched (3)
Etoffe ; étrangères	...	6	6		matched (3)
Etoffe ; étrangeres ; des judes	...	6	6		matched (3)
Etoffe ; façonnée	...	6	6		matched (3)
Etoffe ; fil et coton	...	6	6a		matched (3)
Etoffe ; finette	...	6	6		matched (3)
Etoffe ; Imperiale	...	6	6		matched (3)
Etoffe ; mélangées de ces matières	...	6	6		matched (3)
Etoffe ; mêlée ; buraille	...	6	6		matched (3)
Etoffe ; mêlée ; de soie ; au fil	silk fabrics	6	6c		master only (1)
Etoffe ; mêlée ; mi soie	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée ;de soie ; à peu	silk fabrics	6	6c		master only (1)
Etoffe ; mêlée de soie	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; ?	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; à peu	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; à peu de soie	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; au fil	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; au quart	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; coton et soie	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; greek	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; grisette	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; mi soie	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; panne	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; papeline	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; peluche	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; ripe de velour	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; siamoise	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; soie et coton	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; soie et fil	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; tripe de velour	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; trippe de velour	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; velour d'Otreck	silk fabrics	6	6c		matched (3)
Etoffe ; mêlée de soie ; velour de Genes	silk fabrics	6	6c		matched (3)
Etoffe ; mêlées de soie ; au 4/5ème de soye	silk fabrics	6	6c		matched (3)
Etoffe ; mêlées de soie ; au 6ème de soye	silk fabrics	6	6c		matched (3)
Etoffe ; mêlées de soie ; au quart de soye	silk fabrics	6	6c		matched (3)
Etoffe ; mêlées de soie ; velour d'Utrecht	silk fabrics	6	6c		matched (3)
Etoffe ; mi soie	...	6	6c		matched (3)
Etoffe ; mitées ; mi soie	...	6	6c		matched (3)
Etoffe ; noire	...	6	6		matched (3)
Etoffe ; or et argent	...	6	6		matched (3)
Etoffe ; riche	...	6	6		matched (3)
Etoffe ; riches en or et argent	...	6	6		matched (3)
Etoffe ; satin	silk fabrics	6	6c		matched (3)
Etoffe ; Serge de soie	silk fabrics	6	6c		matched (3)
Etoffe ; taffetas	...	6	6		matched (3)
Etoffe ; velour ; d'Utrecht	silk fabrics	6	6c		matched (3)
Etoffe ; velours	...	6	6		matched (3)
Etoupes	...	6	6		matched (3)
Etoupes ; de chanvre	...	6	6a		matched (3)
Etoupes ; de lin	linens	6	6a		matched (3)
Etoupes ; de soie	...	6	6c		matched (3)
Etuis	...	8	8		matched (3)
Euphorbe	...	2	2		matched (3)
Eventails	...	8	8		matched (3)
Eventails ; communs	...	8	8		matched (3)
Eventails ; de palmes	...	8	8		matched (3)
Eventails ; de taffetas	...	8	8		matched (3)
Eventails ; fins	...	8	8		matched (3)
Extrait ; de genièvre	...	5	5		matched (3)
Extrait ; de lavande	...	5	5		matched (3)
Extrait ; de quinquina	...	5	5		matched (3)
Fagots	…	2	2		matched (3)
Faisans	...	0	0a		matched (3)
Faisant	...	0	0a		matched (3)
Falquieres de mulets	…	6	6		matched (3)
Fanailes	...	...	...		matched (3)
Farces a drapier	…	...	...		matched (3)
Farine	...	0	0a		matched (3)
Farine ; de bouquette	...	0	0a		matched (3)
Farine ; de froment	...	0	0a		matched (3)
Farine ; de sarrazin	...	0	0a		matched (3)
Farine ; dite gruau	...	0	0a		matched (3)
Farine ; ordinaire	...	0	0a		matched (3)
Farine et biscuits de mer	...	0	0a		matched (3)
Farine et pâtes d'Italie	...	0	0a		matched (3)
Farine, biscuits de mer et pâtes d'Italie	...	0	0a		matched (3)
Faucilles	...	6	6		matched (3)
Faulx	...	6	6		matched (3)
Fautas	...	...	...		matched (3)
Fauteuils ; de canne	...	8	8		matched (3)
Fauteuils de tapisserie	...	8	8		matched (3)
Fauvy	…	5	5	Importation de Savoie	matched (3)
Faux ; à faucher	...	6	6		matched (3)
Fayence	...	6	6		matched (3)
Fayence et poterie	...	6	6		matched (3)
Fayottes	…	0	0a	Sorte de petits haricots	matched (3)
Fenoüil	…	0	0a		matched (3)
Fer	...	6	6		matched (3)
Fer  en taule	...	6	6		master only (1)
Fer ; ?	...	6	6		matched (3)
Fer ; à cheval	...	6	6		matched (3)
Fer ; à friser	...	6	6		matched (3)
Fer ; à lames	...	6	6		matched (3)
Fer ; à moulins	...	6	6		matched (3)
Fer ; a negres	...	6	6		matched (3)
Fer ; à repasser	...	6	6		matched (3)
Fer ; battu	...	6	6		matched (3)
Fer ; blanc	...	6	6		matched (3)
Fer ; caverges	...	6	6		matched (3)
Fer ; coulé	...	6	6		matched (3)
Fer ; courbes	...	6	6		matched (3)
Fer ; cullière	...	6	6		matched (3)
Fer ; de fonte	...	6	6		matched (3)
Fer ; de fonte ou coulé	...	6	6		matched (3)
Fer ; divers	...	6	6		matched (3)
Fer ; en ancres	...	6	6		matched (3)
Fer ; en balances	...	6	6		matched (3)
Fer ; en balons	...	6	6		matched (3)
Fer ; en bande	...	6	6		matched (3)
Fer ; en bandes	...	6	6		matched (3)
Fer ; en barres	…	6	6		matched (3)
Fer ; en bassins	...	6	6		matched (3)
Fer ; en batterie	...	6	6		matched (3)
Fer ; en battons	...	6	6		matched (3)
Fer ; en bocages	...	6	6		matched (3)
Fer ; en boites	...	6	6		matched (3)
Fer ; en bombes	...	6	6		matched (3)
Fer ; en bottes	...	6	6		matched (3)
Fer ; en boues	...	6	6		matched (3)
Fer ; en brancard	...	6	6		matched (3)
Fer ; en brancards	...	6	6		matched (3)
Fer ; en casses	...	6	6		matched (3)
Fer ; en cercles	...	6	6		matched (3)
Fer ; en chaines	...	6	6		matched (3)
Fer ; en chaisne	...	6	6		matched (3)
Fer ; en chaisnes	...	6	6		matched (3)
Fer ; en chapes	...	6	6		matched (3)
Fer ; en chaudieres	...	6	6		matched (3)
Fer ; en chaudières	...	6	6		matched (3)
Fer ; en chaudronnerie	...	6	6		matched (3)
Fer ; en couvercles	...	6	6		matched (3)
Fer ; en cuillieres	...	6	6		matched (3)
Fer ; en écopes	...	6	6		matched (3)
Fer ; en élocs	...	6	6		matched (3)
Fer ; en enclumes	...	6	6		matched (3)
Fer ; en ess?	...	6	6		matched (3)
Fer ; en essieux	...	6	6		matched (3)
Fer ; en étaux	...	6	6		matched (3)
Fer ; en étocks	...	6	6		matched (3)
Fer ; en étrilles	...	6	6		matched (3)
Fer ; en étuves	...	6	6		matched (3)
Fer ; en feuilles	...	6	6		matched (3)
Fer ; en figures	...	6	6		matched (3)
Fer ; en fleaux	...	6	6		matched (3)
Fer ; en grapins	...	6	6		matched (3)
Fer ; en grenaille	...	6	6		matched (3)
Fer ; en grillons	...	6	6		matched (3)
Fer ; en grisles	...	6	6		matched (3)
Fer ; en lames	...	6	6		matched (3)
Fer ; en limaille	...	6	6		matched (3)
Fer ; en marmites	...	6	6		matched (3)
Fer ; en marmittes	...	6	6		master only (1)
Fer ; en masse	...	6	6		matched (3)
Fer ; en outils	...	6	6		matched (3)
Fer ; en palmes	...	6	6		matched (3)
Fer ; en pelles	...	6	6		matched (3)
Fer ; en pivots	...	6	6		matched (3)
Fer ; en plançons	...	6	6		matched (3)
Fer ; en plaques	...	6	6		matched (3)
Fer ; en platines	...	6	6		matched (3)
Fer ; en platte	...	6	6		matched (3)
Fer ; en poêles à frire	...	6	6		matched (3)
Fer ; en poids	...	6	6		matched (3)
Fer ; en potterie	...	6	6		matched (3)
Fer ; en sçies	...	6	6		matched (3)
Fer ; en serrures	...	6	6		matched (3)
Fer ; en taillandrie	...	6	6		matched (3)
Fer ; en tambourg	...	6	6		matched (3)
Fer ; en taule	...	6	6		matched (3)
Fer ; en truffes	...	6	6		matched (3)
Fer ; en tuyaux	...	6	6		matched (3)
Fer ; en verges	...	6	6		matched (3)
Fer ; ferrement	...	6	6		matched (3)
Fer ; feuillard en cercles	...	6	6		matched (3)
Fer ; guarré	...	6	6		matched (3)
Fer ; maqua	...	6	6		matched (3)
Fer ; noir	...	6	6		matched (3)
Fer ; ouvré	...	6	6		matched (3)
Fer ; ouvré ; divers	...	6	6		matched (3)
Fer ; ouvré ; en fonte	...	6	6		matched (3)
Fer ; ouvré divers	...	6	6		matched (3)
Fer ; plat	...	6	6		matched (3)
Fer ; pour foyers	...	6	6		matched (3)
Fer ; quarré	...	6	6		matched (3)
Fer ; rond	...	6	6		matched (3)
Fer ; spâté	...	6	6		matched (3)
Fer ; spatté	...	6	6		matched (3)
Fer ; vieux	...	6	6		matched (3)
Fer en taule	...	6	6		matched (3)
Fer et acier	...	6	6		matched (3)
Ferandine	...	6	6		matched (3)
Ferrement ; à sucre	…	6	6		matched (3)
Fersements	…	6	6		matched (3)
Feuillards	...	2	2		matched (3)
Feuillards ; de fer	...	2	2		matched (3)
Feux ; argentés	…	6	6		matched (3)
Fèves	...	0	0a		matched (3)
Fiasques	…	1	1	Liqueur d'Italie	matched (3)
Ficelle	...	6	6a		matched (3)
Fideau	…	…	…		matched (3)
Figues	...	0	0a		matched (3)
Figures ; de bronze	...	8	8		matched (3)
Fil	...	6	6a		matched (3)
Fil  ; d'arbalète	...	9	9		master only (1)
Fil ; à broder	...	6	6a		matched (3)
Fil ; à cordonnier	...	6	6a		matched (3)
Fil ; à coudre	...	6	6a		matched (3)
Fil ; à coudre ; à Voile	...	6	6a		matched (3)
Fil ; à coudre ; blanc	...	6	6a		matched (3)
Fil ; à coudre ; commun	...	6	6a		matched (3)
Fil ; à coudre ; de Bretagne	...	6	6a		matched (3)
Fil ; à coudre ; de chanvre	...	6	6a		matched (3)
Fil ; à coudre ; de couleur	...	6	6a		matched (3)
Fil ; à coudre ; de couteau	...	6	6a		matched (3)
Fil ; à coudre ; de ménage	...	6	6a		matched (3)
Fil ; à coudre ; de Piedmont	...	6	6a		matched (3)
Fil ; à coudre ; de Rennes	...	6	6a		matched (3)
Fil ; à coudre ; de ritte	...	6	6a		matched (3)
Fil ; à coudre ; divers	...	6	6a		matched (3)
Fil ; à coudre ; du fin	...	6	6a		matched (3)
Fil ; à coudre ; en masse	...	6	6a		matched (3)
Fil ; à coudre ; en poignée	...	6	6a		matched (3)
Fil ; à coudre ; épinal	...	6	6a		matched (3)
Fil ; à coudre ; moyen	...	6	6a		matched (3)
Fil ; à dentelle	...	6	6a		matched (3)
Fil ; à dentelle ; blanc	…	6	6a		matched (3)
Fil ; à dentelle ; commun	...	6	6a		matched (3)
Fil ; à dentelle ; cru	...	6	6a		matched (3)
Fil ; à dentelle ; fin	...	6	6a		matched (3)
Fil ; à dentelle ; mi fin	...	6	6a		matched (3)
Fil ; à folle	...	6	6a		matched (3)
Fil ; à marquer	...	6	6a		matched (3)
Fil ; à papillon	...	6	6a		matched (3)
Fil ; à rez	...	6	6a		matched (3)
Fil ; à senne	...	6	6a		matched (3)
Fil ; a tisserand	...	6	6a		matched (3)
Fil ; à tisserand	...	6	6a		matched (3)
Fil ; à tisserand ; dechenette	...	6	6a		matched (3)
Fil ; à tisserand ; divers	...	6	6a		matched (3)
Fil ; à voile	...	6	6a		matched (3)
Fil ; arez	...	6	6a		matched (3)
Fil ; cru	...	6	6a		matched (3)
Fil ; cru ; à toile	...	6	6a		matched (3)
Fil ; d'arbalète	...	9	9		using only (2)
Fil ; d'argent	...	6	6		matched (3)
Fil ; d'étoupe	...	6	6a		matched (3)
Fil ; d'or	...	6	6		matched (3)
Fil ; d'or ; faux	...	6	6		matched (3)
Fil ; d'or ; fin	...	6	6		matched (3)
Fil ; d'or et d'argent	...	6	6		matched (3)
Fil ; de Bieustons	...	6	6a		matched (3)
Fil ; de canette	...	6	6a		matched (3)
Fil ; de carrette	...	6	6a		matched (3)
Fil ; de chanvre	...	6	6a		matched (3)
Fil ; de chenette	...	6	6a		matched (3)
Fil ; de chevre	...	6	6a		matched (3)
Fil ; de chèvre	...	6	6a		matched (3)
Fil ; de chevrette	...	6	6a		matched (3)
Fil ; de corailleur	...	6	6a		matched (3)
Fil ; de crin	...	6	6		matched (3)
Fil ; de fe r ; passepoiles	...	6	6		matched (3)
Fil ; de fe r; passepoiles	...	6	6		master only (1)
Fil ; de fer	...	6	6		matched (3)
Fil ; de fer  ; à cardes	...	6	6		master only (1)
Fil ; de fer  ; divers	...	6	6		master only (1)
Fil ; de fer  ; gros	...	6	6		master only (1)
Fil ; de fer  ; ordinaire	...	6	6		master only (1)
Fil ; de fer  ; passeperle	...	6	6		master only (1)
Fil ; de fer ; a cardes	...	6	6		matched (3)
Fil ; de fer ; à cardes	...	6	6		using only (2)
Fil ; de fer ; assortis	...	6	6		matched (3)
Fil ; de fer ; divers	...	6	6		matched (3)
Fil ; de fer ; gros	...	6	6		matched (3)
Fil ; de fer ; ordinaire	...	6	6		using only (2)
Fil ; de fer ; passeperle	...	6	6		using only (2)
Fil ; de filesie	...	6	6		master only (1)
Fil ; de fleuret	...	6	6c		matched (3)
Fil ; de laiton	...	6	6		matched (3)
Fil ; de layette	...	6	6		matched (3)
Fil ; de lin ; bis	...	6	6a		matched (3)
Fil ; de lin ; bis blanc	...	6	6a		matched (3)
Fil ; de lin ; blanc	...	6	6a		matched (3)
Fil ; de lin ; crû	...	6	6a		matched (3)
Fil ; de lin ; divers	...	6	6a		matched (3)
